,Genename,Counts,Sample
0,B9D2,734.3296,Healthy 12
1,JAG2,78.761314,Healthy 12
2,DNASE1,1680.9438,Healthy 12
3,TRMU,2226.628,Healthy 12
4,RRP9,1244.2574,Healthy 12
5,CNOT2,8279.125,Healthy 12
6,SMO,0.0,Healthy 12
7,RC3H2,3446.9963,Healthy 12
8,CLINT1,7308.4365,Healthy 12
9,CD52,157995.0,Healthy 12
10,CLSPN,131.67607,Healthy 12
11,MEGF9,3611.463,Healthy 12
12,UBA7,5295.997,Healthy 12
13,TRBC2,58771.645,Healthy 12
14,CNOT4,4285.828,Healthy 12
15,TCP1,6897.5684,Healthy 12
16,INSIG2,1891.0985,Healthy 12
17,SEC61A1,5441.0234,Healthy 12
18,MED13,3943.992,Healthy 12
19,PLEKHS1,33.55705,Healthy 12
20,NUFIP2,6011.949,Healthy 12
21,TSPAN18,1551.5842,Healthy 12
22,XPC,4719.8657,Healthy 12
23,EIF3K,50679.094,Healthy 12
24,PIKFYVE,4770.286,Healthy 12
25,LEF1,19676.107,Healthy 12
26,ATG12,6453.0186,Healthy 12
27,PPL,42.918457,Healthy 12
28,CCDC50,2421.2935,Healthy 12
29,HLA-E,200400.38,Healthy 12
30,MTMR14,5119.08,Healthy 12
31,AKT2,4309.357,Healthy 12
32,ZNF708,2528.4834,Healthy 12
33,RPS9,223234.4,Healthy 12
34,ACACA,1021.75354,Healthy 12
35,IGHG1,1645.1433,Healthy 12
36,PPT1,7108.686,Healthy 12
37,DEF6,10075.953,Healthy 12
38,PSME4,3674.052,Healthy 12
39,ZFR,6438.8384,Healthy 12
40,HBS1L,3232.388,Healthy 12
41,FCN1,19768.441,Healthy 12
42,ARHGEF1,23208.42,Healthy 12
43,HIST1H4C,21085.525,Healthy 12
44,KSR1,568.7306,Healthy 12
45,RPS14,601257.6,Healthy 12
46,IGHM,14597.234,Healthy 12
47,KCNAB2,8628.608,Healthy 12
48,PFDN5,117992.08,Healthy 12
49,IGLC2,1367.6938,Healthy 12
50,HLA-B,521080.6,Healthy 12
51,LPIN3,85.36105,Healthy 12
52,MT-CYB,619197.0,Healthy 12
53,KIF3B,2115.1143,Healthy 12
54,SHOC2,7977.862,Healthy 12
55,RPL11,586693.2,Healthy 12
56,NMT2,3790.6719,Healthy 12
57,ZNF26,1474.3517,Healthy 12
58,MT-CO3,739724.56,Healthy 12
59,CSF2RB,1431.0709,Healthy 12
60,TMSB4X,761443.2,Healthy 12
61,VCAN,17620.266,Healthy 12
62,S100A8,176287.75,Healthy 12
63,NEU1,1176.2892,Healthy 12
64,B4GALT1,5764.8994,Healthy 12
65,HIPK2,4814.494,Healthy 12
66,PANK2,2809.9456,Healthy 12
67,ABCD1,733.4419,Healthy 12
68,PMPCB,8172.431,Healthy 12
69,ACTG1,148042.81,Healthy 12
70,ARFGEF1,5541.811,Healthy 12
71,BBX,10112.881,Healthy 12
72,MRPL44,2432.651,Healthy 12
73,CD8A,15749.784,Healthy 12
74,MRPL10,4023.0154,Healthy 12
75,ZNF439,1078.5924,Healthy 12
76,NIN,12252.536,Healthy 12
77,FMNL3,1470.9496,Healthy 12
78,WAC,10357.185,Healthy 12
79,CTDSP2,6421.785,Healthy 12
80,ATRX,18583.912,Healthy 12
81,CCL22,83.701096,Healthy 12
82,FGFR1OP,881.9849,Healthy 12
83,CMTM6,11748.645,Healthy 12
84,ZNF664,2662.9758,Healthy 12
85,SPG21,6498.92,Healthy 12
86,PNRC2,11246.516,Healthy 12
87,PPP2CA,6635.9644,Healthy 12
88,EIF4A3,3073.801,Healthy 12
89,KCTD12,2799.3767,Healthy 12
90,IGLV6-57,206.51443,Healthy 12
91,ATP2A3,8102.4727,Healthy 12
92,AGO2,2736.0256,Healthy 12
93,GK5,3222.575,Healthy 12
94,ALAD,2256.1177,Healthy 12
95,SATB1,14459.7,Healthy 12
96,RPS17,47996.688,Healthy 12
97,RPL22,203229.9,Healthy 12
98,SRSF6,7246.5127,Healthy 12
99,IQGAP2,10235.919,Healthy 12
100,TEP1,1735.5135,Healthy 12
101,CFLAR,15255.884,Healthy 12
102,DDX18,11540.436,Healthy 12
103,TRAK1,1641.759,Healthy 12
104,AHNAK2,150.62332,Healthy 12
105,GLIPR2,8969.384,Healthy 12
106,MT-CO2,990742.06,Healthy 12
107,TFAP2B,155.11969,Healthy 12
108,APLP2,11002.004,Healthy 12
109,SLC35G3,52.492195,Healthy 12
110,ADAR,17318.6,Healthy 12
111,HLA-A,256750.3,Healthy 12
112,SRL,0.0,Healthy 12
113,SEC63,5719.9854,Healthy 12
114,HLA-C,303236.8,Healthy 12
115,DFFA,2340.3735,Healthy 12
116,TKT,16894.848,Healthy 12
117,PCMT1,6221.3413,Healthy 12
118,AHNAK,60704.156,Healthy 12
119,COL7A1,47.316006,Healthy 12
120,BMPR2,1723.7086,Healthy 12
121,FAM107B,14692.979,Healthy 12
122,MT-CO1,957469.8,Healthy 12
123,SNRPD2,46495.566,Healthy 12
124,CORO1C,4265.2134,Healthy 12
125,ODC1,14033.422,Healthy 12
126,STK10,15142.633,Healthy 12
127,LCP1,47830.625,Healthy 12
128,RPS16,281271.4,Healthy 12
129,MTRNR2L8,57219.043,Healthy 12
130,ISG15,5690.791,Healthy 12
131,YWHAB,49270.688,Healthy 12
132,SERF2,126142.78,Healthy 12
133,PDE4DIP,4477.154,Healthy 12
134,CFL1,114922.15,Healthy 12
135,IRF2,6875.7827,Healthy 12
136,PLEKHB1,2214.6897,Healthy 12
137,TMX4,9381.321,Healthy 12
138,ALCAM,682.17017,Healthy 12
139,DNAH7,44.34293,Healthy 12
140,TOPBP1,3942.5972,Healthy 12
141,OGFRL1,3960.4094,Healthy 12
142,MSN,32376.74,Healthy 12
143,KDM6A,3536.5508,Healthy 12
144,TMEM241,563.5608,Healthy 12
145,AC079612.1,0.0,Healthy 12
146,SEMA3F,37.73585,Healthy 12
147,AMPD2,2854.5322,Healthy 12
148,SLC25A6,66095.53,Healthy 12
149,SLA,5962.675,Healthy 12
150,IGLV2-23,1313.9857,Healthy 12
151,SLC38A2,7079.8203,Healthy 12
152,ARID1A,7961.267,Healthy 12
153,TMBIM6,31050.826,Healthy 12
154,CYBA,59452.195,Healthy 12
155,NAT9,2120.647,Healthy 12
156,ZNF740,1572.7305,Healthy 12
157,HMGN1,27001.357,Healthy 12
158,LENG8,6820.3955,Healthy 12
159,RAD23A,12158.204,Healthy 12
160,DDX6,16855.83,Healthy 12
161,EMC4,7450.5444,Healthy 12
162,ANXA5,10113.616,Healthy 12
163,MIEN1,7398.483,Healthy 12
164,ERP29,29210.104,Healthy 12
165,RNF19B,992.18134,Healthy 12
166,RGL1,210.52444,Healthy 12
167,GNS,3457.9016,Healthy 12
168,ACAP1,21087.7,Healthy 12
169,LRRC8B,904.04486,Healthy 12
170,SCAF8,3573.8372,Healthy 12
171,USP3,7900.2715,Healthy 12
172,ZNF106,9514.864,Healthy 12
173,TYMP,12511.266,Healthy 12
174,TM9SF3,4497.804,Healthy 12
175,KAT6A,10630.792,Healthy 12
176,AKAP11,4124.075,Healthy 12
177,GZMH,25622.096,Healthy 12
178,HNRNPK,39013.527,Healthy 12
179,NOMO3,575.1605,Healthy 12
180,SHE,97.64699,Healthy 12
181,HIVEP1,2069.5247,Healthy 12
182,EFR3A,3807.2622,Healthy 12
183,TMBIM4,6427.565,Healthy 12
184,LAPTM5,71927.1,Healthy 12
185,SND1,6118.269,Healthy 12
186,LCK,27857.959,Healthy 12
187,TMEM245,2800.2258,Healthy 12
188,ARF1,28160.287,Healthy 12
189,GRM2,107.874954,Healthy 12
190,KCNK10,28.735632,Healthy 12
191,S100A9,90990.21,Healthy 12
192,RPS11,139767.38,Healthy 12
193,CAPN2,13322.105,Healthy 12
194,PHKG2,2901.939,Healthy 12
195,ZC3H18,3549.729,Healthy 12
196,ADD1,10406.937,Healthy 12
197,MX1,5178.5986,Healthy 12
198,SCMH1,928.59735,Healthy 12
199,ZYX,25397.725,Healthy 12
200,RNMT,5358.3413,Healthy 12
201,CANX,13772.852,Healthy 12
202,IGHG4,178.78905,Healthy 12
203,IL1RL1,2.54842,Healthy 12
204,IGHV5-51,2555.9155,Healthy 12
205,LAMB1,2.4032686,Healthy 12
206,PDIA3,20044.262,Healthy 12
207,ITGB2,50239.844,Healthy 12
208,NT5DC2,107.81242,Healthy 12
209,VIM,116348.05,Healthy 12
210,TNFAIP3,11308.273,Healthy 12
211,RPS8,599876.44,Healthy 12
212,OXNAD1,10935.245,Healthy 12
213,SLC25A46,3127.8452,Healthy 12
214,IGHV3-23,1902.8711,Healthy 12
215,CNOT1,9963.7295,Healthy 12
216,LPP,5470.947,Healthy 12
217,UBE2J1,8318.582,Healthy 12
218,ANKRD28,2439.2515,Healthy 12
219,PRDM4,1900.1521,Healthy 12
220,PSMB6,10396.626,Healthy 12
221,UBXN7,4227.139,Healthy 12
222,ZNF227,1113.1532,Healthy 12
223,NCOA3,7109.583,Healthy 12
224,MTX1,2013.3287,Healthy 12
225,PDIA4,5197.9653,Healthy 12
226,CHD4,11944.294,Healthy 12
