,Genename,Counts,Sample
0,B9D2,358.2747,Moderate 8
1,JAG2,3.352075,Moderate 8
2,DNASE1,221.23863,Moderate 8
3,TRMU,425.287,Moderate 8
4,RRP9,325.62628,Moderate 8
5,CNOT2,1368.2488,Moderate 8
6,SMO,0.0,Moderate 8
7,RC3H2,746.7785,Moderate 8
8,CLINT1,891.0114,Moderate 8
9,CD52,32775.883,Moderate 8
10,CLSPN,40.72032,Moderate 8
11,MEGF9,1408.2584,Moderate 8
12,UBA7,1642.3392,Moderate 8
13,TRBC2,6117.312,Moderate 8
14,CNOT4,1401.5442,Moderate 8
15,TCP1,1340.7639,Moderate 8
16,INSIG2,369.0866,Moderate 8
17,SEC61A1,1001.0551,Moderate 8
18,MED13,621.2826,Moderate 8
19,PLEKHS1,1.1893435,Moderate 8
20,NUFIP2,830.4178,Moderate 8
21,TSPAN18,165.65263,Moderate 8
22,XPC,984.7563,Moderate 8
23,EIF3K,10175.473,Moderate 8
24,PIKFYVE,522.2619,Moderate 8
25,LEF1,2807.4448,Moderate 8
26,ATG12,2108.2878,Moderate 8
27,PPL,19.331394,Moderate 8
28,CCDC50,510.80478,Moderate 8
29,HLA-E,67339.28,Moderate 8
30,MTMR14,1788.6521,Moderate 8
31,AKT2,864.04126,Moderate 8
32,ZNF708,486.37692,Moderate 8
33,RPS9,58187.33,Moderate 8
34,ACACA,203.7761,Moderate 8
35,IGHG1,138.8309,Moderate 8
36,PPT1,1906.6195,Moderate 8
37,DEF6,2633.1436,Moderate 8
38,PSME4,396.02872,Moderate 8
39,ZFR,876.3326,Moderate 8
40,HBS1L,408.41553,Moderate 8
41,FCN1,15860.337,Moderate 8
42,ARHGEF1,4437.156,Moderate 8
43,HIST1H4C,4061.2058,Moderate 8
44,KSR1,167.03271,Moderate 8
45,RPS14,83949.09,Moderate 8
46,IGHM,4146.853,Moderate 8
47,KCNAB2,1235.1614,Moderate 8
48,PFDN5,23817.5,Moderate 8
49,IGLC2,1273.0488,Moderate 8
50,HLA-B,193570.52,Moderate 8
51,LPIN3,0.0,Moderate 8
52,MT-CYB,57166.64,Moderate 8
53,KIF3B,262.82367,Moderate 8
54,SHOC2,3159.1182,Moderate 8
55,RPL11,97413.914,Moderate 8
56,NMT2,387.41324,Moderate 8
57,ZNF26,175.88226,Moderate 8
58,MT-CO3,68847.23,Moderate 8
59,CSF2RB,2188.1233,Moderate 8
60,TMSB4X,258720.25,Moderate 8
61,VCAN,10192.6455,Moderate 8
62,S100A8,391908.0,Moderate 8
63,NEU1,411.1024,Moderate 8
64,B4GALT1,1119.6644,Moderate 8
65,HIPK2,360.73416,Moderate 8
66,PANK2,1682.6572,Moderate 8
67,ABCD1,345.9704,Moderate 8
68,PMPCB,1427.9404,Moderate 8
69,ACTG1,38997.16,Moderate 8
70,ARFGEF1,618.35486,Moderate 8
71,BBX,2262.6665,Moderate 8
72,MRPL44,919.6931,Moderate 8
73,CD8A,3050.4314,Moderate 8
74,MRPL10,1080.3523,Moderate 8
75,ZNF439,143.64557,Moderate 8
76,NIN,2202.0024,Moderate 8
77,FMNL3,125.29555,Moderate 8
78,WAC,2115.0303,Moderate 8
79,CTDSP2,816.9491,Moderate 8
80,ATRX,3200.6516,Moderate 8
81,CCL22,0.0,Moderate 8
82,FGFR1OP,216.85947,Moderate 8
83,CMTM6,3971.1396,Moderate 8
84,ZNF664,420.55252,Moderate 8
85,SPG21,2471.952,Moderate 8
86,PNRC2,2597.569,Moderate 8
87,PPP2CA,1520.967,Moderate 8
88,EIF4A3,806.52313,Moderate 8
89,KCTD12,1112.9686,Moderate 8
90,IGLV6-57,592.22015,Moderate 8
91,ATP2A3,1422.3733,Moderate 8
92,AGO2,422.95752,Moderate 8
93,GK5,222.90091,Moderate 8
94,ALAD,269.58316,Moderate 8
95,SATB1,1435.8865,Moderate 8
96,RPS17,8593.79,Moderate 8
97,RPL22,31698.064,Moderate 8
98,SRSF6,1033.9204,Moderate 8
99,IQGAP2,1373.1156,Moderate 8
100,TEP1,307.18103,Moderate 8
101,CFLAR,5634.5312,Moderate 8
102,DDX18,2937.5176,Moderate 8
103,TRAK1,224.93329,Moderate 8
104,AHNAK2,1.9004182,Moderate 8
105,GLIPR2,3536.2056,Moderate 8
106,MT-CO2,143712.22,Moderate 8
107,TFAP2B,0.0,Moderate 8
108,APLP2,4197.4854,Moderate 8
109,SLC35G3,0.0,Moderate 8
110,ADAR,9326.148,Moderate 8
111,HLA-A,94724.75,Moderate 8
112,SRL,0.0,Moderate 8
113,SEC63,851.58984,Moderate 8
114,HLA-C,99703.234,Moderate 8
115,DFFA,392.92783,Moderate 8
116,TKT,9505.081,Moderate 8
117,PCMT1,2585.8464,Moderate 8
118,AHNAK,7228.4463,Moderate 8
119,COL7A1,0.7072636,Moderate 8
120,BMPR2,273.36722,Moderate 8
121,FAM107B,1900.5754,Moderate 8
122,MT-CO1,117287.11,Moderate 8
123,SNRPD2,9034.803,Moderate 8
124,CORO1C,1064.2715,Moderate 8
125,ODC1,3617.4302,Moderate 8
126,STK10,2688.52,Moderate 8
127,LCP1,15189.695,Moderate 8
128,RPS16,38075.977,Moderate 8
129,MTRNR2L8,4.9968357,Moderate 8
130,ISG15,69462.67,Moderate 8
131,YWHAB,14547.255,Moderate 8
132,SERF2,42174.33,Moderate 8
133,PDE4DIP,577.78485,Moderate 8
134,CFL1,39849.37,Moderate 8
135,IRF2,3248.9329,Moderate 8
136,PLEKHB1,282.18387,Moderate 8
137,TMX4,1334.854,Moderate 8
138,ALCAM,108.19938,Moderate 8
139,DNAH7,0.0,Moderate 8
140,TOPBP1,462.52234,Moderate 8
141,OGFRL1,1067.1506,Moderate 8
142,MSN,7632.6055,Moderate 8
143,KDM6A,687.045,Moderate 8
144,TMEM241,46.259945,Moderate 8
145,AC079612.1,0.0,Moderate 8
146,SEMA3F,0.0,Moderate 8
147,AMPD2,805.9087,Moderate 8
148,SLC25A6,14774.267,Moderate 8
149,SLA,1400.7748,Moderate 8
150,IGLV2-23,1088.4656,Moderate 8
151,SLC38A2,1033.6018,Moderate 8
152,ARID1A,1538.2164,Moderate 8
153,TMBIM6,10269.887,Moderate 8
154,CYBA,30461.639,Moderate 8
155,NAT9,361.1157,Moderate 8
156,ZNF740,191.169,Moderate 8
157,HMGN1,6535.5947,Moderate 8
158,LENG8,1325.1696,Moderate 8
159,RAD23A,2779.1208,Moderate 8
160,DDX6,2666.838,Moderate 8
161,EMC4,1968.1729,Moderate 8
162,ANXA5,6207.1934,Moderate 8
163,MIEN1,2418.2817,Moderate 8
164,ERP29,8435.523,Moderate 8
165,RNF19B,627.5608,Moderate 8
166,RGL1,81.72399,Moderate 8
167,GNS,1138.4377,Moderate 8
168,ACAP1,3828.8696,Moderate 8
169,LRRC8B,150.57915,Moderate 8
170,SCAF8,698.01245,Moderate 8
171,USP3,2390.28,Moderate 8
172,ZNF106,1787.8568,Moderate 8
173,TYMP,14453.538,Moderate 8
174,TM9SF3,350.73227,Moderate 8
175,KAT6A,1262.6022,Moderate 8
176,AKAP11,358.35727,Moderate 8
177,GZMH,5623.7407,Moderate 8
178,HNRNPK,9135.683,Moderate 8
179,NOMO3,27.276121,Moderate 8
180,SHE,74.57812,Moderate 8
181,HIVEP1,296.6234,Moderate 8
182,EFR3A,958.82336,Moderate 8
183,TMBIM4,1176.6587,Moderate 8
184,LAPTM5,22793.611,Moderate 8
185,SND1,1180.4303,Moderate 8
186,LCK,5251.8335,Moderate 8
187,TMEM245,434.13605,Moderate 8
188,ARF1,9636.158,Moderate 8
189,GRM2,6.1397285,Moderate 8
190,KCNK10,0.0,Moderate 8
191,S100A9,173312.4,Moderate 8
192,RPS11,19049.014,Moderate 8
193,CAPN2,4607.212,Moderate 8
194,PHKG2,355.9981,Moderate 8
195,ZC3H18,752.299,Moderate 8
196,ADD1,1306.0037,Moderate 8
197,MX1,23181.105,Moderate 8
198,SCMH1,116.868706,Moderate 8
199,ZYX,9730.415,Moderate 8
200,RNMT,1087.2108,Moderate 8
201,CANX,2270.202,Moderate 8
202,IGHG4,16.770187,Moderate 8
203,IL1RL1,1.8910741,Moderate 8
204,IGHV5-51,1578.1975,Moderate 8
205,LAMB1,2.689618,Moderate 8
206,PDIA3,5429.0723,Moderate 8
207,ITGB2,13005.088,Moderate 8
208,NT5DC2,27.872135,Moderate 8
209,VIM,46089.52,Moderate 8
210,TNFAIP3,2431.1333,Moderate 8
211,RPS8,99820.445,Moderate 8
212,OXNAD1,1158.2021,Moderate 8
213,SLC25A46,448.86887,Moderate 8
214,IGHV3-23,4484.489,Moderate 8
215,CNOT1,1699.4562,Moderate 8
216,LPP,1259.6989,Moderate 8
217,UBE2J1,3550.0854,Moderate 8
218,ANKRD28,308.6103,Moderate 8
219,PRDM4,182.44043,Moderate 8
220,PSMB6,3028.6448,Moderate 8
221,UBXN7,556.5901,Moderate 8
222,ZNF227,232.2116,Moderate 8
223,NCOA3,1496.7926,Moderate 8
224,MTX1,931.6929,Moderate 8
225,PDIA4,1312.5605,Moderate 8
226,CHD4,1536.6598,Moderate 8
227,AC159540.1,86.22904,Moderate 8
228,PLA2G2D,3.0717044,Moderate 8
229,CCDC97,782.5633,Moderate 8
