,Genename,Counts,Sample
0,B9D2,238.14957,Healthy 18
1,JAG2,108.29465,Healthy 18
2,DNASE1,1151.8364,Healthy 18
3,TRMU,724.48615,Healthy 18
4,RRP9,228.7545,Healthy 18
5,CNOT2,2785.4695,Healthy 18
6,SMO,48.570984,Healthy 18
7,RC3H2,2061.1836,Healthy 18
8,CLINT1,3515.2605,Healthy 18
9,CD52,12486.079,Healthy 18
10,CLSPN,249.9745,Healthy 18
11,MEGF9,5224.2036,Healthy 18
12,UBA7,2487.2256,Healthy 18
13,TRBC2,13530.867,Healthy 18
14,CNOT4,1545.5895,Healthy 18
15,TCP1,3188.8884,Healthy 18
16,INSIG2,719.8696,Healthy 18
17,SEC61A1,3376.6682,Healthy 18
18,MED13,5545.6455,Healthy 18
19,PLEKHS1,85.99529,Healthy 18
20,NUFIP2,5138.731,Healthy 18
21,TSPAN18,247.7322,Healthy 18
22,XPC,2321.5928,Healthy 18
23,EIF3K,5113.026,Healthy 18
24,PIKFYVE,3501.277,Healthy 18
25,LEF1,2194.979,Healthy 18
26,ATG12,1927.0212,Healthy 18
27,PPL,152.22203,Healthy 18
28,CCDC50,1710.8717,Healthy 18
29,HLA-E,94215.32,Healthy 18
30,MTMR14,1469.8401,Healthy 18
31,AKT2,2180.9036,Healthy 18
32,ZNF708,932.2921,Healthy 18
33,RPS9,23348.1,Healthy 18
34,ACACA,945.07056,Healthy 18
35,IGHG1,1192.1066,Healthy 18
36,PPT1,4703.1055,Healthy 18
37,DEF6,5083.8823,Healthy 18
38,PSME4,2937.6255,Healthy 18
39,ZFR,3517.084,Healthy 18
40,HBS1L,1680.1056,Healthy 18
41,FCN1,25339.762,Healthy 18
42,ARHGEF1,10096.171,Healthy 18
43,HIST1H4C,2847.4805,Healthy 18
44,KSR1,839.72205,Healthy 18
45,RPS14,58418.2,Healthy 18
46,IGHM,5934.388,Healthy 18
47,KCNAB2,5034.616,Healthy 18
48,PFDN5,16096.562,Healthy 18
49,IGLC2,274.62735,Healthy 18
50,HLA-B,160981.36,Healthy 18
51,LPIN3,74.20241,Healthy 18
52,MT-CYB,68730.414,Healthy 18
53,KIF3B,1792.316,Healthy 18
54,SHOC2,2846.983,Healthy 18
55,RPL11,42508.562,Healthy 18
56,NMT2,1355.9354,Healthy 18
57,ZNF26,638.98157,Healthy 18
58,MT-CO3,71827.25,Healthy 18
59,CSF2RB,1756.6903,Healthy 18
60,TMSB4X,55524.867,Healthy 18
61,VCAN,26426.104,Healthy 18
62,S100A8,34864.48,Healthy 18
63,NEU1,1621.2118,Healthy 18
64,B4GALT1,3079.8193,Healthy 18
65,HIPK2,6159.8164,Healthy 18
66,PANK2,1343.3699,Healthy 18
67,ABCD1,131.99388,Healthy 18
68,PMPCB,2037.3239,Healthy 18
69,ACTG1,37837.99,Healthy 18
70,ARFGEF1,4293.391,Healthy 18
71,BBX,5255.206,Healthy 18
72,MRPL44,582.1019,Healthy 18
73,CD8A,4647.7173,Healthy 18
74,MRPL10,682.93024,Healthy 18
75,ZNF439,652.63947,Healthy 18
76,NIN,10142.187,Healthy 18
77,FMNL3,1909.9955,Healthy 18
78,WAC,8550.496,Healthy 18
79,CTDSP2,3719.1199,Healthy 18
80,ATRX,10495.84,Healthy 18
81,CCL22,50.974228,Healthy 18
82,FGFR1OP,531.0985,Healthy 18
83,CMTM6,4616.176,Healthy 18
84,ZNF664,1641.4685,Healthy 18
85,SPG21,2142.303,Healthy 18
86,PNRC2,4716.862,Healthy 18
87,PPP2CA,2999.2058,Healthy 18
88,EIF4A3,1661.6997,Healthy 18
89,KCTD12,4905.0054,Healthy 18
90,IGLV6-57,18.656717,Healthy 18
91,ATP2A3,3255.7197,Healthy 18
92,AGO2,854.0037,Healthy 18
93,GK5,1826.1237,Healthy 18
94,ALAD,1562.6677,Healthy 18
95,SATB1,5594.8433,Healthy 18
96,RPS17,2227.269,Healthy 18
97,RPL22,12458.642,Healthy 18
98,SRSF6,5262.8555,Healthy 18
99,IQGAP2,9134.633,Healthy 18
100,TEP1,2180.718,Healthy 18
101,CFLAR,12550.992,Healthy 18
102,DDX18,3199.3557,Healthy 18
103,TRAK1,2430.0417,Healthy 18
104,AHNAK2,177.23213,Healthy 18
105,GLIPR2,5161.2397,Healthy 18
106,MT-CO2,76734.17,Healthy 18
107,TFAP2B,181.57384,Healthy 18
108,APLP2,16269.339,Healthy 18
109,SLC35G3,92.53613,Healthy 18
110,ADAR,13081.897,Healthy 18
111,HLA-A,56514.566,Healthy 18
112,SRL,98.63989,Healthy 18
113,SEC63,3755.5005,Healthy 18
114,HLA-C,70280.31,Healthy 18
115,DFFA,1550.9465,Healthy 18
116,TKT,10851.154,Healthy 18
117,PCMT1,1645.9397,Healthy 18
118,AHNAK,117147.7,Healthy 18
119,COL7A1,198.28346,Healthy 18
120,BMPR2,1579.7124,Healthy 18
121,FAM107B,6676.1685,Healthy 18
122,MT-CO1,198387.34,Healthy 18
123,SNRPD2,5282.4707,Healthy 18
124,CORO1C,2284.295,Healthy 18
125,ODC1,2287.7559,Healthy 18
126,STK10,13275.908,Healthy 18
127,LCP1,52630.082,Healthy 18
128,RPS16,27460.223,Healthy 18
129,MTRNR2L8,110573.41,Healthy 18
130,ISG15,1010.7265,Healthy 18
131,YWHAB,18401.746,Healthy 18
132,SERF2,12567.071,Healthy 18
133,PDE4DIP,3966.8281,Healthy 18
134,CFL1,17008.947,Healthy 18
135,IRF2,1431.5483,Healthy 18
136,PLEKHB1,178.99327,Healthy 18
137,TMX4,4395.9863,Healthy 18
138,ALCAM,1007.5682,Healthy 18
139,DNAH7,292.6054,Healthy 18
140,TOPBP1,2126.233,Healthy 18
141,OGFRL1,5254.6035,Healthy 18
142,MSN,25974.408,Healthy 18
143,KDM6A,2331.9482,Healthy 18
144,TMEM241,336.33487,Healthy 18
145,AC079612.1,0.0,Healthy 18
146,SEMA3F,13.793104,Healthy 18
147,AMPD2,1442.4667,Healthy 18
148,SLC25A6,13205.16,Healthy 18
149,SLA,4424.055,Healthy 18
150,IGLV2-23,50.531235,Healthy 18
151,SLC38A2,4604.479,Healthy 18
152,ARID1A,6141.852,Healthy 18
153,TMBIM6,18229.438,Healthy 18
154,CYBA,9855.338,Healthy 18
155,NAT9,644.14044,Healthy 18
156,ZNF740,1252.8319,Healthy 18
157,HMGN1,3713.1648,Healthy 18
158,LENG8,2493.6416,Healthy 18
159,RAD23A,2451.8748,Healthy 18
160,DDX6,7496.7007,Healthy 18
161,EMC4,2601.57,Healthy 18
162,ANXA5,5326.5527,Healthy 18
163,MIEN1,1524.3577,Healthy 18
164,ERP29,6085.582,Healthy 18
165,RNF19B,1392.9387,Healthy 18
166,RGL1,53.22446,Healthy 18
167,GNS,5427.0674,Healthy 18
168,ACAP1,7629.274,Healthy 18
169,LRRC8B,566.3749,Healthy 18
170,SCAF8,2737.5376,Healthy 18
171,USP3,4029.337,Healthy 18
172,ZNF106,8183.1226,Healthy 18
173,TYMP,5825.097,Healthy 18
174,TM9SF3,4834.1978,Healthy 18
175,KAT6A,8637.42,Healthy 18
176,AKAP11,3043.8228,Healthy 18
177,GZMH,5940.8647,Healthy 18
178,HNRNPK,9648.957,Healthy 18
179,NOMO3,878.29474,Healthy 18
180,SHE,306.57367,Healthy 18
181,HIVEP1,1060.1366,Healthy 18
182,EFR3A,2439.9624,Healthy 18
183,TMBIM4,3240.0942,Healthy 18
184,LAPTM5,25934.879,Healthy 18
185,SND1,3197.238,Healthy 18
186,LCK,6022.9756,Healthy 18
187,TMEM245,1764.7981,Healthy 18
188,ARF1,9115.685,Healthy 18
189,GRM2,94.700455,Healthy 18
190,KCNK10,130.17554,Healthy 18
191,S100A9,50685.844,Healthy 18
192,RPS11,60818.324,Healthy 18
193,CAPN2,9499.775,Healthy 18
194,PHKG2,1487.7102,Healthy 18
195,ZC3H18,2585.8298,Healthy 18
196,ADD1,8682.776,Healthy 18
197,MX1,1378.1362,Healthy 18
198,SCMH1,574.715,Healthy 18
199,ZYX,3019.607,Healthy 18
200,RNMT,1802.2291,Healthy 18
201,CANX,13923.866,Healthy 18
202,IGHG4,242.28171,Healthy 18
203,IL1RL1,124.42648,Healthy 18
204,IGHV5-51,26.385223,Healthy 18
205,LAMB1,182.38458,Healthy 18
206,PDIA3,7616.9775,Healthy 18
207,ITGB2,34885.32,Healthy 18
208,NT5DC2,97.27458,Healthy 18
209,VIM,25230.826,Healthy 18
210,TNFAIP3,12170.878,Healthy 18
211,RPS8,35411.0,Healthy 18
212,OXNAD1,1845.2052,Healthy 18
213,SLC25A46,1749.4275,Healthy 18
214,IGHV3-23,17.76199,Healthy 18
215,CNOT1,5847.9873,Healthy 18
216,LPP,3117.0024,Healthy 18
217,UBE2J1,4596.743,Healthy 18
218,ANKRD28,1660.3993,Healthy 18
219,PRDM4,1664.7784,Healthy 18
220,PSMB6,2511.174,Healthy 18
221,UBXN7,3805.18,Healthy 18
222,ZNF227,377.85236,Healthy 18
223,NCOA3,3713.0974,Healthy 18
224,MTX1,314.5405,Healthy 18
225,PDIA4,2321.8528,Healthy 18
226,CHD4,9481.286,Healthy 18
227,AC159540.1,498.12842,Healthy 18
228,PLA2G2D,60.861427,Healthy 18
229,CCDC97,941.5936,Healthy 18
230,TMEM154,3541.7212,Healthy 18
231,HIST1H2BK,432.9713,Healthy 18
232,KIAA0319,13.386881,Healthy 18
233,APOBEC3G,3864.6787,Healthy 18
234,MOSPD1,351.98062,Healthy 18
235,RPN1,3359.8682,Healthy 18
236,ARHGAP1,1823.9048,Healthy 18
237,CIR1,2088.9434,Healthy 18
238,AACS,597.88074,Healthy 18
239,CHD7,2932.3115,Healthy 18
240,STX6,1293.779,Healthy 18
241,SAMD9,4474.576,Healthy 18
242,TOM1,1271.2046,Healthy 18
243,SNRPC,1474.2473,Healthy 18
244,PGAP1,157.94475,Healthy 18
245,ANXA1,13924.448,Healthy 18
246,TMEM181,2759.8186,Healthy 18
247,ARHGAP12,1186.7075,Healthy 18
248,IPO11,268.23758,Healthy 18
249,KLF3,5097.5293,Healthy 18
250,CTSS,52331.45,Healthy 18
251,LYZ,40173.68,Healthy 18
252,IFI44L,713.43335,Healthy 18
253,HNRNPUL1,6553.947,Healthy 18
254,GNAS,18712.496,Healthy 18
255,SNED1,473.26227,Healthy 18
256,IQGAP1,21159.982,Healthy 18
257,HMGXB3,719.3969,Healthy 18
258,KDM5C,3158.9424,Healthy 18
259,RNF213,39759.246,Healthy 18
260,RPS13,26846.668,Healthy 18
261,TMCO1,1891.1951,Healthy 18
262,ELL2,707.5788,Healthy 18
263,RPLP1,36083.13,Healthy 18
264,RPL32,22240.584,Healthy 18
265,RAB1B,431.46255,Healthy 18
266,PKM,8459.569,Healthy 18
267,IGHA1,284.33176,Healthy 18
