"","Gene.name","logFC","logCPM","PValue"
"1","IGHG1",2.69304621512226,6.23266397348857,0.000912183445155276
"2","RPS17",-1.74434485183659,7.43449408560561,6.17587285876913e-05
"3","IL1RL1",4.0107552779027,0.074159779055939,1.01103807910146e-06
"4","MT-ATP8",-3.00429059528293,10.3379567518766,9.01195114447175e-06
"5","ASPM",2.48247365673942,0.532269120482437,4.04883044087373e-05
"6","PDZD2",3.07584404570213,1.23448680403125,0.000618490908245162
"7","TRIB1",1.668263959678,5.83386630751141,0.000163825625556804
"8","IGHG3",2.06320923319485,4.8815982294438,0.0010765351800039
"9","CDC6",2.20907530872593,0.881281995011927,0.000849330244588507
"10","HIST1H1B",1.62997933221431,2.89053249779966,8.21515753246441e-05
"11","GLDC",2.48389699253088,-0.218280808810793,0.00031390644759093
"12","MYH7B",2.4035705655005,-0.0229649240816433,0.000382766965002161
"13","CD163",2.03716683716594,6.58219305225705,0.00017242576056451
"14","LMOD3",2.13579440144195,1.3792988657553,0.000618561465758152
"15","HP",3.13027978244423,6.05298158433677,0.000716063942320786
"16","NCAPG",1.95570685779074,0.749640039261758,0.000249043579362019
"17","DLC1",2.16466332411177,0.864493047298545,0.000968147567932783
"18","LDLR",1.48319267911028,4.60942116981985,0.000117990697550777
"19","GIMAP7",-1.33272618719519,7.79129046540803,5.53367791884739e-06
"20","OTUB2",2.36857837390635,0.688430856199584,0.000560452985540819
"21","IL1R2",3.43809074804025,8.06273146317716,0.000598858187518766
"22","FGFR1",2.54372735427843,3.99910709524406,0.000112313609316128
"23","PLEKHH2",3.72864488695605,3.18140457829621,7.4801267352599e-05
"24","BUB1B",2.73253121792066,-0.314062321994094,0.000104647467853177
"25","MED11",-1.03328038211185,4.54828747598064,0.000617691521297446
"26","NAALADL2",3.29909137103673,-0.92116907992568,0.000578986189773227
"27","KIF11",1.65774618768649,1.21906120309152,0.000423234029722286
"28","XIST",-4.07849625153459,4.72087527019533,0.00105542090121421
"29","TPM2",2.18403416812109,2.83165713717335,3.43690192629225e-08
"30","IRF7",-1.58020827911718,7.57665112508684,0.00104424712920331
"31","RPS29",-1.26758431146162,10.5352311418459,0.000518594612477118
"32","MYH11",1.55240618620071,2.0785282702569,0.00030672214308021
"33","MPV17L",3.27902644649177,1.17576951914615,0.000121044817916095
"34","KIF14",2.86034852002102,0.665490317178993,0.000297365476530395
"35","NUSAP1",1.49752339586866,2.29341177179907,6.6335970577734e-05
"36","SAG",3.38472272732687,1.17902582514307,5.03896642234284e-05
"37","RAB3C",2.81926473009714,1.01691870275168,0.000189464703447599
"38","KCNQ1OT1",1.8858070393786,4.1176637601742,0.00024339074093204
"39","CATSPER2",1.47724843600687,1.62838636462372,0.000347459384458815
"40","KLHL15",1.06536408265255,3.33899835566831,1.97562307756459e-05
"41","ANKS1B",2.06052884096868,0.439909162234769,0.000243315298797399
"42","HIST1H1E",1.04283840393774,7.49191738091442,0.000674241029953141
"43","TPX2",1.55361141326817,1.33925141501604,0.000876176231557079
"44","DLG2",2.45945967326129,1.08055260517642,0.000781476045452865
"45","AJAP1",4.73639237217673,0.349806695435829,6.20055779000485e-05
"46","THEM6",-1.10297946610686,3.19225355194175,0.000458722164084849
"47","PLIN2",2.76657601626753,7.96772896299098,0.000268960100832367
"48","TMEM204",-1.40497740106543,4.48795371184503,0.000866934362854153
"49","INTU",3.29172752504306,0.849601013991492,0.000638452924514588
"50","SOX6",2.29616533523624,1.41939661334516,0.000728834517264874
"51","IRS2",1.47052688885389,6.30813208327624,1.48404203168652e-05
"52","MAPKAPK2",1.1815091592681,5.86481556627254,0.000154142204467838
"53","FBXO33",1.06908360211676,5.0707485076174,1.55235264882519e-06
"54","LY6E",-1.84615031600396,9.38765660434075,0.000824175215080013
"55","PDCD2L",-1.21977314842827,1.83886213299318,4.38213950312426e-06
"56","PASK",-1.81634157759443,5.4292794611598,0.000128538853003429
"57","SEZ6",2.14283740808633,0.0303417032320967,0.000592422092258351
"58","TRBV5-1",-2.24875834476972,5.49923655498159,0.000876963740467792
"59","PRUNE2",1.76096822494355,0.596470134783667,0.000875328694428077
"60","TVP23A",2.68067277726107,0.439239013384563,9.83849650382621e-05
"61","HIST1H1D",1.19452240688686,6.462562032925,0.000214522116704094
"62","PTPN14",2.99350441661313,1.10024470726762,0.000699479642424893
"63","RTP4",-1.8233592285156,4.30424645174977,0.000710655529767918
"64","POLQ",2.2263670626503,0.0768604241162467,0.000767725281878008
"65","ATP2A1",1.56106034390435,-1.12593822532965,0.00101927934522676
"66","MUC12",3.070754532798,2.25881996301694,8.44945051313246e-05
"67","SHCBP1",2.40024213377387,0.787639464430624,0.00051354842893552
"68","SIK1",3.32257013210577,2.96206403071829,0.000213695735085563
"69","MALL",3.36870607036665,0.908253122021607,7.52778460058731e-05
"70","LHX4",3.57811297027593,1.15409199758183,4.56159407653437e-05
"71","CIT",2.41580678302017,0.968883105634797,0.000412100698503117
"72","SKA1",1.91606749340084,0.0565971874242227,0.000856918837024236
"73","ACKR3",2.33232787941821,0.192949343866418,0.000159548078512182
"74","TCF7L1",2.10481321287086,-0.202026492596834,0.000786499449836406
"75","CDCA3",1.8803522123125,-0.0563800323811303,0.00107170023493809
"76","SSPO",2.66745883021071,0.259130071762156,0.000271388991271836
"77","TLN2",2.81434991442675,0.905028209465272,0.000230753535463804
"78","DACT1",1.95976647841579,1.38268674427292,0.000526539560313271
"79","ZNF471",2.26480520983907,0.420137134454437,0.000185883636396274
"80","PLK1",1.7264129648298,0.681019441508723,0.000690090645957408
"81","LAMC3",2.49120991090697,0.00256802604104989,1.97208035896167e-05
