,Genename,Counts,Sample
0,B9D2,830.1794,Healthy 5
1,JAG2,6.9941025,Healthy 5
2,DNASE1,989.9921,Healthy 5
3,TRMU,1594.9281,Healthy 5
4,RRP9,1135.62,Healthy 5
5,CNOT2,6256.4517,Healthy 5
6,SMO,0.0,Healthy 5
7,RC3H2,1735.1998,Healthy 5
8,CLINT1,5496.3438,Healthy 5
9,CD52,102961.26,Healthy 5
10,CLSPN,78.44954,Healthy 5
11,MEGF9,1755.0742,Healthy 5
12,UBA7,2858.919,Healthy 5
13,TRBC2,33421.836,Healthy 5
14,CNOT4,3915.0037,Healthy 5
15,TCP1,5344.3755,Healthy 5
16,INSIG2,1488.7324,Healthy 5
17,SEC61A1,4424.167,Healthy 5
18,MED13,1386.1001,Healthy 5
19,PLEKHS1,0.0,Healthy 5
20,NUFIP2,2274.6538,Healthy 5
21,TSPAN18,467.40897,Healthy 5
22,XPC,4002.9478,Healthy 5
23,EIF3K,52016.87,Healthy 5
24,PIKFYVE,2080.1562,Healthy 5
25,LEF1,16454.297,Healthy 5
26,ATG12,5622.239,Healthy 5
27,PPL,1.7869908,Healthy 5
28,CCDC50,1015.84503,Healthy 5
29,HLA-E,163391.06,Healthy 5
30,MTMR14,4762.2905,Healthy 5
31,AKT2,3478.389,Healthy 5
32,ZNF708,1271.4985,Healthy 5
33,RPS9,238747.89,Healthy 5
34,ACACA,660.46747,Healthy 5
35,IGHG1,186.06308,Healthy 5
36,PPT1,5099.549,Healthy 5
37,DEF6,11329.05,Healthy 5
38,PSME4,1567.8297,Healthy 5
39,ZFR,4471.2383,Healthy 5
40,HBS1L,2140.565,Healthy 5
41,FCN1,14943.018,Healthy 5
42,ARHGEF1,22631.74,Healthy 5
43,HIST1H4C,22196.928,Healthy 5
44,KSR1,337.6968,Healthy 5
45,RPS14,605563.94,Healthy 5
46,IGHM,3755.7512,Healthy 5
47,KCNAB2,6285.9688,Healthy 5
48,PFDN5,107971.01,Healthy 5
49,IGLC2,408.5536,Healthy 5
50,HLA-B,438401.9,Healthy 5
51,LPIN3,0.0,Healthy 5
52,MT-CYB,432665.2,Healthy 5
53,KIF3B,947.8225,Healthy 5
54,SHOC2,4312.16,Healthy 5
55,RPL11,597283.4,Healthy 5
56,NMT2,1942.484,Healthy 5
57,ZNF26,847.3347,Healthy 5
58,MT-CO3,469666.66,Healthy 5
59,CSF2RB,336.26126,Healthy 5
60,TMSB4X,542301.06,Healthy 5
61,VCAN,7723.303,Healthy 5
62,S100A8,82695.55,Healthy 5
63,NEU1,1634.435,Healthy 5
64,B4GALT1,6566.619,Healthy 5
65,HIPK2,1992.6742,Healthy 5
66,PANK2,3261.822,Healthy 5
67,ABCD1,715.68365,Healthy 5
68,PMPCB,6387.2534,Healthy 5
69,ACTG1,141083.67,Healthy 5
70,ARFGEF1,2186.5642,Healthy 5
71,BBX,7331.5605,Healthy 5
72,MRPL44,2465.4023,Healthy 5
73,CD8A,16125.877,Healthy 5
74,MRPL10,3775.2468,Healthy 5
75,ZNF439,713.25415,Healthy 5
76,NIN,5382.592,Healthy 5
77,FMNL3,789.8116,Healthy 5
78,WAC,4968.0146,Healthy 5
79,CTDSP2,2672.579,Healthy 5
80,ATRX,12479.849,Healthy 5
81,CCL22,51.571693,Healthy 5
82,FGFR1OP,587.5328,Healthy 5
83,CMTM6,7879.678,Healthy 5
84,ZNF664,1229.9341,Healthy 5
85,SPG21,5474.4473,Healthy 5
86,PNRC2,9354.087,Healthy 5
87,PPP2CA,5890.8267,Healthy 5
88,EIF4A3,3798.1162,Healthy 5
89,KCTD12,1186.8369,Healthy 5
90,IGLV6-57,535.0291,Healthy 5
91,ATP2A3,3826.7063,Healthy 5
92,AGO2,1657.8959,Healthy 5
93,GK5,1717.4313,Healthy 5
94,ALAD,1418.2059,Healthy 5
95,SATB1,7449.973,Healthy 5
96,RPS17,4073.0454,Healthy 5
97,RPL22,185591.55,Healthy 5
98,SRSF6,3078.2217,Healthy 5
99,IQGAP2,5888.477,Healthy 5
100,TEP1,826.07697,Healthy 5
101,CFLAR,10153.652,Healthy 5
102,DDX18,12015.678,Healthy 5
103,TRAK1,477.9839,Healthy 5
104,AHNAK2,0.0,Healthy 5
105,GLIPR2,5918.7163,Healthy 5
106,MT-CO2,602125.94,Healthy 5
107,TFAP2B,0.0,Healthy 5
108,APLP2,5857.5303,Healthy 5
109,SLC35G3,3.733817,Healthy 5
110,ADAR,11141.548,Healthy 5
111,HLA-A,298385.12,Healthy 5
112,SRL,0.0,Healthy 5
113,SEC63,4405.4355,Healthy 5
114,HLA-C,441686.06,Healthy 5
115,DFFA,1952.6414,Healthy 5
116,TKT,18329.957,Healthy 5
117,PCMT1,6378.1455,Healthy 5
118,AHNAK,33600.418,Healthy 5
119,COL7A1,31.271393,Healthy 5
120,BMPR2,497.79993,Healthy 5
121,FAM107B,7874.6255,Healthy 5
122,MT-CO1,808794.3,Healthy 5
123,SNRPD2,46268.047,Healthy 5
124,CORO1C,764.6418,Healthy 5
125,ODC1,4374.033,Healthy 5
126,STK10,9638.949,Healthy 5
127,LCP1,33056.387,Healthy 5
128,RPS16,182821.89,Healthy 5
129,MTRNR2L8,552890.25,Healthy 5
130,ISG15,6078.2407,Healthy 5
131,YWHAB,48745.52,Healthy 5
132,SERF2,99852.66,Healthy 5
133,PDE4DIP,2078.341,Healthy 5
134,CFL1,111616.23,Healthy 5
135,IRF2,7235.904,Healthy 5
136,PLEKHB1,2032.7896,Healthy 5
137,TMX4,6724.2534,Healthy 5
138,ALCAM,268.0953,Healthy 5
139,DNAH7,3.9572115,Healthy 5
140,TOPBP1,1976.7942,Healthy 5
