,Genename,Counts,Sample
0,B9D2,380.05875,Healthy 26
1,JAG2,59.757088,Healthy 26
2,DNASE1,2004.6226,Healthy 26
3,TRMU,1185.5442,Healthy 26
4,RRP9,351.74954,Healthy 26
5,CNOT2,3653.8394,Healthy 26
6,SMO,31.90166,Healthy 26
7,RC3H2,2736.8394,Healthy 26
8,CLINT1,4335.7915,Healthy 26
9,CD52,19776.271,Healthy 26
10,CLSPN,155.3117,Healthy 26
11,MEGF9,4335.5747,Healthy 26
12,UBA7,3054.6626,Healthy 26
13,TRBC2,41847.207,Healthy 26
14,CNOT4,1987.2797,Healthy 26
15,TCP1,3681.274,Healthy 26
16,INSIG2,753.33856,Healthy 26
17,SEC61A1,2848.4192,Healthy 26
18,MED13,5661.765,Healthy 26
19,PLEKHS1,79.8334,Healthy 26
20,NUFIP2,6185.8745,Healthy 26
21,TSPAN18,708.8595,Healthy 26
22,XPC,3784.9055,Healthy 26
23,EIF3K,9090.148,Healthy 26
24,PIKFYVE,4700.364,Healthy 26
25,LEF1,5512.6196,Healthy 26
26,ATG12,2855.615,Healthy 26
27,PPL,109.95769,Healthy 26
28,CCDC50,1934.5002,Healthy 26
29,HLA-E,130557.61,Healthy 26
30,MTMR14,1548.2997,Healthy 26
31,AKT2,2501.9116,Healthy 26
32,ZNF708,1445.8381,Healthy 26
33,RPS9,34448.426,Healthy 26
34,ACACA,753.3226,Healthy 26
35,IGHG1,1846.0742,Healthy 26
36,PPT1,3126.114,Healthy 26
37,DEF6,6163.0044,Healthy 26
38,PSME4,4311.5317,Healthy 26
39,ZFR,4417.95,Healthy 26
40,HBS1L,2125.468,Healthy 26
41,FCN1,11194.466,Healthy 26
42,ARHGEF1,11920.583,Healthy 26
43,HIST1H4C,5084.463,Healthy 26
44,KSR1,367.73993,Healthy 26
45,RPS14,121079.94,Healthy 26
46,IGHM,5359.4814,Healthy 26
47,KCNAB2,6864.584,Healthy 26
48,PFDN5,25472.447,Healthy 26
49,IGLC2,489.72604,Healthy 26
50,HLA-B,283264.12,Healthy 26
51,LPIN3,22.319925,Healthy 26
52,MT-CYB,145834.42,Healthy 26
53,KIF3B,1994.7955,Healthy 26
54,SHOC2,3571.4934,Healthy 26
55,RPL11,84226.22,Healthy 26
56,NMT2,2222.1096,Healthy 26
57,ZNF26,654.67487,Healthy 26
58,MT-CO3,111098.695,Healthy 26
59,CSF2RB,445.85733,Healthy 26
60,TMSB4X,81489.16,Healthy 26
61,VCAN,12866.355,Healthy 26
62,S100A8,13958.675,Healthy 26
63,NEU1,894.01117,Healthy 26
64,B4GALT1,3443.9102,Healthy 26
65,HIPK2,4678.606,Healthy 26
66,PANK2,1778.6228,Healthy 26
67,ABCD1,186.1466,Healthy 26
68,PMPCB,2511.9175,Healthy 26
69,ACTG1,42091.89,Healthy 26
70,ARFGEF1,7001.812,Healthy 26
71,BBX,8009.1113,Healthy 26
72,MRPL44,412.02444,Healthy 26
73,CD8A,19803.945,Healthy 26
74,MRPL10,792.56165,Healthy 26
75,ZNF439,770.3317,Healthy 26
76,NIN,14530.154,Healthy 26
77,FMNL3,1542.9197,Healthy 26
78,WAC,10803.605,Healthy 26
79,CTDSP2,5144.544,Healthy 26
80,ATRX,20703.252,Healthy 26
81,CCL22,12.180268,Healthy 26
82,FGFR1OP,609.1385,Healthy 26
83,CMTM6,4046.1868,Healthy 26
84,ZNF664,1880.7206,Healthy 26
85,SPG21,2158.2131,Healthy 26
86,PNRC2,7138.1006,Healthy 26
87,PPP2CA,2943.8274,Healthy 26
88,EIF4A3,1909.4252,Healthy 26
89,KCTD12,2208.6663,Healthy 26
90,IGLV6-57,7.627765,Healthy 26
91,ATP2A3,4340.037,Healthy 26
92,AGO2,1178.5476,Healthy 26
93,GK5,2160.5256,Healthy 26
94,ALAD,1581.3654,Healthy 26
95,SATB1,9022.999,Healthy 26
96,RPS17,3670.782,Healthy 26
97,RPL22,25923.133,Healthy 26
98,SRSF6,5273.6025,Healthy 26
99,IQGAP2,12205.136,Healthy 26
100,TEP1,1806.9441,Healthy 26
101,CFLAR,13059.095,Healthy 26
102,DDX18,5058.5215,Healthy 26
103,TRAK1,1540.0249,Healthy 26
104,AHNAK2,112.454025,Healthy 26
105,GLIPR2,4023.65,Healthy 26
106,MT-CO2,123510.164,Healthy 26
107,TFAP2B,103.87122,Healthy 26
108,APLP2,10129.078,Healthy 26
109,SLC35G3,34.26958,Healthy 26
110,ADAR,16220.464,Healthy 26
111,HLA-A,104136.41,Healthy 26
112,SRL,45.39712,Healthy 26
113,SEC63,4257.4043,Healthy 26
114,HLA-C,68159.89,Healthy 26
115,DFFA,2025.3236,Healthy 26
116,TKT,9074.748,Healthy 26
117,PCMT1,2215.5735,Healthy 26
118,AHNAK,138908.5,Healthy 26
119,COL7A1,88.88999,Healthy 26
120,BMPR2,1759.9257,Healthy 26
121,FAM107B,11697.639,Healthy 26
122,MT-CO1,250831.97,Healthy 26
123,SNRPD2,9965.215,Healthy 26
124,CORO1C,1372.3268,Healthy 26
125,ODC1,2005.0759,Healthy 26
126,STK10,17217.76,Healthy 26
127,LCP1,49336.61,Healthy 26
128,RPS16,87669.83,Healthy 26
129,MTRNR2L8,100393.22,Healthy 26
130,ISG15,2770.8296,Healthy 26
131,YWHAB,29364.441,Healthy 26
132,SERF2,15666.789,Healthy 26
133,PDE4DIP,4261.167,Healthy 26
134,CFL1,20139.86,Healthy 26
135,IRF2,2901.3257,Healthy 26
136,PLEKHB1,729.9338,Healthy 26
137,TMX4,6626.522,Healthy 26
138,ALCAM,959.5277,Healthy 26
139,DNAH7,204.0119,Healthy 26
140,TOPBP1,3225.2366,Healthy 26
141,OGFRL1,3295.2424,Healthy 26
142,MSN,26278.219,Healthy 26
143,KDM6A,1692.0089,Healthy 26
144,TMEM241,129.70502,Healthy 26
145,AC079612.1,14.046038,Healthy 26
146,SEMA3F,24.887165,Healthy 26
147,AMPD2,1553.1802,Healthy 26
148,SLC25A6,19295.787,Healthy 26
149,SLA,5545.901,Healthy 26
150,IGLV2-23,0.0,Healthy 26
151,SLC38A2,3580.4695,Healthy 26
152,ARID1A,8017.8306,Healthy 26
153,TMBIM6,20229.203,Healthy 26
154,CYBA,12310.693,Healthy 26
155,NAT9,626.37213,Healthy 26
156,ZNF740,1466.2622,Healthy 26
157,HMGN1,4355.846,Healthy 26
158,LENG8,2481.7847,Healthy 26
159,RAD23A,4109.322,Healthy 26
160,DDX6,9641.446,Healthy 26
161,EMC4,3120.6108,Healthy 26
162,ANXA5,3804.192,Healthy 26
163,MIEN1,1635.7914,Healthy 26
164,ERP29,10517.468,Healthy 26
165,RNF19B,1107.6951,Healthy 26
166,RGL1,136.89655,Healthy 26
167,GNS,2591.3557,Healthy 26
168,ACAP1,12189.773,Healthy 26
169,LRRC8B,476.5037,Healthy 26
170,SCAF8,3251.3525,Healthy 26
171,USP3,3327.829,Healthy 26
172,ZNF106,9003.519,Healthy 26
173,TYMP,3278.6892,Healthy 26
174,TM9SF3,5997.2275,Healthy 26
175,KAT6A,12765.46,Healthy 26
176,AKAP11,3883.2864,Healthy 26
177,GZMH,16829.514,Healthy 26
178,HNRNPK,10364.698,Healthy 26
179,NOMO3,976.2694,Healthy 26
180,SHE,84.917076,Healthy 26
181,HIVEP1,1351.3042,Healthy 26
182,EFR3A,2891.1328,Healthy 26
183,TMBIM4,3433.7764,Healthy 26
184,LAPTM5,29357.729,Healthy 26
185,SND1,3477.4363,Healthy 26
186,LCK,11102.611,Healthy 26
187,TMEM245,2974.5557,Healthy 26
188,ARF1,8915.134,Healthy 26
189,GRM2,128.35497,Healthy 26
190,KCNK10,50.301456,Healthy 26
191,S100A9,22818.416,Healthy 26
192,RPS11,107105.984,Healthy 26
193,CAPN2,9811.171,Healthy 26
194,PHKG2,1314.8722,Healthy 26
195,ZC3H18,5645.6807,Healthy 26
196,ADD1,11600.587,Healthy 26
197,MX1,2410.547,Healthy 26
198,SCMH1,349.63434,Healthy 26
199,ZYX,2312.8733,Healthy 26
200,RNMT,2390.8838,Healthy 26
201,CANX,13974.378,Healthy 26
202,IGHG4,54.837822,Healthy 26
203,IL1RL1,96.258,Healthy 26
204,IGHV5-51,7.6103497,Healthy 26
205,LAMB1,116.10849,Healthy 26
206,PDIA3,9458.105,Healthy 26
207,ITGB2,34061.938,Healthy 26
208,NT5DC2,33.042,Healthy 26
209,VIM,26790.754,Healthy 26
210,TNFAIP3,7030.981,Healthy 26
211,RPS8,67639.27,Healthy 26
212,OXNAD1,4420.6772,Healthy 26
213,SLC25A46,1851.4832,Healthy 26
214,IGHV3-23,83.93001,Healthy 26
215,CNOT1,6506.261,Healthy 26
216,LPP,2687.9983,Healthy 26
217,UBE2J1,3597.8088,Healthy 26
218,ANKRD28,2038.8375,Healthy 26
219,PRDM4,2073.8513,Healthy 26
220,PSMB6,3597.7727,Healthy 26
221,UBXN7,4453.6733,Healthy 26
222,ZNF227,630.21875,Healthy 26
223,NCOA3,5104.3613,Healthy 26
224,MTX1,168.79333,Healthy 26
225,PDIA4,2898.789,Healthy 26
226,CHD4,16338.761,Healthy 26
227,AC159540.1,698.54004,Healthy 26
228,PLA2G2D,0.0,Healthy 26
229,CCDC97,1491.3036,Healthy 26
230,TMEM154,1834.7628,Healthy 26
231,HIST1H2BK,309.92383,Healthy 26
232,KIAA0319,45.947952,Healthy 26
233,APOBEC3G,5339.0674,Healthy 26
234,MOSPD1,348.73856,Healthy 26
235,RPN1,3144.7463,Healthy 26
236,ARHGAP1,1813.7798,Healthy 26
237,CIR1,3471.7515,Healthy 26
238,AACS,425.5395,Healthy 26
239,CHD7,3058.174,Healthy 26
240,STX6,1332.996,Healthy 26
241,SAMD9,8638.428,Healthy 26
242,TOM1,975.3477,Healthy 26
243,SNRPC,1867.4194,Healthy 26
244,PGAP1,299.27917,Healthy 26
245,ANXA1,16259.816,Healthy 26
246,TMEM181,4140.962,Healthy 26
247,ARHGAP12,1523.8595,Healthy 26
248,IPO11,216.05803,Healthy 26
