,Genename,Counts,Sample
0,B9D2,479.21228,Healthy 1
1,JAG2,38.04594,Healthy 1
2,DNASE1,214.26912,Healthy 1
3,TRMU,754.94495,Healthy 1
4,RRP9,395.1453,Healthy 1
5,CNOT2,6178.7705,Healthy 1
6,SMO,2.901155,Healthy 1
7,RC3H2,1183.7483,Healthy 1
8,CLINT1,3300.1638,Healthy 1
9,CD52,24032.295,Healthy 1
10,CLSPN,198.37769,Healthy 1
11,MEGF9,381.8876,Healthy 1
12,UBA7,777.09076,Healthy 1
13,TRBC2,18652.65,Healthy 1
14,CNOT4,2807.4226,Healthy 1
15,TCP1,2485.2588,Healthy 1
16,INSIG2,1111.543,Healthy 1
17,SEC61A1,2785.6685,Healthy 1
18,MED13,1381.6072,Healthy 1
19,PLEKHS1,0.0,Healthy 1
20,NUFIP2,1305.9125,Healthy 1
21,TSPAN18,70.49487,Healthy 1
22,XPC,2390.311,Healthy 1
23,EIF3K,30724.35,Healthy 1
24,PIKFYVE,1386.8757,Healthy 1
25,LEF1,5077.367,Healthy 1
26,ATG12,3034.6633,Healthy 1
27,PPL,0.0,Healthy 1
28,CCDC50,940.95013,Healthy 1
29,HLA-E,87010.73,Healthy 1
30,MTMR14,2899.2092,Healthy 1
31,AKT2,3196.5332,Healthy 1
32,ZNF708,737.31476,Healthy 1
33,RPS9,125260.79,Healthy 1
34,ACACA,330.48996,Healthy 1
35,IGHG1,44.664043,Healthy 1
36,PPT1,2578.3303,Healthy 1
37,DEF6,3606.7854,Healthy 1
38,PSME4,1533.5635,Healthy 1
39,ZFR,2356.1663,Healthy 1
40,HBS1L,1424.2773,Healthy 1
41,FCN1,8738.645,Healthy 1
42,ARHGEF1,9484.299,Healthy 1
43,HIST1H4C,9265.641,Healthy 1
44,KSR1,159.99202,Healthy 1
45,RPS14,350060.5,Healthy 1
46,IGHM,1411.6196,Healthy 1
47,KCNAB2,2513.3552,Healthy 1
48,PFDN5,65368.207,Healthy 1
49,IGLC2,139.443,Healthy 1
50,HLA-B,196488.69,Healthy 1
51,LPIN3,0.0,Healthy 1
52,MT-CYB,203087.27,Healthy 1
53,KIF3B,438.42938,Healthy 1
54,SHOC2,2741.9326,Healthy 1
55,RPL11,348984.06,Healthy 1
56,NMT2,494.41412,Healthy 1
57,ZNF26,588.06134,Healthy 1
58,MT-CO3,230680.33,Healthy 1
59,CSF2RB,93.84639,Healthy 1
60,TMSB4X,235080.8,Healthy 1
61,VCAN,5889.918,Healthy 1
62,S100A8,52984.46,Healthy 1
63,NEU1,1358.9052,Healthy 1
64,B4GALT1,5507.5703,Healthy 1
65,HIPK2,2212.1829,Healthy 1
66,PANK2,1159.7676,Healthy 1
67,ABCD1,268.74445,Healthy 1
68,PMPCB,3523.9475,Healthy 1
69,ACTG1,94303.0,Healthy 1
70,ARFGEF1,1443.854,Healthy 1
71,BBX,2909.838,Healthy 1
72,MRPL44,949.3189,Healthy 1
73,CD8A,14804.964,Healthy 1
74,MRPL10,1572.2057,Healthy 1
75,ZNF439,305.42947,Healthy 1
76,NIN,2027.6163,Healthy 1
77,FMNL3,750.7126,Healthy 1
78,WAC,3486.024,Healthy 1
79,CTDSP2,1155.7557,Healthy 1
80,ATRX,4982.6714,Healthy 1
81,CCL22,704.70166,Healthy 1
82,FGFR1OP,347.44183,Healthy 1
83,CMTM6,6484.8096,Healthy 1
84,ZNF664,801.55597,Healthy 1
85,SPG21,2009.8195,Healthy 1
86,PNRC2,4389.5264,Healthy 1
87,PPP2CA,3521.1912,Healthy 1
88,EIF4A3,2415.317,Healthy 1
89,KCTD12,199.56175,Healthy 1
90,IGLV6-57,267.02527,Healthy 1
91,ATP2A3,2759.0571,Healthy 1
92,AGO2,2932.4734,Healthy 1
93,GK5,1844.7755,Healthy 1
94,ALAD,293.63525,Healthy 1
95,SATB1,7330.9175,Healthy 1
96,RPS17,2143.8328,Healthy 1
97,RPL22,104577.69,Healthy 1
98,SRSF6,1804.6289,Healthy 1
99,IQGAP2,4897.754,Healthy 1
100,TEP1,198.17972,Healthy 1
101,CFLAR,5571.8813,Healthy 1
102,DDX18,4092.6826,Healthy 1
103,TRAK1,296.3998,Healthy 1
104,AHNAK2,0.0,Healthy 1
105,GLIPR2,2479.7915,Healthy 1
106,MT-CO2,287721.8,Healthy 1
107,TFAP2B,0.0,Healthy 1
108,APLP2,5633.058,Healthy 1
109,SLC35G3,2.7034335,Healthy 1
110,ADAR,5822.3965,Healthy 1
111,HLA-A,221692.92,Healthy 1
112,SRL,0.0,Healthy 1
113,SEC63,2705.7014,Healthy 1
114,HLA-C,183938.9,Healthy 1
115,DFFA,1034.7867,Healthy 1
