,Genename,Counts,Sample
0,B9D2,1019.3294,Moderate 0
1,JAG2,20.131609,Moderate 0
2,DNASE1,1403.2667,Moderate 0
3,TRMU,2211.4185,Moderate 0
4,RRP9,1681.4108,Moderate 0
5,CNOT2,10027.79,Moderate 0
6,SMO,0.0,Moderate 0
7,RC3H2,3148.6523,Moderate 0
8,CLINT1,8668.255,Moderate 0
9,CD52,174212.0,Moderate 0
10,CLSPN,119.35502,Moderate 0
11,MEGF9,1021.5631,Moderate 0
12,UBA7,3894.6304,Moderate 0
13,TRBC2,37743.895,Moderate 0
14,CNOT4,6884.817,Moderate 0
15,TCP1,7689.2803,Moderate 0
16,INSIG2,2199.59,Moderate 0
17,SEC61A1,5562.811,Moderate 0
18,MED13,1942.9093,Moderate 0
19,PLEKHS1,3.9292731,Moderate 0
20,NUFIP2,3979.403,Moderate 0
21,TSPAN18,453.3637,Moderate 0
22,XPC,4946.61,Moderate 0
23,EIF3K,80886.5,Moderate 0
24,PIKFYVE,4020.5908,Moderate 0
25,LEF1,36483.76,Moderate 0
26,ATG12,7434.8115,Moderate 0
27,PPL,5.186242,Moderate 0
28,CCDC50,3537.0347,Moderate 0
29,HLA-E,217937.92,Moderate 0
30,MTMR14,6847.3374,Moderate 0
31,AKT2,6369.891,Moderate 0
32,ZNF708,3010.0493,Moderate 0
33,RPS9,424773.75,Moderate 0
34,ACACA,1377.8566,Moderate 0
35,IGHG1,556.75604,Moderate 0
36,PPT1,5752.392,Moderate 0
37,DEF6,15199.415,Moderate 0
38,PSME4,2024.5559,Moderate 0
39,ZFR,8057.2505,Moderate 0
40,HBS1L,4321.691,Moderate 0
41,FCN1,5592.72,Moderate 0
42,ARHGEF1,37939.117,Moderate 0
43,HIST1H4C,21264.574,Moderate 0
44,KSR1,278.27142,Moderate 0
45,RPS14,516990.25,Moderate 0
46,IGHM,28835.342,Moderate 0
47,KCNAB2,6876.7095,Moderate 0
48,PFDN5,157125.98,Moderate 0
49,IGLC2,3739.0854,Moderate 0
50,HLA-B,534186.9,Moderate 0
51,LPIN3,9.270234,Moderate 0
52,MT-CYB,406105.53,Moderate 0
53,KIF3B,1535.5901,Moderate 0
54,SHOC2,5851.268,Moderate 0
55,RPL11,1038152.9,Moderate 0
56,NMT2,2606.1733,Moderate 0
57,ZNF26,1449.861,Moderate 0
58,MT-CO3,573826.25,Moderate 0
59,CSF2RB,216.21461,Moderate 0
60,TMSB4X,608778.75,Moderate 0
61,VCAN,6198.435,Moderate 0
62,S100A8,204748.64,Moderate 0
63,NEU1,2281.4968,Moderate 0
64,B4GALT1,8551.989,Moderate 0
65,HIPK2,2246.9275,Moderate 0
66,PANK2,3317.1692,Moderate 0
67,ABCD1,1415.874,Moderate 0
68,PMPCB,10032.095,Moderate 0
69,ACTG1,225315.8,Moderate 0
70,ARFGEF1,2902.9524,Moderate 0
71,BBX,11446.508,Moderate 0
72,MRPL44,3388.0806,Moderate 0
73,CD8A,17555.977,Moderate 0
74,MRPL10,3734.284,Moderate 0
75,ZNF439,1855.8389,Moderate 0
76,NIN,9391.646,Moderate 0
77,FMNL3,1168.2937,Moderate 0
78,WAC,6641.1143,Moderate 0
79,CTDSP2,3028.5625,Moderate 0
80,ATRX,21395.486,Moderate 0
81,CCL22,0.0,Moderate 0
82,FGFR1OP,1049.7579,Moderate 0
83,CMTM6,9247.027,Moderate 0
84,ZNF664,1840.6702,Moderate 0
85,SPG21,8442.44,Moderate 0
86,PNRC2,12735.352,Moderate 0
87,PPP2CA,6904.3184,Moderate 0
88,EIF4A3,4667.5474,Moderate 0
89,KCTD12,765.8687,Moderate 0
90,IGLV6-57,4986.587,Moderate 0
91,ATP2A3,8494.45,Moderate 0
92,AGO2,1902.5604,Moderate 0
