,Genename,Counts,Sample
165,RNF19B,1029.1973,Severe 8
166,RGL1,432.27686,Severe 8
167,GNS,4075.7734,Severe 8
168,ACAP1,2877.218,Severe 8
169,LRRC8B,289.5416,Severe 8
170,SCAF8,1338.5385,Severe 8
171,USP3,2877.9944,Severe 8
172,ZNF106,5300.199,Severe 8
173,TYMP,10342.959,Severe 8
174,TM9SF3,2595.4126,Severe 8
175,KAT6A,5126.6455,Severe 8
176,AKAP11,1618.5339,Severe 8
177,GZMH,9186.985,Severe 8
178,HNRNPK,6063.3057,Severe 8
179,NOMO3,1021.52386,Severe 8
180,SHE,262.17664,Severe 8
181,HIVEP1,808.52576,Severe 8
182,EFR3A,1889.1444,Severe 8
183,TMBIM4,2496.9434,Severe 8
184,LAPTM5,17353.684,Severe 8
185,SND1,2057.9434,Severe 8
186,LCK,2643.2275,Severe 8
187,TMEM245,1007.242,Severe 8
188,ARF1,8316.156,Severe 8
189,GRM2,295.31888,Severe 8
190,KCNK10,23.041473,Severe 8
191,S100A9,119732.03,Severe 8
192,RPS11,31813.14,Severe 8
193,CAPN2,8852.36,Severe 8
194,PHKG2,689.88776,Severe 8
195,ZC3H18,1398.3314,Severe 8
196,ADD1,6085.1636,Severe 8
197,MX1,13441.58,Severe 8
198,SCMH1,383.98877,Severe 8
199,ZYX,2296.1077,Severe 8
200,RNMT,1201.8197,Severe 8
201,CANX,7764.1484,Severe 8
202,IGHG4,3717.9297,Severe 8
203,IL1RL1,104.44613,Severe 8
204,IGHV5-51,35.330948,Severe 8
205,LAMB1,255.65074,Severe 8
206,PDIA3,7785.277,Severe 8
207,ITGB2,31823.361,Severe 8
208,NT5DC2,30.03003,Severe 8
209,VIM,17536.04,Severe 8
210,TNFAIP3,10422.742,Severe 8
211,RPS8,17037.771,Severe 8
212,OXNAD1,956.21906,Severe 8
213,SLC25A46,923.1295,Severe 8
214,IGHV3-23,429.4023,Severe 8
215,CNOT1,3941.8484,Severe 8
216,LPP,2371.83,Severe 8
217,UBE2J1,4151.9785,Severe 8
218,ANKRD28,1158.9705,Severe 8
219,PRDM4,1423.2538,Severe 8
