,Genename,Counts,Sample
0,B9D2,588.87683,Moderate 11
1,JAG2,9.5548,Moderate 11
2,DNASE1,227.99007,Moderate 11
3,TRMU,297.5073,Moderate 11
4,RRP9,201.17116,Moderate 11
5,CNOT2,1144.2549,Moderate 11
6,SMO,0.0,Moderate 11
7,RC3H2,747.22845,Moderate 11
8,CLINT1,1339.654,Moderate 11
9,CD52,21152.959,Moderate 11
10,CLSPN,58.43499,Moderate 11
11,MEGF9,3586.663,Moderate 11
12,UBA7,812.53766,Moderate 11
13,TRBC2,4666.3906,Moderate 11
14,CNOT4,1094.5856,Moderate 11
15,TCP1,1225.0276,Moderate 11
16,INSIG2,501.5386,Moderate 11
17,SEC61A1,1074.2743,Moderate 11
18,MED13,894.7421,Moderate 11
19,PLEKHS1,0.0,Moderate 11
20,NUFIP2,1379.4402,Moderate 11
21,TSPAN18,241.97687,Moderate 11
22,XPC,1488.1102,Moderate 11
23,EIF3K,9151.903,Moderate 11
24,PIKFYVE,917.6078,Moderate 11
25,LEF1,1255.9651,Moderate 11
26,ATG12,1281.7642,Moderate 11
27,PPL,0.0,Moderate 11
28,CCDC50,247.9896,Moderate 11
29,HLA-E,53344.062,Moderate 11
30,MTMR14,1530.439,Moderate 11
31,AKT2,742.071,Moderate 11
32,ZNF708,383.55548,Moderate 11
33,RPS9,53180.598,Moderate 11
34,ACACA,134.31735,Moderate 11
35,IGHG1,194.6017,Moderate 11
36,PPT1,4772.197,Moderate 11
37,DEF6,2842.579,Moderate 11
38,PSME4,386.10873,Moderate 11
39,ZFR,837.6653,Moderate 11
40,HBS1L,483.1764,Moderate 11
41,FCN1,15125.327,Moderate 11
42,ARHGEF1,4321.741,Moderate 11
43,HIST1H4C,8060.099,Moderate 11
44,KSR1,136.81912,Moderate 11
45,RPS14,85993.64,Moderate 11
46,IGHM,848.7577,Moderate 11
47,KCNAB2,1735.1454,Moderate 11
48,PFDN5,21764.25,Moderate 11
49,IGLC2,568.9366,Moderate 11
50,HLA-B,152303.89,Moderate 11
51,LPIN3,2.1704574,Moderate 11
52,MT-CYB,105122.37,Moderate 11
53,KIF3B,508.2556,Moderate 11
54,SHOC2,4573.2104,Moderate 11
55,RPL11,76751.33,Moderate 11
56,NMT2,250.59575,Moderate 11
57,ZNF26,155.25505,Moderate 11
58,MT-CO3,126462.51,Moderate 11
59,CSF2RB,7422.376,Moderate 11
