,Genename,Counts,Sample
0,B9D2,396.93323,Severe 7
1,JAG2,79.68131,Severe 7
2,DNASE1,986.1101,Severe 7
3,TRMU,819.3652,Severe 7
4,RRP9,266.05276,Severe 7
5,CNOT2,3606.0232,Severe 7
6,SMO,2.4906602,Severe 7
7,RC3H2,2421.746,Severe 7
8,CLINT1,4965.721,Severe 7
9,CD52,12580.009,Severe 7
10,CLSPN,217.49207,Severe 7
11,MEGF9,13771.751,Severe 7
12,UBA7,2187.2285,Severe 7
13,TRBC2,18288.354,Severe 7
14,CNOT4,1295.5583,Severe 7
15,TCP1,3570.6672,Severe 7
16,INSIG2,1099.3265,Severe 7
17,SEC61A1,4113.115,Severe 7
18,MED13,6705.65,Severe 7
19,PLEKHS1,33.16398,Severe 7
20,NUFIP2,6690.63,Severe 7
21,TSPAN18,443.16595,Severe 7
22,XPC,2788.1558,Severe 7
23,EIF3K,6987.07,Severe 7
24,PIKFYVE,4634.517,Severe 7
25,LEF1,2929.5967,Severe 7
26,ATG12,2591.483,Severe 7
27,PPL,44.883396,Severe 7
28,CCDC50,1634.1722,Severe 7
29,HLA-E,114178.38,Severe 7
30,MTMR14,2323.7808,Severe 7
31,AKT2,2072.7053,Severe 7
32,ZNF708,906.8007,Severe 7
33,RPS9,21761.902,Severe 7
34,ACACA,918.04285,Severe 7
35,IGHG1,6284.271,Severe 7
36,PPT1,10385.98,Severe 7
37,DEF6,4487.5,Severe 7
38,PSME4,3701.023,Severe 7
39,ZFR,4539.436,Severe 7
40,HBS1L,1753.4868,Severe 7
41,FCN1,47741.19,Severe 7
42,ARHGEF1,8339.982,Severe 7
43,HIST1H4C,3501.2107,Severe 7
44,KSR1,907.76074,Severe 7
45,RPS14,60522.41,Severe 7
46,IGHM,16563.117,Severe 7
47,KCNAB2,6664.712,Severe 7
48,PFDN5,18984.418,Severe 7
49,IGLC2,3851.6628,Severe 7
50,HLA-B,275870.2,Severe 7
51,LPIN3,44.443478,Severe 7
52,MT-CYB,34151.527,Severe 7
53,KIF3B,2513.3345,Severe 7
54,SHOC2,4800.6587,Severe 7
55,RPL11,48818.965,Severe 7
56,NMT2,1017.6229,Severe 7
57,ZNF26,491.46655,Severe 7
58,MT-CO3,43636.875,Severe 7
59,CSF2RB,1936.5118,Severe 7
60,TMSB4X,84648.305,Severe 7
61,VCAN,147688.89,Severe 7
62,S100A8,291994.2,Severe 7
63,NEU1,1310.5703,Severe 7
64,B4GALT1,5863.6416,Severe 7
65,HIPK2,5647.081,Severe 7
66,PANK2,2329.0815,Severe 7
67,ABCD1,368.81656,Severe 7
68,PMPCB,2183.4375,Severe 7
69,ACTG1,51905.617,Severe 7
70,ARFGEF1,6021.507,Severe 7
71,BBX,5740.021,Severe 7
72,MRPL44,908.44946,Severe 7
73,CD8A,10229.523,Severe 7
74,MRPL10,842.79877,Severe 7
75,ZNF439,267.12128,Severe 7
76,NIN,16274.768,Severe 7
77,FMNL3,1579.5106,Severe 7
78,WAC,11938.637,Severe 7
79,CTDSP2,4872.689,Severe 7
80,ATRX,11547.174,Severe 7
81,CCL22,22.879354,Severe 7
82,FGFR1OP,299.86618,Severe 7
83,CMTM6,7631.7744,Severe 7
84,ZNF664,2106.374,Severe 7
85,SPG21,4158.8047,Severe 7
86,PNRC2,7090.0845,Severe 7
87,PPP2CA,4450.909,Severe 7
88,EIF4A3,1835.4327,Severe 7
89,KCTD12,12631.581,Severe 7
90,IGLV6-57,23.593151,Severe 7
91,ATP2A3,2897.9895,Severe 7
92,AGO2,1467.581,Severe 7
93,GK5,1111.8566,Severe 7
94,ALAD,2664.5662,Severe 7
95,SATB1,5465.667,Severe 7
96,RPS17,2180.9016,Severe 7
97,RPL22,14590.575,Severe 7
98,SRSF6,5108.149,Severe 7
99,IQGAP2,13714.176,Severe 7
100,TEP1,2513.4912,Severe 7
101,CFLAR,15944.802,Severe 7
102,DDX18,4570.4756,Severe 7
103,TRAK1,2215.1372,Severe 7
104,AHNAK2,73.15267,Severe 7
105,GLIPR2,8959.12,Severe 7
106,MT-CO2,52908.277,Severe 7
107,TFAP2B,21.309124,Severe 7
108,APLP2,49859.04,Severe 7
109,SLC35G3,12.180983,Severe 7
110,ADAR,26142.26,Severe 7
111,HLA-A,121903.625,Severe 7
112,SRL,16.30769,Severe 7
113,SEC63,4278.682,Severe 7
114,HLA-C,69499.84,Severe 7
115,DFFA,1683.3202,Severe 7
116,TKT,29687.76,Severe 7
117,PCMT1,4116.767,Severe 7
118,AHNAK,133886.47,Severe 7
119,COL7A1,21.693544,Severe 7
120,BMPR2,3273.6362,Severe 7
