,Genename,Counts,Sample
0,B9D2,728.9214,Healthy 9
1,JAG2,18.956125,Healthy 9
2,DNASE1,846.5436,Healthy 9
3,TRMU,1561.9196,Healthy 9
4,RRP9,1202.5768,Healthy 9
5,CNOT2,6816.4644,Healthy 9
6,SMO,5.6672044,Healthy 9
7,RC3H2,2845.7485,Healthy 9
8,CLINT1,5741.4214,Healthy 9
9,CD52,142017.67,Healthy 9
10,CLSPN,128.56114,Healthy 9
11,MEGF9,2243.8425,Healthy 9
12,UBA7,3584.9866,Healthy 9
13,TRBC2,36741.83,Healthy 9
14,CNOT4,3872.0874,Healthy 9
15,TCP1,5704.882,Healthy 9
16,INSIG2,1830.1261,Healthy 9
17,SEC61A1,4538.118,Healthy 9
18,MED13,2195.0422,Healthy 9
19,PLEKHS1,0.0,Healthy 9
20,NUFIP2,3184.2542,Healthy 9
21,TSPAN18,1275.7703,Healthy 9
22,XPC,3929.8113,Healthy 9
23,EIF3K,52292.29,Healthy 9
24,PIKFYVE,2658.328,Healthy 9
25,LEF1,12613.441,Healthy 9
26,ATG12,5758.109,Healthy 9
27,PPL,0.0,Healthy 9
28,CCDC50,1749.6494,Healthy 9
29,HLA-E,146657.52,Healthy 9
30,MTMR14,4967.2393,Healthy 9
31,AKT2,3553.7092,Healthy 9
32,ZNF708,1743.0408,Healthy 9
33,RPS9,225635.94,Healthy 9
34,ACACA,730.31775,Healthy 9
35,IGHG1,430.2657,Healthy 9
36,PPT1,5614.407,Healthy 9
37,DEF6,8801.968,Healthy 9
38,PSME4,1947.4664,Healthy 9
39,ZFR,5184.769,Healthy 9
40,HBS1L,2932.6897,Healthy 9
41,FCN1,24024.29,Healthy 9
42,ARHGEF1,16205.97,Healthy 9
43,HIST1H4C,23809.395,Healthy 9
44,KSR1,428.66162,Healthy 9
45,RPS14,581811.44,Healthy 9
46,IGHM,6380.3643,Healthy 9
47,KCNAB2,6103.465,Healthy 9
48,PFDN5,122602.97,Healthy 9
49,IGLC2,1371.1293,Healthy 9
50,HLA-B,411225.62,Healthy 9
51,LPIN3,0.0,Healthy 9
52,MT-CYB,439131.28,Healthy 9
53,KIF3B,1165.8888,Healthy 9
54,SHOC2,6903.6533,Healthy 9
55,RPL11,624875.1,Healthy 9
56,NMT2,2070.7202,Healthy 9
57,ZNF26,1029.7041,Healthy 9
58,MT-CO3,512050.0,Healthy 9
59,CSF2RB,981.6363,Healthy 9
60,TMSB4X,928062.2,Healthy 9
61,VCAN,20525.484,Healthy 9
62,S100A8,146701.33,Healthy 9
63,NEU1,2108.3728,Healthy 9
64,B4GALT1,3717.3203,Healthy 9
65,HIPK2,2905.3374,Healthy 9
66,PANK2,2539.9705,Healthy 9
67,ABCD1,697.4471,Healthy 9
68,PMPCB,6914.2285,Healthy 9
69,ACTG1,138301.72,Healthy 9
70,ARFGEF1,2684.8245,Healthy 9
71,BBX,6344.7134,Healthy 9
72,MRPL44,2487.553,Healthy 9
73,CD8A,15402.089,Healthy 9
74,MRPL10,3772.637,Healthy 9
75,ZNF439,956.0806,Healthy 9
76,NIN,5774.124,Healthy 9
77,FMNL3,986.63806,Healthy 9
78,WAC,6481.288,Healthy 9
79,CTDSP2,3751.3,Healthy 9
80,ATRX,11459.749,Healthy 9
81,CCL22,581.859,Healthy 9
82,FGFR1OP,630.9194,Healthy 9
83,CMTM6,12814.945,Healthy 9
84,ZNF664,1770.6451,Healthy 9
85,SPG21,6214.557,Healthy 9
86,PNRC2,9323.08,Healthy 9
87,PPP2CA,5752.4126,Healthy 9
88,EIF4A3,3522.4412,Healthy 9
89,KCTD12,2957.1567,Healthy 9
90,IGLV6-57,903.14124,Healthy 9
91,ATP2A3,5532.8643,Healthy 9
92,AGO2,3157.1794,Healthy 9
93,GK5,2401.8357,Healthy 9
94,ALAD,1333.348,Healthy 9
95,SATB1,8050.8076,Healthy 9
96,RPS17,35004.94,Healthy 9
97,RPL22,193189.98,Healthy 9
98,SRSF6,4265.913,Healthy 9
99,IQGAP2,5877.0195,Healthy 9
100,TEP1,1024.049,Healthy 9
101,CFLAR,11689.297,Healthy 9
102,DDX18,10086.051,Healthy 9
103,TRAK1,796.6479,Healthy 9
104,AHNAK2,3.0147724,Healthy 9
105,GLIPR2,7085.612,Healthy 9
106,MT-CO2,720917.44,Healthy 9
107,TFAP2B,0.0,Healthy 9
108,APLP2,10077.198,Healthy 9
109,SLC35G3,2.098636,Healthy 9
110,ADAR,9221.129,Healthy 9
111,HLA-A,292065.38,Healthy 9
112,SRL,0.0,Healthy 9
113,SEC63,4652.1147,Healthy 9
114,HLA-C,364477.0,Healthy 9
115,DFFA,2234.8008,Healthy 9
116,TKT,15628.743,Healthy 9
117,PCMT1,7288.5635,Healthy 9
118,AHNAK,28602.836,Healthy 9
119,COL7A1,52.378307,Healthy 9
120,BMPR2,846.20245,Healthy 9
121,FAM107B,10759.641,Healthy 9
122,MT-CO1,590229.06,Healthy 9
123,SNRPD2,42170.53,Healthy 9
124,CORO1C,3024.824,Healthy 9
125,ODC1,8023.1025,Healthy 9
126,STK10,8045.256,Healthy 9
127,LCP1,34154.434,Healthy 9
128,RPS16,264131.88,Healthy 9
129,MTRNR2L8,128.47853,Healthy 9
130,ISG15,4643.498,Healthy 9
131,YWHAB,48860.227,Healthy 9
132,SERF2,114178.016,Healthy 9
133,PDE4DIP,2913.1953,Healthy 9
134,CFL1,106719.8,Healthy 9
135,IRF2,6633.176,Healthy 9
136,PLEKHB1,1348.217,Healthy 9
137,TMX4,7465.3525,Healthy 9
138,ALCAM,838.36884,Healthy 9
139,DNAH7,0.0,Healthy 9
140,TOPBP1,2218.6577,Healthy 9
141,OGFRL1,2164.9963,Healthy 9
142,MSN,27338.178,Healthy 9
143,KDM6A,2069.5903,Healthy 9
144,TMEM241,203.02304,Healthy 9
145,AC079612.1,0.0,Healthy 9
146,SEMA3F,4.9152503,Healthy 9
147,AMPD2,2260.751,Healthy 9
148,SLC25A6,64258.9,Healthy 9
149,SLA,5172.357,Healthy 9
150,IGLV2-23,977.6865,Healthy 9
151,SLC38A2,4417.8574,Healthy 9
152,ARID1A,5151.814,Healthy 9
153,TMBIM6,30935.27,Healthy 9
154,CYBA,54414.19,Healthy 9
155,NAT9,1811.2147,Healthy 9
156,ZNF740,822.0239,Healthy 9
157,HMGN1,23724.06,Healthy 9
158,LENG8,4404.796,Healthy 9
159,RAD23A,12296.623,Healthy 9
160,DDX6,12461.211,Healthy 9
161,EMC4,8178.3296,Healthy 9
162,ANXA5,12818.484,Healthy 9
163,MIEN1,7849.9185,Healthy 9
164,ERP29,25617.807,Healthy 9
165,RNF19B,918.4588,Healthy 9
166,RGL1,166.80608,Healthy 9
167,GNS,2744.0847,Healthy 9
168,ACAP1,13669.257,Healthy 9
169,LRRC8B,859.6283,Healthy 9
170,SCAF8,2357.4016,Healthy 9
171,USP3,6969.0083,Healthy 9
172,ZNF106,5818.1885,Healthy 9
173,TYMP,13428.574,Healthy 9
174,TM9SF3,2830.3967,Healthy 9
175,KAT6A,5334.7803,Healthy 9
176,AKAP11,1943.0419,Healthy 9
177,GZMH,21018.664,Healthy 9
178,HNRNPK,36459.03,Healthy 9
179,NOMO3,220.51921,Healthy 9
180,SHE,6.852071,Healthy 9
181,HIVEP1,1251.3584,Healthy 9
182,EFR3A,3630.9346,Healthy 9
183,TMBIM4,4234.6343,Healthy 9
184,LAPTM5,80701.28,Healthy 9
185,SND1,4461.34,Healthy 9
186,LCK,23760.732,Healthy 9
187,TMEM245,2014.9628,Healthy 9
188,ARF1,27255.72,Healthy 9
189,GRM2,27.026686,Healthy 9
190,KCNK10,2.3463163,Healthy 9
191,S100A9,107512.6,Healthy 9
192,RPS11,102808.38,Healthy 9
193,CAPN2,9285.562,Healthy 9
194,PHKG2,2256.6516,Healthy 9
195,ZC3H18,3214.2239,Healthy 9
196,ADD1,5217.0957,Healthy 9
197,MX1,2741.3538,Healthy 9
198,SCMH1,610.7835,Healthy 9
199,ZYX,22632.05,Healthy 9
200,RNMT,5287.0664,Healthy 9
201,CANX,11165.538,Healthy 9
202,IGHG4,38.08222,Healthy 9
203,IL1RL1,5.3286214,Healthy 9
204,IGHV5-51,1815.8386,Healthy 9
205,LAMB1,6.0261393,Healthy 9
206,PDIA3,18782.01,Healthy 9
207,ITGB2,31637.04,Healthy 9
208,NT5DC2,192.9657,Healthy 9
209,VIM,140416.62,Healthy 9
210,TNFAIP3,11195.94,Healthy 9
211,RPS8,661997.3,Healthy 9
212,OXNAD1,6486.4116,Healthy 9
213,SLC25A46,2597.1997,Healthy 9
214,IGHV3-23,2458.6074,Healthy 9
215,CNOT1,5511.9507,Healthy 9
216,LPP,3042.2732,Healthy 9
217,UBE2J1,6615.946,Healthy 9
218,ANKRD28,2334.435,Healthy 9
219,PRDM4,974.06866,Healthy 9
220,PSMB6,11339.887,Healthy 9
221,UBXN7,2198.6929,Healthy 9
222,ZNF227,855.92505,Healthy 9
223,NCOA3,4275.566,Healthy 9
224,MTX1,2423.4773,Healthy 9
225,PDIA4,3632.8306,Healthy 9
226,CHD4,5792.8564,Healthy 9
227,AC159540.1,265.1155,Healthy 9
228,PLA2G2D,8.7304945,Healthy 9
229,CCDC97,2559.5444,Healthy 9
230,TMEM154,4059.0955,Healthy 9
231,HIST1H2BK,2542.177,Healthy 9
232,KIAA0319,8.147246,Healthy 9
233,APOBEC3G,8599.701,Healthy 9
234,MOSPD1,795.17236,Healthy 9
235,RPN1,10598.955,Healthy 9
236,ARHGAP1,3114.8984,Healthy 9
237,CIR1,7968.8584,Healthy 9
238,AACS,384.7897,Healthy 9
239,CHD7,2198.6135,Healthy 9
240,STX6,1693.7748,Healthy 9
241,SAMD9,4560.9287,Healthy 9
242,TOM1,3860.8699,Healthy 9
243,SNRPC,8838.102,Healthy 9
