,Genename,Counts,Sample
0,B9D2,365.22614,Severe 9
1,JAG2,125.01131,Severe 9
2,DNASE1,1044.6078,Severe 9
3,TRMU,1055.1837,Severe 9
4,RRP9,303.1314,Severe 9
5,CNOT2,4096.5957,Severe 9
6,SMO,40.0933,Severe 9
7,RC3H2,2652.1755,Severe 9
8,CLINT1,5171.8975,Severe 9
9,CD52,13588.982,Severe 9
10,CLSPN,332.0838,Severe 9
11,MEGF9,9924.885,Severe 9
12,UBA7,3165.3914,Severe 9
13,TRBC2,17724.76,Severe 9
14,CNOT4,1932.9468,Severe 9
15,TCP1,3818.2341,Severe 9
16,INSIG2,533.24255,Severe 9
17,SEC61A1,4161.429,Severe 9
18,MED13,7034.9297,Severe 9
19,PLEKHS1,218.67632,Severe 9
20,NUFIP2,6203.8257,Severe 9
21,TSPAN18,430.95312,Severe 9
22,XPC,1875.1033,Severe 9
23,EIF3K,7553.1973,Severe 9
24,PIKFYVE,4689.695,Severe 9
25,LEF1,2315.6006,Severe 9
26,ATG12,2774.7124,Severe 9
27,PPL,180.11557,Severe 9
28,CCDC50,2620.9539,Severe 9
29,HLA-E,160956.27,Severe 9
30,MTMR14,2297.1394,Severe 9
31,AKT2,2879.065,Severe 9
32,ZNF708,942.782,Severe 9
33,RPS9,21321.55,Severe 9
34,ACACA,989.68524,Severe 9
35,IGHG1,6351.427,Severe 9
36,PPT1,8452.279,Severe 9
37,DEF6,4367.662,Severe 9
38,PSME4,4372.01,Severe 9
39,ZFR,4915.234,Severe 9
40,HBS1L,2288.3406,Severe 9
41,FCN1,37585.215,Severe 9
42,ARHGEF1,10821.313,Severe 9
43,HIST1H4C,4175.0396,Severe 9
44,KSR1,1257.9619,Severe 9
45,RPS14,62023.39,Severe 9
46,IGHM,16031.934,Severe 9
47,KCNAB2,6916.92,Severe 9
48,PFDN5,19148.768,Severe 9
49,IGLC2,7745.012,Severe 9
50,HLA-B,400548.88,Severe 9
51,LPIN3,93.39607,Severe 9
52,MT-CYB,45268.83,Severe 9
53,KIF3B,3146.803,Severe 9
54,SHOC2,4964.9087,Severe 9
55,RPL11,47826.137,Severe 9
56,NMT2,1351.234,Severe 9
57,ZNF26,924.78705,Severe 9
58,MT-CO3,61144.754,Severe 9
59,CSF2RB,1860.8242,Severe 9
60,TMSB4X,73719.14,Severe 9
61,VCAN,70414.79,Severe 9
62,S100A8,198929.02,Severe 9
63,NEU1,1439.5688,Severe 9
64,B4GALT1,7295.847,Severe 9
65,HIPK2,6542.6196,Severe 9
66,PANK2,2346.2075,Severe 9
67,ABCD1,273.84177,Severe 9
68,PMPCB,2462.6497,Severe 9
69,ACTG1,30175.863,Severe 9
70,ARFGEF1,5620.933,Severe 9
71,BBX,9525.126,Severe 9
72,MRPL44,1221.9874,Severe 9
73,CD8A,11629.903,Severe 9
74,MRPL10,2097.6467,Severe 9
75,ZNF439,303.63937,Severe 9
76,NIN,14731.636,Severe 9
77,FMNL3,1955.5938,Severe 9
78,WAC,13684.8,Severe 9
79,CTDSP2,4021.035,Severe 9
80,ATRX,13971.252,Severe 9
81,CCL22,185.91248,Severe 9
82,FGFR1OP,572.69354,Severe 9
83,CMTM6,6815.9316,Severe 9
84,ZNF664,2349.7502,Severe 9
85,SPG21,3708.19,Severe 9
86,PNRC2,6519.6924,Severe 9
87,PPP2CA,4426.9775,Severe 9
88,EIF4A3,1953.3655,Severe 9
89,KCTD12,7374.32,Severe 9
90,IGLV6-57,214.64868,Severe 9
91,ATP2A3,4333.9834,Severe 9
92,AGO2,1411.5833,Severe 9
93,GK5,1970.8625,Severe 9
94,ALAD,2180.4253,Severe 9
95,SATB1,6277.571,Severe 9
96,RPS17,3038.492,Severe 9
97,RPL22,12583.779,Severe 9
98,SRSF6,5499.083,Severe 9
99,IQGAP2,15961.827,Severe 9
100,TEP1,2440.2935,Severe 9
101,CFLAR,18789.633,Severe 9
102,DDX18,4435.477,Severe 9
103,TRAK1,2647.336,Severe 9
104,AHNAK2,395.56735,Severe 9
105,GLIPR2,8254.896,Severe 9
106,MT-CO2,71882.16,Severe 9
107,TFAP2B,123.02499,Severe 9
108,APLP2,44408.867,Severe 9
109,SLC35G3,155.27928,Severe 9
110,ADAR,40684.383,Severe 9
111,HLA-A,155839.75,Severe 9
112,SRL,24.29793,Severe 9
