,Genename,Counts,Sample
0,B9D2,123.397766,Healthy 23
1,JAG2,116.86884,Healthy 23
2,DNASE1,992.2295,Healthy 23
3,TRMU,729.5115,Healthy 23
4,RRP9,229.4709,Healthy 23
5,CNOT2,2621.2876,Healthy 23
6,SMO,43.79338,Healthy 23
7,RC3H2,1749.3114,Healthy 23
8,CLINT1,2637.879,Healthy 23
9,CD52,8156.8154,Healthy 23
10,CLSPN,245.61562,Healthy 23
11,MEGF9,2523.933,Healthy 23
12,UBA7,1609.858,Healthy 23
13,TRBC2,18411.152,Healthy 23
14,CNOT4,1159.5726,Healthy 23
15,TCP1,2850.5117,Healthy 23
16,INSIG2,625.16595,Healthy 23
17,SEC61A1,2006.5726,Healthy 23
18,MED13,4460.314,Healthy 23
19,PLEKHS1,7.7459335,Healthy 23
20,NUFIP2,3877.0183,Healthy 23
21,TSPAN18,150.27368,Healthy 23
22,XPC,2073.4297,Healthy 23
23,EIF3K,4769.928,Healthy 23
24,PIKFYVE,2963.8857,Healthy 23
25,LEF1,1896.7184,Healthy 23
26,ATG12,1907.9019,Healthy 23
27,PPL,8.14996,Healthy 23
28,CCDC50,1193.0724,Healthy 23
29,HLA-E,115002.2,Healthy 23
30,MTMR14,802.65393,Healthy 23
31,AKT2,1813.0746,Healthy 23
32,ZNF708,661.4968,Healthy 23
33,RPS9,17781.252,Healthy 23
34,ACACA,570.58856,Healthy 23
35,IGHG1,745.6382,Healthy 23
36,PPT1,1037.7483,Healthy 23
37,DEF6,3150.7595,Healthy 23
38,PSME4,3204.3586,Healthy 23
39,ZFR,3021.9163,Healthy 23
40,HBS1L,1110.4708,Healthy 23
41,FCN1,1996.1687,Healthy 23
42,ARHGEF1,5782.2915,Healthy 23
43,HIST1H4C,2683.8652,Healthy 23
44,KSR1,417.60233,Healthy 23
45,RPS14,59881.605,Healthy 23
46,IGHM,5547.3076,Healthy 23
47,KCNAB2,5596.0127,Healthy 23
48,PFDN5,12597.62,Healthy 23
49,IGLC2,554.7698,Healthy 23
50,HLA-B,212971.1,Healthy 23
51,LPIN3,14.880772,Healthy 23
52,MT-CYB,65926.11,Healthy 23
53,KIF3B,1131.2091,Healthy 23
54,SHOC2,2648.4583,Healthy 23
55,RPL11,38757.254,Healthy 23
56,NMT2,1568.0369,Healthy 23
57,ZNF26,466.8605,Healthy 23
58,MT-CO3,53213.496,Healthy 23
59,CSF2RB,142.61156,Healthy 23
60,TMSB4X,45536.28,Healthy 23
61,VCAN,1627.7224,Healthy 23
62,S100A8,2477.24,Healthy 23
63,NEU1,462.21048,Healthy 23
64,B4GALT1,4216.3003,Healthy 23
65,HIPK2,9109.032,Healthy 23
66,PANK2,1155.0013,Healthy 23
67,ABCD1,83.31429,Healthy 23
68,PMPCB,1791.2902,Healthy 23
69,ACTG1,26629.236,Healthy 23
70,ARFGEF1,3505.839,Healthy 23
71,BBX,5114.5625,Healthy 23
72,MRPL44,540.4702,Healthy 23
73,CD8A,4266.8604,Healthy 23
74,MRPL10,970.6113,Healthy 23
75,ZNF439,345.81464,Healthy 23
76,NIN,7105.9785,Healthy 23
77,FMNL3,1512.9371,Healthy 23
78,WAC,8527.979,Healthy 23
79,CTDSP2,2751.2607,Healthy 23
80,ATRX,10584.217,Healthy 23
81,CCL22,16.389835,Healthy 23
82,FGFR1OP,341.2053,Healthy 23
83,CMTM6,2844.241,Healthy 23
84,ZNF664,2022.9757,Healthy 23
85,SPG21,1293.9501,Healthy 23
86,PNRC2,4919.8135,Healthy 23
87,PPP2CA,2432.8127,Healthy 23
88,EIF4A3,915.0803,Healthy 23
89,KCTD12,283.59534,Healthy 23
90,IGLV6-57,0.0,Healthy 23
91,ATP2A3,2729.8713,Healthy 23
92,AGO2,1035.8057,Healthy 23
93,GK5,1898.3163,Healthy 23
94,ALAD,1307.1655,Healthy 23
95,SATB1,4981.83,Healthy 23
96,RPS17,2109.1567,Healthy 23
97,RPL22,10790.611,Healthy 23
98,SRSF6,3392.951,Healthy 23
99,IQGAP2,9782.293,Healthy 23
100,TEP1,1602.8634,Healthy 23
101,CFLAR,10494.375,Healthy 23
102,DDX18,2545.3142,Healthy 23
103,TRAK1,1303.8694,Healthy 23
104,AHNAK2,114.78259,Healthy 23
105,GLIPR2,3241.2136,Healthy 23
106,MT-CO2,80515.03,Healthy 23
107,TFAP2B,25.878117,Healthy 23
108,APLP2,5445.1475,Healthy 23
109,SLC35G3,15.100271,Healthy 23
110,ADAR,11298.28,Healthy 23
111,HLA-A,83477.75,Healthy 23
112,SRL,0.0,Healthy 23
113,SEC63,3218.641,Healthy 23
114,HLA-C,57749.617,Healthy 23
115,DFFA,1279.679,Healthy 23
116,TKT,3114.1758,Healthy 23
117,PCMT1,1712.8907,Healthy 23
118,AHNAK,85242.92,Healthy 23
119,COL7A1,0.0,Healthy 23
120,BMPR2,1703.2518,Healthy 23
121,FAM107B,7745.1274,Healthy 23
122,MT-CO1,149921.7,Healthy 23
123,SNRPD2,6459.1055,Healthy 23
124,CORO1C,754.2608,Healthy 23
125,ODC1,1379.7354,Healthy 23
126,STK10,13755.006,Healthy 23
127,LCP1,43689.273,Healthy 23
128,RPS16,32858.79,Healthy 23
129,MTRNR2L8,71572.16,Healthy 23
130,ISG15,1120.1038,Healthy 23
131,YWHAB,19348.21,Healthy 23
132,SERF2,9931.776,Healthy 23
133,PDE4DIP,2317.848,Healthy 23
134,CFL1,15590.359,Healthy 23
135,IRF2,1329.8331,Healthy 23
136,PLEKHB1,233.36555,Healthy 23
137,TMX4,4901.5557,Healthy 23
138,ALCAM,204.96594,Healthy 23
139,DNAH7,66.09463,Healthy 23
140,TOPBP1,2784.6287,Healthy 23
141,OGFRL1,1679.62,Healthy 23
142,MSN,24063.975,Healthy 23
143,KDM6A,1359.801,Healthy 23
144,TMEM241,153.37004,Healthy 23
145,AC079612.1,22.757994,Healthy 23
146,SEMA3F,33.59264,Healthy 23
147,AMPD2,686.30634,Healthy 23
148,SLC25A6,9510.235,Healthy 23
149,SLA,4123.169,Healthy 23
150,IGLV2-23,44.734394,Healthy 23
151,SLC38A2,3359.1282,Healthy 23
152,ARID1A,5492.8965,Healthy 23
153,TMBIM6,14653.965,Healthy 23
154,CYBA,10203.243,Healthy 23
155,NAT9,436.74252,Healthy 23
156,ZNF740,971.75476,Healthy 23
157,HMGN1,3231.6736,Healthy 23
158,LENG8,1248.5631,Healthy 23
159,RAD23A,2445.6768,Healthy 23
160,DDX6,8673.037,Healthy 23
161,EMC4,1999.1036,Healthy 23
162,ANXA5,1317.8096,Healthy 23
163,MIEN1,1379.5385,Healthy 23
164,ERP29,4989.302,Healthy 23
165,RNF19B,640.1872,Healthy 23
166,RGL1,66.698814,Healthy 23
167,GNS,2066.4973,Healthy 23
168,ACAP1,5770.3184,Healthy 23
169,LRRC8B,253.24356,Healthy 23
170,SCAF8,1937.2457,Healthy 23
171,USP3,1986.2161,Healthy 23
172,ZNF106,4625.0244,Healthy 23
173,TYMP,1039.1642,Healthy 23
174,TM9SF3,3520.2627,Healthy 23
175,KAT6A,7503.8345,Healthy 23
176,AKAP11,2803.584,Healthy 23
177,GZMH,19416.723,Healthy 23
178,HNRNPK,7884.393,Healthy 23
179,NOMO3,990.3756,Healthy 23
180,SHE,70.514305,Healthy 23
181,HIVEP1,923.7304,Healthy 23
182,EFR3A,2020.57,Healthy 23
183,TMBIM4,1579.2103,Healthy 23
184,LAPTM5,14799.961,Healthy 23
185,SND1,2655.2744,Healthy 23
186,LCK,8174.944,Healthy 23
187,TMEM245,1504.4977,Healthy 23
188,ARF1,7707.603,Healthy 23
189,GRM2,65.04453,Healthy 23
190,KCNK10,30.731066,Healthy 23
191,S100A9,3766.322,Healthy 23
192,RPS11,53898.945,Healthy 23
193,CAPN2,8799.872,Healthy 23
194,PHKG2,972.20654,Healthy 23
195,ZC3H18,3036.158,Healthy 23
196,ADD1,9453.877,Healthy 23
197,MX1,1186.443,Healthy 23
198,SCMH1,202.068,Healthy 23
199,ZYX,876.81213,Healthy 23
200,RNMT,1605.7504,Healthy 23
