,Genename,Counts,Sample
0,B9D2,560.5186,Severe 10
1,JAG2,210.62157,Severe 10
2,DNASE1,1569.1106,Severe 10
3,TRMU,1369.0093,Severe 10
4,RRP9,465.7846,Severe 10
5,CNOT2,6028.7866,Severe 10
6,SMO,44.526997,Severe 10
7,RC3H2,5041.3223,Severe 10
8,CLINT1,9330.798,Severe 10
9,CD52,27888.645,Severe 10
10,CLSPN,665.9715,Severe 10
11,MEGF9,20268.213,Severe 10
12,UBA7,4930.938,Severe 10
13,TRBC2,24948.342,Severe 10
14,CNOT4,2560.2026,Severe 10
15,TCP1,7763.731,Severe 10
16,INSIG2,1381.0977,Severe 10
17,SEC61A1,7509.5137,Severe 10
18,MED13,11395.219,Severe 10
19,PLEKHS1,76.91927,Severe 10
20,NUFIP2,10586.988,Severe 10
21,TSPAN18,970.6655,Severe 10
22,XPC,3751.489,Severe 10
23,EIF3K,15040.185,Severe 10
24,PIKFYVE,7346.7793,Severe 10
25,LEF1,4383.173,Severe 10
26,ATG12,4122.3457,Severe 10
27,PPL,343.8281,Severe 10
28,CCDC50,4117.0645,Severe 10
29,HLA-E,231861.77,Severe 10
30,MTMR14,3965.5442,Severe 10
31,AKT2,4301.1147,Severe 10
32,ZNF708,1202.4781,Severe 10
33,RPS9,61693.754,Severe 10
34,ACACA,1731.7292,Severe 10
35,IGHG1,8155.794,Severe 10
36,PPT1,17440.205,Severe 10
37,DEF6,6550.3413,Severe 10
38,PSME4,6817.6514,Severe 10
39,ZFR,8017.808,Severe 10
40,HBS1L,3284.6274,Severe 10
41,FCN1,101253.22,Severe 10
42,ARHGEF1,13363.719,Severe 10
43,HIST1H4C,8780.033,Severe 10
44,KSR1,2359.9797,Severe 10
45,RPS14,133438.95,Severe 10
46,IGHM,17864.787,Severe 10
47,KCNAB2,9581.788,Severe 10
48,PFDN5,43243.027,Severe 10
49,IGLC2,4851.321,Severe 10
50,HLA-B,437508.72,Severe 10
51,LPIN3,153.92685,Severe 10
52,MT-CYB,112361.77,Severe 10
53,KIF3B,3520.2932,Severe 10
54,SHOC2,8759.128,Severe 10
55,RPL11,111344.52,Severe 10
56,NMT2,1834.3021,Severe 10
57,ZNF26,956.0324,Severe 10
58,MT-CO3,128982.06,Severe 10
59,CSF2RB,7496.558,Severe 10
60,TMSB4X,170613.64,Severe 10
61,VCAN,236926.44,Severe 10
62,S100A8,486723.97,Severe 10
63,NEU1,2392.7578,Severe 10
64,B4GALT1,10700.302,Severe 10
65,HIPK2,11250.694,Severe 10
66,PANK2,3993.4224,Severe 10
67,ABCD1,645.64453,Severe 10
68,PMPCB,4466.5864,Severe 10
69,ACTG1,96708.52,Severe 10
70,ARFGEF1,8764.676,Severe 10
71,BBX,11732.7295,Severe 10
72,MRPL44,1759.7487,Severe 10
73,CD8A,8634.108,Severe 10
74,MRPL10,1518.315,Severe 10
75,ZNF439,612.29626,Severe 10
76,NIN,24892.053,Severe 10
77,FMNL3,2798.7139,Severe 10
78,WAC,19955.357,Severe 10
79,CTDSP2,9704.52,Severe 10
80,ATRX,19122.547,Severe 10
81,CCL22,76.428894,Severe 10
82,FGFR1OP,690.8177,Severe 10
83,CMTM6,18179.23,Severe 10
84,ZNF664,3644.698,Severe 10
85,SPG21,7095.1035,Severe 10
86,PNRC2,10096.466,Severe 10
87,PPP2CA,9180.861,Severe 10
88,EIF4A3,4415.2695,Severe 10
89,KCTD12,19565.326,Severe 10
90,IGLV6-57,322.6337,Severe 10
91,ATP2A3,5411.202,Severe 10
92,AGO2,2545.9016,Severe 10
93,GK5,1905.7397,Severe 10
94,ALAD,3385.3171,Severe 10
95,SATB1,10216.1455,Severe 10
96,RPS17,6564.948,Severe 10
97,RPL22,33323.88,Severe 10
98,SRSF6,10962.178,Severe 10
99,IQGAP2,21603.678,Severe 10
100,TEP1,4296.0938,Severe 10
101,CFLAR,26112.605,Severe 10
102,DDX18,7798.2397,Severe 10
103,TRAK1,5193.7974,Severe 10
104,AHNAK2,279.33084,Severe 10
105,GLIPR2,19561.55,Severe 10
106,MT-CO2,158185.95,Severe 10
107,TFAP2B,235.14095,Severe 10
108,APLP2,82621.73,Severe 10
109,SLC35G3,101.141266,Severe 10
110,ADAR,52417.086,Severe 10
111,HLA-A,176617.39,Severe 10
112,SRL,98.47105,Severe 10
113,SEC63,7772.23,Severe 10
114,HLA-C,135023.47,Severe 10
115,DFFA,3217.597,Severe 10
116,TKT,45271.445,Severe 10
117,PCMT1,6622.4175,Severe 10
118,AHNAK,170779.7,Severe 10
119,COL7A1,159.47899,Severe 10
120,BMPR2,6056.1655,Severe 10
121,FAM107B,15009.271,Severe 10
122,MT-CO1,277160.2,Severe 10
123,SNRPD2,16161.661,Severe 10
124,CORO1C,13444.961,Severe 10
125,ODC1,7546.365,Severe 10
126,STK10,21254.332,Severe 10
127,LCP1,171568.7,Severe 10
128,RPS16,102388.69,Severe 10
129,MTRNR2L8,273336.2,Severe 10
130,ISG15,24819.059,Severe 10
131,YWHAB,62675.52,Severe 10
132,SERF2,46402.207,Severe 10
133,PDE4DIP,4575.795,Severe 10
134,CFL1,42901.71,Severe 10
135,IRF2,5966.2886,Severe 10
136,PLEKHB1,482.51132,Severe 10
137,TMX4,9704.955,Severe 10
138,ALCAM,2939.7463,Severe 10
139,DNAH7,389.50226,Severe 10
140,TOPBP1,5353.489,Severe 10
141,OGFRL1,13276.378,Severe 10
142,MSN,71005.7,Severe 10
143,KDM6A,3463.9392,Severe 10
144,TMEM241,440.27277,Severe 10
145,AC079612.1,70.07886,Severe 10
146,SEMA3F,40.803516,Severe 10
147,AMPD2,4082.985,Severe 10
148,SLC25A6,29491.934,Severe 10
149,SLA,12324.153,Severe 10
150,IGLV2-23,159.74977,Severe 10
151,SLC38A2,9414.835,Severe 10
152,ARID1A,11359.446,Severe 10
153,TMBIM6,46438.883,Severe 10
154,CYBA,29706.14,Severe 10
155,NAT9,1034.8479,Severe 10
156,ZNF740,1470.6229,Severe 10
157,HMGN1,8147.505,Severe 10
158,LENG8,2651.1375,Severe 10
159,RAD23A,6486.185,Severe 10
160,DDX6,14349.649,Severe 10
161,EMC4,5980.0195,Severe 10
162,ANXA5,20701.783,Severe 10
163,MIEN1,3314.7976,Severe 10
164,ERP29,15813.343,Severe 10
165,RNF19B,3948.7642,Severe 10
166,RGL1,1851.6788,Severe 10
167,GNS,16769.799,Severe 10
168,ACAP1,8834.621,Severe 10
169,LRRC8B,1641.6874,Severe 10
170,SCAF8,4256.4663,Severe 10
171,USP3,9461.813,Severe 10
172,ZNF106,23640.463,Severe 10
173,TYMP,50108.39,Severe 10
174,TM9SF3,10122.375,Severe 10
175,KAT6A,16824.559,Severe 10
176,AKAP11,5559.753,Severe 10
177,GZMH,11666.19,Severe 10
178,HNRNPK,29992.062,Severe 10
179,NOMO3,2748.2378,Severe 10
180,SHE,332.14276,Severe 10
181,HIVEP1,2690.8315,Severe 10
182,EFR3A,5744.212,Severe 10
183,TMBIM4,8381.515,Severe 10
184,LAPTM5,79796.445,Severe 10
185,SND1,9394.481,Severe 10
186,LCK,8697.196,Severe 10
187,TMEM245,3617.397,Severe 10
188,ARF1,29014.482,Severe 10
189,GRM2,218.62167,Severe 10
190,KCNK10,87.45741,Severe 10
191,S100A9,563902.9,Severe 10
192,RPS11,154702.25,Severe 10
193,CAPN2,26783.867,Severe 10
194,PHKG2,2358.2883,Severe 10
195,ZC3H18,4699.8315,Severe 10
196,ADD1,18919.553,Severe 10
197,MX1,38876.594,Severe 10
198,SCMH1,592.94794,Severe 10
199,ZYX,8646.251,Severe 10
200,RNMT,3827.0564,Severe 10
201,CANX,36439.715,Severe 10
202,IGHG4,1173.7883,Severe 10
203,IL1RL1,183.06194,Severe 10
204,IGHV5-51,78.501205,Severe 10
205,LAMB1,165.07007,Severe 10
206,PDIA3,23718.732,Severe 10
207,ITGB2,123077.4,Severe 10
208,NT5DC2,269.6167,Severe 10
209,VIM,102059.71,Severe 10
210,TNFAIP3,26920.213,Severe 10
211,RPS8,89444.03,Severe 10
212,OXNAD1,3282.277,Severe 10
213,SLC25A46,3936.224,Severe 10
214,IGHV3-23,771.2453,Severe 10
215,CNOT1,13051.784,Severe 10
216,LPP,6865.7944,Severe 10
217,UBE2J1,18589.828,Severe 10
218,ANKRD28,5624.0903,Severe 10
219,PRDM4,2952.0835,Severe 10
220,PSMB6,8878.504,Severe 10
221,UBXN7,6065.438,Severe 10
222,ZNF227,714.9473,Severe 10
223,NCOA3,9810.949,Severe 10
224,MTX1,628.91437,Severe 10
225,PDIA4,8164.196,Severe 10
226,CHD4,22930.795,Severe 10
227,AC159540.1,549.0242,Severe 10
228,PLA2G2D,65.57625,Severe 10
229,CCDC97,1910.6409,Severe 10
230,TMEM154,6851.8066,Severe 10
231,HIST1H2BK,3715.0847,Severe 10
232,KIAA0319,208.4366,Severe 10
233,APOBEC3G,7989.1323,Severe 10
234,MOSPD1,498.6939,Severe 10
235,RPN1,9289.042,Severe 10
236,ARHGAP1,3112.302,Severe 10
237,CIR1,7310.1875,Severe 10
238,AACS,1180.9238,Severe 10
239,CHD7,4332.5835,Severe 10
240,STX6,2392.2742,Severe 10
241,SAMD9,20897.008,Severe 10
242,TOM1,4012.7869,Severe 10
243,SNRPC,4560.5225,Severe 10
244,PGAP1,944.9974,Severe 10
245,ANXA1,46514.734,Severe 10
246,TMEM181,2322.6023,Severe 10
247,ARHGAP12,2240.2734,Severe 10
248,IPO11,705.71344,Severe 10
249,KLF3,11204.434,Severe 10
250,CTSS,188024.44,Severe 10
251,LYZ,134578.62,Severe 10
252,IFI44L,27417.19,Severe 10
253,HNRNPUL1,16814.895,Severe 10
254,GNAS,51702.152,Severe 10
255,SNED1,446.7139,Severe 10
256,IQGAP1,53724.645,Severe 10
257,HMGXB3,1381.6587,Severe 10
258,KDM5C,3486.7275,Severe 10
259,RNF213,101640.84,Severe 10
260,RPS13,76163.164,Severe 10
261,TMCO1,4714.765,Severe 10
262,ELL2,2091.3303,Severe 10
263,RPLP1,103509.93,Severe 10
264,RPL32,57219.223,Severe 10
265,RAB1B,1480.0713,Severe 10
266,PKM,49229.895,Severe 10
267,IGHA1,4837.934,Severe 10
268,NDUFB8,6427.861,Severe 10
269,COPB2,6841.151,Severe 10
270,ARAF,2774.3545,Severe 10
271,COLEC11,13.541071,Severe 10
272,IGHV1-24,28.519108,Severe 10
273,B2M,577598.0,Severe 10
