,Genename,Counts,Sample
0,B9D2,575.20404,Moderate 5
1,JAG2,0.0,Moderate 5
2,DNASE1,217.4536,Moderate 5
3,TRMU,348.84283,Moderate 5
4,RRP9,341.8242,Moderate 5
5,CNOT2,1629.0127,Moderate 5
6,SMO,0.0,Moderate 5
7,RC3H2,810.6013,Moderate 5
8,CLINT1,1081.9952,Moderate 5
9,CD52,37286.72,Moderate 5
10,CLSPN,50.79039,Moderate 5
11,MEGF9,1622.9888,Moderate 5
12,UBA7,1475.3759,Moderate 5
13,TRBC2,6321.28,Moderate 5
14,CNOT4,1023.8286,Moderate 5
15,TCP1,1540.8259,Moderate 5
16,INSIG2,453.75104,Moderate 5
17,SEC61A1,1152.7451,Moderate 5
18,MED13,660.513,Moderate 5
19,PLEKHS1,0.0,Moderate 5
20,NUFIP2,1106.7922,Moderate 5
21,TSPAN18,416.20392,Moderate 5
22,XPC,993.72815,Moderate 5
23,EIF3K,11206.871,Moderate 5
24,PIKFYVE,908.55444,Moderate 5
25,LEF1,3013.873,Moderate 5
26,ATG12,1965.3772,Moderate 5
27,PPL,0.0,Moderate 5
28,CCDC50,345.44327,Moderate 5
29,HLA-E,69840.72,Moderate 5
30,MTMR14,1623.63,Moderate 5
31,AKT2,713.3472,Moderate 5
32,ZNF708,350.45767,Moderate 5
33,RPS9,55039.27,Moderate 5
34,ACACA,218.78947,Moderate 5
35,IGHG1,72.63725,Moderate 5
36,PPT1,2532.4058,Moderate 5
37,DEF6,2889.2812,Moderate 5
38,PSME4,406.37582,Moderate 5
39,ZFR,669.8384,Moderate 5
40,HBS1L,576.7768,Moderate 5
41,FCN1,17791.535,Moderate 5
42,ARHGEF1,5619.097,Moderate 5
43,HIST1H4C,3890.7559,Moderate 5
44,KSR1,224.55559,Moderate 5
45,RPS14,89073.11,Moderate 5
46,IGHM,1794.2517,Moderate 5
47,KCNAB2,1551.8635,Moderate 5
48,PFDN5,25552.979,Moderate 5
49,IGLC2,538.34827,Moderate 5
50,HLA-B,195463.73,Moderate 5
51,LPIN3,3.1048677,Moderate 5
52,MT-CYB,98100.78,Moderate 5
53,KIF3B,229.28471,Moderate 5
54,SHOC2,2837.3726,Moderate 5
55,RPL11,119158.86,Moderate 5
56,NMT2,418.23822,Moderate 5
57,ZNF26,221.59831,Moderate 5
58,MT-CO3,132444.9,Moderate 5
59,CSF2RB,3579.5806,Moderate 5
60,TMSB4X,279733.75,Moderate 5
61,VCAN,7033.954,Moderate 5
62,S100A8,915082.4,Moderate 5
63,NEU1,537.43677,Moderate 5
64,B4GALT1,1072.1327,Moderate 5
65,HIPK2,540.41064,Moderate 5
66,PANK2,1386.4171,Moderate 5
67,ABCD1,313.5765,Moderate 5
68,PMPCB,1650.7716,Moderate 5
69,ACTG1,42008.934,Moderate 5
70,ARFGEF1,602.06433,Moderate 5
71,BBX,1915.837,Moderate 5
72,MRPL44,1062.3999,Moderate 5
73,CD8A,2629.7295,Moderate 5
74,MRPL10,865.3713,Moderate 5
75,ZNF439,132.70688,Moderate 5
76,NIN,2722.1511,Moderate 5
77,FMNL3,92.59992,Moderate 5
78,WAC,2489.5447,Moderate 5
79,CTDSP2,1215.6562,Moderate 5
80,ATRX,2683.939,Moderate 5
81,CCL22,0.0,Moderate 5
82,FGFR1OP,218.51044,Moderate 5
83,CMTM6,5916.109,Moderate 5
84,ZNF664,361.5708,Moderate 5
85,SPG21,2993.7974,Moderate 5
86,PNRC2,2666.2493,Moderate 5
87,PPP2CA,1576.7858,Moderate 5
88,EIF4A3,1074.2487,Moderate 5
89,KCTD12,927.32166,Moderate 5
90,IGLV6-57,2.1551726,Moderate 5
91,ATP2A3,2381.2986,Moderate 5
92,AGO2,758.0725,Moderate 5
93,GK5,359.33752,Moderate 5
94,ALAD,290.6974,Moderate 5
95,SATB1,1414.0856,Moderate 5
96,RPS17,9631.745,Moderate 5
97,RPL22,35366.07,Moderate 5
98,SRSF6,1006.44293,Moderate 5
99,IQGAP2,1648.6841,Moderate 5
100,TEP1,378.1465,Moderate 5
101,CFLAR,7364.9683,Moderate 5
102,DDX18,2929.1777,Moderate 5
103,TRAK1,144.32278,Moderate 5
104,AHNAK2,0.0,Moderate 5
105,GLIPR2,5750.556,Moderate 5
106,MT-CO2,244732.77,Moderate 5
107,TFAP2B,0.0,Moderate 5
108,APLP2,4196.402,Moderate 5
109,SLC35G3,0.0,Moderate 5
110,ADAR,9850.964,Moderate 5
111,HLA-A,106710.46,Moderate 5
112,SRL,0.0,Moderate 5
113,SEC63,1035.6757,Moderate 5
114,HLA-C,185052.28,Moderate 5
115,DFFA,461.94983,Moderate 5
116,TKT,10059.297,Moderate 5
117,PCMT1,2458.25,Moderate 5
118,AHNAK,8151.7607,Moderate 5
119,COL7A1,4.6904316,Moderate 5
120,BMPR2,217.93216,Moderate 5
121,FAM107B,1762.0548,Moderate 5
122,MT-CO1,190290.33,Moderate 5
123,SNRPD2,8826.593,Moderate 5
124,CORO1C,1072.9615,Moderate 5
125,ODC1,3508.4531,Moderate 5
126,STK10,3135.4631,Moderate 5
127,LCP1,16587.785,Moderate 5
128,RPS16,38828.32,Moderate 5
129,MTRNR2L8,4.144127,Moderate 5
130,ISG15,48533.625,Moderate 5
131,YWHAB,14093.213,Moderate 5
132,SERF2,43153.742,Moderate 5
133,PDE4DIP,555.54144,Moderate 5
134,CFL1,40881.066,Moderate 5
135,IRF2,4463.272,Moderate 5
136,PLEKHB1,472.5366,Moderate 5
137,TMX4,2382.9739,Moderate 5
138,ALCAM,238.8132,Moderate 5
139,DNAH7,37.45962,Moderate 5
140,TOPBP1,482.6246,Moderate 5
141,OGFRL1,2772.3381,Moderate 5
142,MSN,8597.079,Moderate 5
143,KDM6A,864.29114,Moderate 5
144,TMEM241,53.012444,Moderate 5
145,AC079612.1,0.0,Moderate 5
146,SEMA3F,0.0,Moderate 5
147,AMPD2,1320.2935,Moderate 5
148,SLC25A6,12325.494,Moderate 5
149,SLA,2193.292,Moderate 5
150,IGLV2-23,1317.2904,Moderate 5
151,SLC38A2,911.654,Moderate 5
152,ARID1A,1912.3451,Moderate 5
153,TMBIM6,11904.995,Moderate 5
154,CYBA,28193.357,Moderate 5
155,NAT9,428.93488,Moderate 5
156,ZNF740,225.289,Moderate 5
157,HMGN1,6374.5244,Moderate 5
158,LENG8,1553.8457,Moderate 5
159,RAD23A,2851.9219,Moderate 5
160,DDX6,2448.6028,Moderate 5
161,EMC4,1898.2595,Moderate 5
162,ANXA5,6067.642,Moderate 5
163,MIEN1,2845.0745,Moderate 5
164,ERP29,6890.947,Moderate 5
165,RNF19B,1359.1661,Moderate 5
166,RGL1,108.38927,Moderate 5
167,GNS,1260.4547,Moderate 5
168,ACAP1,4455.576,Moderate 5
169,LRRC8B,255.6128,Moderate 5
170,SCAF8,566.1322,Moderate 5
171,USP3,2713.5107,Moderate 5
172,ZNF106,2326.469,Moderate 5
173,TYMP,21458.928,Moderate 5
174,TM9SF3,498.91003,Moderate 5
175,KAT6A,1827.4862,Moderate 5
176,AKAP11,408.55093,Moderate 5
177,GZMH,2408.8137,Moderate 5
178,HNRNPK,9991.006,Moderate 5
179,NOMO3,49.96893,Moderate 5
180,SHE,0.0,Moderate 5
181,HIVEP1,394.58246,Moderate 5
182,EFR3A,950.2598,Moderate 5
183,TMBIM4,2932.86,Moderate 5
184,LAPTM5,23659.244,Moderate 5
185,SND1,1479.9576,Moderate 5
186,LCK,5461.0483,Moderate 5
187,TMEM245,433.56073,Moderate 5
188,ARF1,9856.316,Moderate 5
189,GRM2,2.3907976,Moderate 5
190,KCNK10,0.0,Moderate 5
191,S100A9,201225.86,Moderate 5
192,RPS11,16420.87,Moderate 5
193,CAPN2,4109.6196,Moderate 5
194,PHKG2,423.43048,Moderate 5
