,Genename,Counts,Sample
0,B9D2,267.0733,Healthy 25
1,JAG2,39.579277,Healthy 25
2,DNASE1,1699.4313,Healthy 25
3,TRMU,1101.5681,Healthy 25
4,RRP9,300.00717,Healthy 25
5,CNOT2,3448.1843,Healthy 25
6,SMO,18.083181,Healthy 25
7,RC3H2,2173.113,Healthy 25
8,CLINT1,3142.628,Healthy 25
9,CD52,17266.412,Healthy 25
10,CLSPN,104.57803,Healthy 25
11,MEGF9,2590.3389,Healthy 25
12,UBA7,2633.2014,Healthy 25
13,TRBC2,36086.938,Healthy 25
14,CNOT4,2103.1997,Healthy 25
15,TCP1,2729.1956,Healthy 25
16,INSIG2,786.4589,Healthy 25
17,SEC61A1,2318.3735,Healthy 25
18,MED13,5081.2544,Healthy 25
19,PLEKHS1,66.36157,Healthy 25
20,NUFIP2,5006.062,Healthy 25
21,TSPAN18,371.93948,Healthy 25
22,XPC,3075.9478,Healthy 25
23,EIF3K,7228.516,Healthy 25
24,PIKFYVE,4178.152,Healthy 25
25,LEF1,5564.9385,Healthy 25
26,ATG12,2318.5825,Healthy 25
27,PPL,101.94798,Healthy 25
28,CCDC50,1069.4652,Healthy 25
29,HLA-E,104930.5,Healthy 25
30,MTMR14,1089.8038,Healthy 25
31,AKT2,2017.457,Healthy 25
32,ZNF708,1363.4568,Healthy 25
33,RPS9,26754.09,Healthy 25
34,ACACA,751.93835,Healthy 25
35,IGHG1,1677.9866,Healthy 25
36,PPT1,2053.4893,Healthy 25
37,DEF6,5037.071,Healthy 25
38,PSME4,3771.0088,Healthy 25
39,ZFR,3277.841,Healthy 25
40,HBS1L,1724.6385,Healthy 25
41,FCN1,2279.447,Healthy 25
42,ARHGEF1,11526.399,Healthy 25
43,HIST1H4C,3992.0059,Healthy 25
44,KSR1,613.04364,Healthy 25
45,RPS14,103288.266,Healthy 25
46,IGHM,5105.2007,Healthy 25
47,KCNAB2,5691.999,Healthy 25
48,PFDN5,20288.986,Healthy 25
49,IGLC2,592.3163,Healthy 25
50,HLA-B,225324.78,Healthy 25
51,LPIN3,70.73265,Healthy 25
52,MT-CYB,132567.6,Healthy 25
53,KIF3B,1772.6127,Healthy 25
54,SHOC2,3134.0393,Healthy 25
55,RPL11,73340.31,Healthy 25
56,NMT2,1952.5985,Healthy 25
57,ZNF26,626.68146,Healthy 25
58,MT-CO3,98336.66,Healthy 25
59,CSF2RB,364.5158,Healthy 25
60,TMSB4X,58938.605,Healthy 25
61,VCAN,3204.9885,Healthy 25
62,S100A8,4666.3394,Healthy 25
63,NEU1,898.7944,Healthy 25
64,B4GALT1,3341.4285,Healthy 25
65,HIPK2,3928.4702,Healthy 25
66,PANK2,1441.3162,Healthy 25
67,ABCD1,150.97118,Healthy 25
68,PMPCB,2267.7783,Healthy 25
69,ACTG1,28712.125,Healthy 25
70,ARFGEF1,5257.859,Healthy 25
71,BBX,7620.6606,Healthy 25
72,MRPL44,400.87082,Healthy 25
73,CD8A,15898.566,Healthy 25
74,MRPL10,845.88715,Healthy 25
75,ZNF439,883.04315,Healthy 25
76,NIN,9992.065,Healthy 25
77,FMNL3,1642.7959,Healthy 25
78,WAC,8245.248,Healthy 25
79,CTDSP2,4398.731,Healthy 25
80,ATRX,16870.744,Healthy 25
81,CCL22,45.260994,Healthy 25
82,FGFR1OP,695.3776,Healthy 25
83,CMTM6,2941.6172,Healthy 25
84,ZNF664,1676.263,Healthy 25
85,SPG21,1415.9686,Healthy 25
86,PNRC2,5248.2495,Healthy 25
87,PPP2CA,2297.313,Healthy 25
88,EIF4A3,1320.9321,Healthy 25
89,KCTD12,545.07837,Healthy 25
90,IGLV6-57,19.68504,Healthy 25
91,ATP2A3,4112.0522,Healthy 25
92,AGO2,1116.2041,Healthy 25
93,GK5,1880.2705,Healthy 25
94,ALAD,1504.879,Healthy 25
95,SATB1,9206.013,Healthy 25
96,RPS17,3870.1362,Healthy 25
97,RPL22,21879.746,Healthy 25
98,SRSF6,3738.2969,Healthy 25
99,IQGAP2,9537.741,Healthy 25
100,TEP1,1480.6791,Healthy 25
101,CFLAR,10865.308,Healthy 25
102,DDX18,4356.886,Healthy 25
103,TRAK1,1389.9169,Healthy 25
104,AHNAK2,162.37784,Healthy 25
105,GLIPR2,2798.597,Healthy 25
106,MT-CO2,108359.08,Healthy 25
107,TFAP2B,36.092052,Healthy 25
108,APLP2,4604.1777,Healthy 25
109,SLC35G3,30.769882,Healthy 25
110,ADAR,12249.973,Healthy 25
111,HLA-A,83688.664,Healthy 25
112,SRL,50.762062,Healthy 25
113,SEC63,3711.923,Healthy 25
114,HLA-C,55508.25,Healthy 25
115,DFFA,1944.8569,Healthy 25
116,TKT,4048.1167,Healthy 25
117,PCMT1,1734.116,Healthy 25
118,AHNAK,106785.02,Healthy 25
119,COL7A1,40.856926,Healthy 25
120,BMPR2,1338.4988,Healthy 25
121,FAM107B,9104.876,Healthy 25
122,MT-CO1,228653.88,Healthy 25
123,SNRPD2,8894.388,Healthy 25
124,CORO1C,970.254,Healthy 25
125,ODC1,1548.019,Healthy 25
126,STK10,13590.624,Healthy 25
127,LCP1,32993.668,Healthy 25
128,RPS16,78944.7,Healthy 25
129,MTRNR2L8,101261.03,Healthy 25
130,ISG15,1602.9427,Healthy 25
131,YWHAB,23242.275,Healthy 25
132,SERF2,12582.486,Healthy 25
133,PDE4DIP,3663.6624,Healthy 25
134,CFL1,15341.677,Healthy 25
135,IRF2,2114.4338,Healthy 25
136,PLEKHB1,587.8666,Healthy 25
137,TMX4,4981.729,Healthy 25
138,ALCAM,826.5024,Healthy 25
139,DNAH7,196.13564,Healthy 25
140,TOPBP1,2931.838,Healthy 25
141,OGFRL1,1650.8137,Healthy 25
142,MSN,19045.162,Healthy 25
143,KDM6A,1666.2542,Healthy 25
144,TMEM241,106.27858,Healthy 25
145,AC079612.1,44.762848,Healthy 25
146,SEMA3F,0.0,Healthy 25
147,AMPD2,920.86334,Healthy 25
148,SLC25A6,14400.648,Healthy 25
149,SLA,4430.505,Healthy 25
150,IGLV2-23,0.0,Healthy 25
151,SLC38A2,2680.2131,Healthy 25
152,ARID1A,6375.891,Healthy 25
153,TMBIM6,14998.654,Healthy 25
154,CYBA,8924.745,Healthy 25
155,NAT9,685.8515,Healthy 25
156,ZNF740,1313.8845,Healthy 25
157,HMGN1,4125.538,Healthy 25
158,LENG8,2283.901,Healthy 25
159,RAD23A,3116.553,Healthy 25
160,DDX6,6924.008,Healthy 25
161,EMC4,2099.326,Healthy 25
162,ANXA5,2167.0098,Healthy 25
163,MIEN1,1287.3324,Healthy 25
164,ERP29,8484.207,Healthy 25
165,RNF19B,654.22516,Healthy 25
166,RGL1,64.1924,Healthy 25
167,GNS,1520.3441,Healthy 25
168,ACAP1,10873.138,Healthy 25
169,LRRC8B,601.8168,Healthy 25
170,SCAF8,2682.0828,Healthy 25
171,USP3,2427.4858,Healthy 25
172,ZNF106,6194.3228,Healthy 25
173,TYMP,1008.37,Healthy 25
174,TM9SF3,4434.9834,Healthy 25
175,KAT6A,10283.493,Healthy 25
176,AKAP11,3783.5908,Healthy 25
177,GZMH,14574.452,Healthy 25
178,HNRNPK,7645.6274,Healthy 25
179,NOMO3,713.8922,Healthy 25
180,SHE,258.01724,Healthy 25
181,HIVEP1,1753.2494,Healthy 25
182,EFR3A,2525.8,Healthy 25
183,TMBIM4,2833.6282,Healthy 25
184,LAPTM5,21045.732,Healthy 25
185,SND1,2334.362,Healthy 25
186,LCK,10671.968,Healthy 25
187,TMEM245,2383.8875,Healthy 25
188,ARF1,6970.9014,Healthy 25
189,GRM2,95.783066,Healthy 25
190,KCNK10,71.57399,Healthy 25
191,S100A9,6802.12,Healthy 25
192,RPS11,92949.66,Healthy 25
193,CAPN2,7462.9863,Healthy 25
194,PHKG2,1113.2825,Healthy 25
195,ZC3H18,4040.483,Healthy 25
196,ADD1,8793.934,Healthy 25
197,MX1,2039.9943,Healthy 25
198,SCMH1,273.32654,Healthy 25
199,ZYX,1646.6157,Healthy 25
200,RNMT,1397.3374,Healthy 25
201,CANX,8900.169,Healthy 25
202,IGHG4,22.883297,Healthy 25
203,IL1RL1,206.59213,Healthy 25
204,IGHV5-51,0.0,Healthy 25
205,LAMB1,83.10254,Healthy 25
206,PDIA3,7143.387,Healthy 25
207,ITGB2,22704.643,Healthy 25
208,NT5DC2,41.410706,Healthy 25
209,VIM,15682.115,Healthy 25
210,TNFAIP3,5411.6016,Healthy 25
211,RPS8,62227.83,Healthy 25
212,OXNAD1,3750.2307,Healthy 25
213,SLC25A46,1238.4913,Healthy 25
214,IGHV3-23,191.64305,Healthy 25
215,CNOT1,5265.3125,Healthy 25
216,LPP,2569.8257,Healthy 25
217,UBE2J1,2226.033,Healthy 25
218,ANKRD28,1470.4801,Healthy 25
219,PRDM4,1598.0197,Healthy 25
220,PSMB6,2798.1853,Healthy 25
221,UBXN7,3655.253,Healthy 25
222,ZNF227,469.36432,Healthy 25
223,NCOA3,4060.7173,Healthy 25
224,MTX1,159.02306,Healthy 25
225,PDIA4,1919.3722,Healthy 25
226,CHD4,13170.263,Healthy 25
227,AC159540.1,543.926,Healthy 25
228,PLA2G2D,35.12462,Healthy 25
229,CCDC97,1047.6211,Healthy 25
230,TMEM154,1574.7103,Healthy 25
231,HIST1H2BK,347.0489,Healthy 25
232,KIAA0319,59.180252,Healthy 25
233,APOBEC3G,4233.5225,Healthy 25
234,MOSPD1,271.64172,Healthy 25
235,RPN1,2490.6057,Healthy 25
236,ARHGAP1,1294.9642,Healthy 25
237,CIR1,2945.6626,Healthy 25
238,AACS,386.06924,Healthy 25
239,CHD7,3242.1187,Healthy 25
240,STX6,1309.2367,Healthy 25
241,SAMD9,6805.5693,Healthy 25
242,TOM1,893.3026,Healthy 25
243,SNRPC,1314.3105,Healthy 25
244,PGAP1,202.64215,Healthy 25
245,ANXA1,10128.097,Healthy 25
246,TMEM181,3254.2922,Healthy 25
247,ARHGAP12,1434.8425,Healthy 25
248,IPO11,202.11852,Healthy 25
249,KLF3,4649.7515,Healthy 25
250,CTSS,10811.765,Healthy 25
251,LYZ,4036.0332,Healthy 25
252,IFI44L,462.46378,Healthy 25
