,Genename,Counts,Sample
0,B9D2,1538.4454,Severe 4
1,JAG2,1.584786,Severe 4
2,DNASE1,524.6109,Severe 4
3,TRMU,294.45935,Severe 4
4,RRP9,257.37958,Severe 4
5,CNOT2,1397.0211,Severe 4
6,SMO,0.0,Severe 4
7,RC3H2,911.2067,Severe 4
8,CLINT1,2480.6804,Severe 4
9,CD52,26196.443,Severe 4
10,CLSPN,69.99121,Severe 4
11,MEGF9,8542.126,Severe 4
12,UBA7,1328.4253,Severe 4
13,TRBC2,7932.459,Severe 4
14,CNOT4,1560.7769,Severe 4
15,TCP1,1880.1218,Severe 4
16,INSIG2,664.16956,Severe 4
17,SEC61A1,1239.7356,Severe 4
18,MED13,957.4238,Severe 4
19,PLEKHS1,0.0,Severe 4
20,NUFIP2,1299.9358,Severe 4
21,TSPAN18,132.44235,Severe 4
22,XPC,1454.2935,Severe 4
23,EIF3K,14034.485,Severe 4
24,PIKFYVE,949.2919,Severe 4
25,LEF1,3217.138,Severe 4
26,ATG12,2088.6558,Severe 4
27,PPL,5.5327845,Severe 4
28,CCDC50,607.8388,Severe 4
29,HLA-E,84302.805,Severe 4
30,MTMR14,2052.3428,Severe 4
31,AKT2,1224.5538,Severe 4
32,ZNF708,335.9809,Severe 4
33,RPS9,69222.05,Severe 4
34,ACACA,259.28464,Severe 4
35,IGHG1,708.92664,Severe 4
36,PPT1,5115.6934,Severe 4
37,DEF6,2497.0383,Severe 4
38,PSME4,676.27734,Severe 4
39,ZFR,1900.9958,Severe 4
40,HBS1L,922.59985,Severe 4
41,FCN1,4283.727,Severe 4
42,ARHGEF1,7853.0903,Severe 4
43,HIST1H4C,14622.632,Severe 4
44,KSR1,293.3521,Severe 4
45,RPS14,89256.67,Severe 4
46,IGHM,7540.191,Severe 4
47,KCNAB2,2027.421,Severe 4
48,PFDN5,29231.3,Severe 4
49,IGLC2,1231.3,Severe 4
50,HLA-B,320404.38,Severe 4
51,LPIN3,3.9729836,Severe 4
52,MT-CYB,90447.58,Severe 4
53,KIF3B,401.18073,Severe 4
54,SHOC2,5981.9673,Severe 4
55,RPL11,124617.234,Severe 4
56,NMT2,312.56076,Severe 4
57,ZNF26,150.55635,Severe 4
58,MT-CO3,112211.48,Severe 4
59,CSF2RB,2746.6187,Severe 4
60,TMSB4X,283951.9,Severe 4
61,VCAN,513.39923,Severe 4
62,S100A8,5315973.5,Severe 4
63,NEU1,987.4781,Severe 4
64,B4GALT1,3030.1309,Severe 4
65,HIPK2,1182.4617,Severe 4
66,PANK2,1646.6736,Severe 4
67,ABCD1,525.37787,Severe 4
68,PMPCB,1608.9142,Severe 4
69,ACTG1,77030.23,Severe 4
70,ARFGEF1,792.04816,Severe 4
71,BBX,2991.6636,Severe 4
72,MRPL44,892.2999,Severe 4
73,CD8A,4282.003,Severe 4
74,MRPL10,1612.2389,Severe 4
75,ZNF439,235.05627,Severe 4
76,NIN,4205.798,Severe 4
77,FMNL3,158.8253,Severe 4
78,WAC,3502.1724,Severe 4
79,CTDSP2,1276.2833,Severe 4
80,ATRX,4320.3037,Severe 4
81,CCL22,0.0,Severe 4
82,FGFR1OP,360.1865,Severe 4
83,CMTM6,8653.338,Severe 4
