,Genename,Counts,Sample
0,B9D2,1305.9333,Severe 6
1,JAG2,129.84673,Severe 6
2,DNASE1,1849.7743,Severe 6
3,TRMU,1416.5631,Severe 6
4,RRP9,591.9267,Severe 6
5,CNOT2,6767.4375,Severe 6
6,SMO,44.00835,Severe 6
7,RC3H2,5656.5425,Severe 6
8,CLINT1,9674.345,Severe 6
9,CD52,35195.582,Severe 6
10,CLSPN,473.57166,Severe 6
11,MEGF9,19188.092,Severe 6
12,UBA7,5902.881,Severe 6
13,TRBC2,37465.16,Severe 6
14,CNOT4,3821.9312,Severe 6
15,TCP1,6387.2573,Severe 6
16,INSIG2,1384.4867,Severe 6
17,SEC61A1,5680.714,Severe 6
18,MED13,11716.648,Severe 6
19,PLEKHS1,37.61994,Severe 6
20,NUFIP2,11407.557,Severe 6
21,TSPAN18,1746.2838,Severe 6
22,XPC,5418.7544,Severe 6
23,EIF3K,15000.138,Severe 6
24,PIKFYVE,8281.368,Severe 6
25,LEF1,9164.625,Severe 6
26,ATG12,5652.4966,Severe 6
27,PPL,205.99164,Severe 6
28,CCDC50,4564.546,Severe 6
29,HLA-E,271442.62,Severe 6
30,MTMR14,4055.2449,Severe 6
31,AKT2,4759.737,Severe 6
32,ZNF708,1827.4233,Severe 6
33,RPS9,62276.902,Severe 6
34,ACACA,1246.0486,Severe 6
35,IGHG1,8404.258,Severe 6
36,PPT1,10037.6,Severe 6
37,DEF6,8512.499,Severe 6
38,PSME4,6714.895,Severe 6
39,ZFR,8044.853,Severe 6
40,HBS1L,3423.1472,Severe 6
41,FCN1,37217.67,Severe 6
42,ARHGEF1,17926.752,Severe 6
43,HIST1H4C,10286.647,Severe 6
44,KSR1,1051.7194,Severe 6
45,RPS14,146742.72,Severe 6
46,IGHM,52916.73,Severe 6
47,KCNAB2,9659.633,Severe 6
48,PFDN5,39678.777,Severe 6
49,IGLC2,6572.5483,Severe 6
50,HLA-B,496228.97,Severe 6
51,LPIN3,135.06953,Severe 6
52,MT-CYB,119840.47,Severe 6
53,KIF3B,4162.7466,Severe 6
54,SHOC2,12662.546,Severe 6
55,RPL11,129280.21,Severe 6
56,NMT2,2325.0103,Severe 6
57,ZNF26,1084.8591,Severe 6
58,MT-CO3,147163.44,Severe 6
59,CSF2RB,11957.019,Severe 6
60,TMSB4X,457992.72,Severe 6
61,VCAN,73667.33,Severe 6
62,S100A8,1113946.4,Severe 6
63,NEU1,1942.309,Severe 6
64,B4GALT1,8429.894,Severe 6
65,HIPK2,10617.38,Severe 6
66,PANK2,4704.898,Severe 6
67,ABCD1,1435.7838,Severe 6
68,PMPCB,4053.1562,Severe 6
69,ACTG1,90695.79,Severe 6
70,ARFGEF1,9834.14,Severe 6
71,BBX,14283.541,Severe 6
72,MRPL44,1968.1105,Severe 6
73,CD8A,14538.906,Severe 6
74,MRPL10,1503.502,Severe 6
75,ZNF439,891.7299,Severe 6
76,NIN,27212.73,Severe 6
77,FMNL3,3032.6077,Severe 6
78,WAC,25976.596,Severe 6
79,CTDSP2,8040.9507,Severe 6
80,ATRX,22549.832,Severe 6
81,CCL22,97.08064,Severe 6
82,FGFR1OP,882.8329,Severe 6
83,CMTM6,24895.45,Severe 6
84,ZNF664,3917.746,Severe 6
85,SPG21,6459.5527,Severe 6
86,PNRC2,13037.151,Severe 6
87,PPP2CA,7435.5366,Severe 6
88,EIF4A3,2636.2698,Severe 6
89,KCTD12,6088.8354,Severe 6
90,IGLV6-57,384.7619,Severe 6
91,ATP2A3,12949.514,Severe 6
92,AGO2,4025.61,Severe 6
93,GK5,2180.055,Severe 6
94,ALAD,2870.856,Severe 6
95,SATB1,15330.607,Severe 6
96,RPS17,11336.793,Severe 6
97,RPL22,41827.844,Severe 6
98,SRSF6,12608.45,Severe 6
99,IQGAP2,19299.846,Severe 6
100,TEP1,4343.3545,Severe 6
101,CFLAR,44856.094,Severe 6
102,DDX18,9071.177,Severe 6
103,TRAK1,4418.0513,Severe 6
104,AHNAK2,339.43808,Severe 6
105,GLIPR2,13296.871,Severe 6
106,MT-CO2,222105.44,Severe 6
107,TFAP2B,127.49174,Severe 6
108,APLP2,33829.38,Severe 6
109,SLC35G3,166.02274,Severe 6
110,ADAR,47664.324,Severe 6
111,HLA-A,240936.28,Severe 6
112,SRL,18.507425,Severe 6
113,SEC63,7589.487,Severe 6
114,HLA-C,214425.88,Severe 6
115,DFFA,2580.0867,Severe 6
116,TKT,32033.617,Severe 6
117,PCMT1,7743.234,Severe 6
118,AHNAK,139006.14,Severe 6
119,COL7A1,54.389027,Severe 6
120,BMPR2,4620.442,Severe 6
121,FAM107B,17366.277,Severe 6
122,MT-CO1,229764.83,Severe 6
123,SNRPD2,15921.784,Severe 6
