,Genename,Counts,Sample
0,B9D2,494.3008,Healthy 24
1,JAG2,346.06277,Healthy 24
2,DNASE1,2017.2113,Healthy 24
3,TRMU,1532.5769,Healthy 24
4,RRP9,409.52383,Healthy 24
5,CNOT2,4672.2837,Healthy 24
6,SMO,136.56882,Healthy 24
7,RC3H2,3166.0718,Healthy 24
8,CLINT1,5363.3623,Healthy 24
9,CD52,21507.562,Healthy 24
10,CLSPN,276.96698,Healthy 24
11,MEGF9,5014.3413,Healthy 24
12,UBA7,3284.8013,Healthy 24
13,TRBC2,40930.492,Healthy 24
14,CNOT4,2204.4387,Healthy 24
15,TCP1,5029.1074,Healthy 24
16,INSIG2,1123.9142,Healthy 24
17,SEC61A1,3860.179,Healthy 24
18,MED13,7396.648,Healthy 24
19,PLEKHS1,108.86424,Healthy 24
20,NUFIP2,7027.7446,Healthy 24
21,TSPAN18,445.8161,Healthy 24
22,XPC,3552.6646,Healthy 24
23,EIF3K,10579.809,Healthy 24
24,PIKFYVE,5286.681,Healthy 24
25,LEF1,5207.481,Healthy 24
26,ATG12,2939.8,Healthy 24
27,PPL,142.57713,Healthy 24
28,CCDC50,2469.3708,Healthy 24
29,HLA-E,178904.73,Healthy 24
30,MTMR14,1684.4335,Healthy 24
31,AKT2,2951.21,Healthy 24
32,ZNF708,1908.9125,Healthy 24
33,RPS9,35792.656,Healthy 24
34,ACACA,1244.0079,Healthy 24
35,IGHG1,1742.3507,Healthy 24
36,PPT1,3343.6587,Healthy 24
37,DEF6,6753.563,Healthy 24
38,PSME4,6162.571,Healthy 24
39,ZFR,6143.4814,Healthy 24
40,HBS1L,2215.0413,Healthy 24
41,FCN1,8082.3936,Healthy 24
42,ARHGEF1,13791.49,Healthy 24
43,HIST1H4C,5738.6084,Healthy 24
44,KSR1,833.09296,Healthy 24
45,RPS14,129847.414,Healthy 24
46,IGHM,7768.4795,Healthy 24
47,KCNAB2,8628.877,Healthy 24
48,PFDN5,27536.854,Healthy 24
49,IGLC2,984.05475,Healthy 24
50,HLA-B,359599.1,Healthy 24
51,LPIN3,66.274216,Healthy 24
52,MT-CYB,146454.92,Healthy 24
53,KIF3B,2374.469,Healthy 24
54,SHOC2,5121.3613,Healthy 24
55,RPL11,85622.76,Healthy 24
56,NMT2,2532.338,Healthy 24
57,ZNF26,859.63116,Healthy 24
58,MT-CO3,114619.79,Healthy 24
59,CSF2RB,720.5607,Healthy 24
60,TMSB4X,92881.445,Healthy 24
61,VCAN,9675.535,Healthy 24
62,S100A8,9494.757,Healthy 24
63,NEU1,990.98724,Healthy 24
64,B4GALT1,5985.197,Healthy 24
65,HIPK2,10979.726,Healthy 24
66,PANK2,2393.103,Healthy 24
67,ABCD1,229.40503,Healthy 24
68,PMPCB,3010.062,Healthy 24
69,ACTG1,50964.926,Healthy 24
70,ARFGEF1,6576.4165,Healthy 24
71,BBX,9309.672,Healthy 24
72,MRPL44,526.9837,Healthy 24
73,CD8A,13953.195,Healthy 24
74,MRPL10,1432.5918,Healthy 24
75,ZNF439,957.02496,Healthy 24
76,NIN,15266.737,Healthy 24
77,FMNL3,2579.727,Healthy 24
78,WAC,14318.208,Healthy 24
79,CTDSP2,5455.0757,Healthy 24
80,ATRX,20385.84,Healthy 24
81,CCL22,174.74055,Healthy 24
82,FGFR1OP,555.04645,Healthy 24
83,CMTM6,5813.6274,Healthy 24
84,ZNF664,2557.1304,Healthy 24
85,SPG21,2481.6084,Healthy 24
86,PNRC2,7854.423,Healthy 24
87,PPP2CA,4445.9204,Healthy 24
88,EIF4A3,2201.073,Healthy 24
89,KCTD12,1769.0812,Healthy 24
90,IGLV6-57,6.132584,Healthy 24
91,ATP2A3,5130.3643,Healthy 24
92,AGO2,1736.525,Healthy 24
93,GK5,3350.603,Healthy 24
94,ALAD,2299.463,Healthy 24
95,SATB1,9954.7705,Healthy 24
96,RPS17,4607.3164,Healthy 24
97,RPL22,24184.885,Healthy 24
98,SRSF6,6785.442,Healthy 24
99,IQGAP2,16402.818,Healthy 24
100,TEP1,2877.3853,Healthy 24
101,CFLAR,17423.443,Healthy 24
102,DDX18,6112.564,Healthy 24
103,TRAK1,2730.574,Healthy 24
104,AHNAK2,262.22968,Healthy 24
105,GLIPR2,4688.446,Healthy 24
106,MT-CO2,147459.1,Healthy 24
107,TFAP2B,38.61004,Healthy 24
108,APLP2,9825.017,Healthy 24
109,SLC35G3,59.152355,Healthy 24
110,ADAR,19893.05,Healthy 24
111,HLA-A,137413.28,Healthy 24
112,SRL,78.91818,Healthy 24
113,SEC63,5318.6665,Healthy 24
114,HLA-C,91306.766,Healthy 24
115,DFFA,2273.2837,Healthy 24
116,TKT,8107.041,Healthy 24
117,PCMT1,2891.5916,Healthy 24
118,AHNAK,157345.52,Healthy 24
119,COL7A1,144.42354,Healthy 24
120,BMPR2,2421.3135,Healthy 24
121,FAM107B,14371.759,Healthy 24
122,MT-CO1,289791.03,Healthy 24
123,SNRPD2,12717.377,Healthy 24
124,CORO1C,2137.5579,Healthy 24
125,ODC1,2882.8599,Healthy 24
126,STK10,20654.793,Healthy 24
127,LCP1,71432.14,Healthy 24
128,RPS16,80912.23,Healthy 24
129,MTRNR2L8,135520.7,Healthy 24
130,ISG15,2455.2295,Healthy 24
131,YWHAB,35683.766,Healthy 24
132,SERF2,19154.146,Healthy 24
133,PDE4DIP,5153.8643,Healthy 24
134,CFL1,27208.871,Healthy 24
135,IRF2,2646.3638,Healthy 24
136,PLEKHB1,604.95105,Healthy 24
137,TMX4,9198.025,Healthy 24
138,ALCAM,597.2601,Healthy 24
139,DNAH7,246.45622,Healthy 24
140,TOPBP1,3911.7275,Healthy 24
141,OGFRL1,3485.2334,Healthy 24
142,MSN,37220.9,Healthy 24
143,KDM6A,1917.6809,Healthy 24
144,TMEM241,275.67554,Healthy 24
145,AC079612.1,37.037037,Healthy 24
146,SEMA3F,4.4130626,Healthy 24
147,AMPD2,1609.6418,Healthy 24
148,SLC25A6,19530.424,Healthy 24
149,SLA,6682.8325,Healthy 24
150,IGLV2-23,53.826065,Healthy 24
151,SLC38A2,4880.187,Healthy 24
152,ARID1A,9113.969,Healthy 24
153,TMBIM6,26686.744,Healthy 24
154,CYBA,17388.562,Healthy 24
155,NAT9,646.6392,Healthy 24
156,ZNF740,1717.6718,Healthy 24
157,HMGN1,5575.0376,Healthy 24
158,LENG8,2811.644,Healthy 24
159,RAD23A,4564.7925,Healthy 24
160,DDX6,12793.027,Healthy 24
161,EMC4,3669.6455,Healthy 24
162,ANXA5,3914.0466,Healthy 24
163,MIEN1,2919.92,Healthy 24
164,ERP29,10832.646,Healthy 24
165,RNF19B,849.5221,Healthy 24
166,RGL1,98.78514,Healthy 24
167,GNS,3869.4563,Healthy 24
168,ACAP1,10966.112,Healthy 24
169,LRRC8B,610.21844,Healthy 24
170,SCAF8,3713.4524,Healthy 24
171,USP3,3960.43,Healthy 24
172,ZNF106,9764.497,Healthy 24
173,TYMP,3331.6472,Healthy 24
174,TM9SF3,6859.8906,Healthy 24
175,KAT6A,13641.377,Healthy 24
176,AKAP11,4905.7686,Healthy 24
177,GZMH,26788.312,Healthy 24
178,HNRNPK,14353.337,Healthy 24
179,NOMO3,1493.2964,Healthy 24
180,SHE,144.68866,Healthy 24
181,HIVEP1,1453.165,Healthy 24
182,EFR3A,3780.3213,Healthy 24
183,TMBIM4,4103.7026,Healthy 24
184,LAPTM5,30925.42,Healthy 24
185,SND1,4415.2104,Healthy 24
186,LCK,14559.121,Healthy 24
187,TMEM245,2924.471,Healthy 24
188,ARF1,13087.579,Healthy 24
189,GRM2,173.10101,Healthy 24
190,KCNK10,11.574446,Healthy 24
191,S100A9,14908.314,Healthy 24
192,RPS11,117864.85,Healthy 24
193,CAPN2,13897.339,Healthy 24
194,PHKG2,1613.3779,Healthy 24
195,ZC3H18,5432.693,Healthy 24
196,ADD1,16400.336,Healthy 24
197,MX1,2437.307,Healthy 24
198,SCMH1,435.7783,Healthy 24
199,ZYX,2168.2244,Healthy 24
200,RNMT,2479.188,Healthy 24
201,CANX,21610.605,Healthy 24
202,IGHG4,287.04785,Healthy 24
203,IL1RL1,121.34349,Healthy 24
204,IGHV5-51,56.041653,Healthy 24
205,LAMB1,87.853745,Healthy 24
206,PDIA3,13867.779,Healthy 24
207,ITGB2,47229.336,Healthy 24
208,NT5DC2,51.04657,Healthy 24
209,VIM,26800.275,Healthy 24
210,TNFAIP3,12126.418,Healthy 24
211,RPS8,69040.43,Healthy 24
212,OXNAD1,3458.4492,Healthy 24
213,SLC25A46,2258.6768,Healthy 24
214,IGHV3-23,197.24564,Healthy 24
215,CNOT1,7110.4087,Healthy 24
216,LPP,4985.058,Healthy 24
217,UBE2J1,4638.1147,Healthy 24
218,ANKRD28,2557.3289,Healthy 24
219,PRDM4,2390.5374,Healthy 24
220,PSMB6,4747.163,Healthy 24
221,UBXN7,5871.383,Healthy 24
222,ZNF227,596.5799,Healthy 24
223,NCOA3,6219.816,Healthy 24
224,MTX1,256.4548,Healthy 24
225,PDIA4,3586.5688,Healthy 24
226,CHD4,18577.684,Healthy 24
227,AC159540.1,767.4998,Healthy 24
228,PLA2G2D,5.083884,Healthy 24
229,CCDC97,1500.4893,Healthy 24
230,TMEM154,2367.6855,Healthy 24
231,HIST1H2BK,655.8142,Healthy 24
232,KIAA0319,201.4881,Healthy 24
233,APOBEC3G,8370.225,Healthy 24
234,MOSPD1,368.27173,Healthy 24
235,RPN1,4027.3623,Healthy 24
236,ARHGAP1,2228.5627,Healthy 24
237,CIR1,3340.666,Healthy 24
238,AACS,699.9297,Healthy 24
239,CHD7,3166.58,Healthy 24
240,STX6,1476.8993,Healthy 24
241,SAMD9,10578.366,Healthy 24
242,TOM1,1603.695,Healthy 24
243,SNRPC,2914.475,Healthy 24
244,PGAP1,460.43195,Healthy 24
245,ANXA1,17815.27,Healthy 24
246,TMEM181,4565.231,Healthy 24
