,Genename,Counts,Sample
0,B9D2,1245.1694,Severe 3
1,JAG2,6.079997,Severe 3
2,DNASE1,427.0771,Severe 3
3,TRMU,491.82553,Severe 3
4,RRP9,374.2276,Severe 3
5,CNOT2,2308.5452,Severe 3
6,SMO,0.0,Severe 3
7,RC3H2,983.47455,Severe 3
8,CLINT1,2815.5696,Severe 3
9,CD52,44187.082,Severe 3
10,CLSPN,40.77191,Severe 3
11,MEGF9,6166.2637,Severe 3
12,UBA7,1819.7688,Severe 3
13,TRBC2,10718.641,Severe 3
14,CNOT4,1901.3372,Severe 3
15,TCP1,2260.8142,Severe 3
16,INSIG2,738.7732,Severe 3
17,SEC61A1,1587.942,Severe 3
18,MED13,1074.9587,Severe 3
19,PLEKHS1,0.0,Severe 3
20,NUFIP2,1556.6041,Severe 3
21,TSPAN18,457.47018,Severe 3
22,XPC,1545.2633,Severe 3
23,EIF3K,21498.197,Severe 3
24,PIKFYVE,1132.8585,Severe 3
25,LEF1,5098.786,Severe 3
26,ATG12,2339.8645,Severe 3
27,PPL,0.0,Severe 3
28,CCDC50,671.36865,Severe 3
29,HLA-E,100519.85,Severe 3
30,MTMR14,2480.2273,Severe 3
31,AKT2,1823.5968,Severe 3
32,ZNF708,539.0235,Severe 3
33,RPS9,85192.03,Severe 3
34,ACACA,399.94452,Severe 3
35,IGHG1,439.6091,Severe 3
36,PPT1,4421.2085,Severe 3
37,DEF6,3705.9868,Severe 3
38,PSME4,632.668,Severe 3
39,ZFR,2618.2202,Severe 3
40,HBS1L,1028.0308,Severe 3
41,FCN1,4400.946,Severe 3
42,ARHGEF1,10676.218,Severe 3
43,HIST1H4C,14506.585,Severe 3
44,KSR1,330.28482,Severe 3
45,RPS14,188363.52,Severe 3
46,IGHM,10047.928,Severe 3
47,KCNAB2,2855.3552,Severe 3
48,PFDN5,41978.57,Severe 3
49,IGLC2,1382.2563,Severe 3
50,HLA-B,288968.7,Severe 3
51,LPIN3,0.0,Severe 3
52,MT-CYB,117876.17,Severe 3
53,KIF3B,560.9269,Severe 3
54,SHOC2,5176.631,Severe 3
55,RPL11,219195.33,Severe 3
56,NMT2,527.99097,Severe 3
57,ZNF26,303.33328,Severe 3
58,MT-CO3,150996.7,Severe 3
59,CSF2RB,1744.0557,Severe 3
60,TMSB4X,332916.84,Severe 3
61,VCAN,1084.64,Severe 3
62,S100A8,3521561.8,Severe 3
63,NEU1,1027.9198,Severe 3
64,B4GALT1,3198.2317,Severe 3
65,HIPK2,1140.6261,Severe 3
66,PANK2,1623.3597,Severe 3
67,ABCD1,492.09903,Severe 3
68,PMPCB,2064.296,Severe 3
69,ACTG1,91999.09,Severe 3
70,ARFGEF1,949.418,Severe 3
71,BBX,3470.5725,Severe 3
72,MRPL44,1026.573,Severe 3
73,CD8A,5676.5503,Severe 3
74,MRPL10,2124.6484,Severe 3
75,ZNF439,253.85532,Severe 3
76,NIN,3620.827,Severe 3
77,FMNL3,244.42567,Severe 3
78,WAC,3640.219,Severe 3
79,CTDSP2,1556.6765,Severe 3
80,ATRX,5452.887,Severe 3
81,CCL22,0.0,Severe 3
82,FGFR1OP,315.343,Severe 3
83,CMTM6,7429.8564,Severe 3
84,ZNF664,676.6248,Severe 3
85,SPG21,3915.0203,Severe 3
86,PNRC2,3476.9153,Severe 3
87,PPP2CA,3035.7517,Severe 3
88,EIF4A3,1253.6212,Severe 3
89,KCTD12,949.65704,Severe 3
90,IGLV6-57,783.1536,Severe 3
91,ATP2A3,4830.8906,Severe 3
92,AGO2,974.8537,Severe 3
93,GK5,504.19168,Severe 3
94,ALAD,564.4926,Severe 3
95,SATB1,2716.4194,Severe 3
96,RPS17,2005.1759,Severe 3
97,RPL22,74124.734,Severe 3
