,Genename,Counts,Sample
0,B9D2,873.28577,Severe 1
1,JAG2,8.139229,Severe 1
2,DNASE1,497.9727,Severe 1
3,TRMU,954.03796,Severe 1
4,RRP9,905.8414,Severe 1
5,CNOT2,4312.9355,Severe 1
6,SMO,0.0,Severe 1
7,RC3H2,1850.1053,Severe 1
8,CLINT1,4499.842,Severe 1
9,CD52,72996.34,Severe 1
10,CLSPN,229.00896,Severe 1
11,MEGF9,2662.4062,Severe 1
12,UBA7,2650.9739,Severe 1
13,TRBC2,18147.537,Severe 1
14,CNOT4,2871.607,Severe 1
15,TCP1,3997.9102,Severe 1
16,INSIG2,871.19305,Severe 1
17,SEC61A1,3447.188,Severe 1
18,MED13,1224.813,Severe 1
19,PLEKHS1,0.0,Severe 1
20,NUFIP2,1904.5344,Severe 1
21,TSPAN18,494.75702,Severe 1
22,XPC,2366.8035,Severe 1
23,EIF3K,46208.383,Severe 1
24,PIKFYVE,1853.8406,Severe 1
25,LEF1,10085.212,Severe 1
26,ATG12,4472.634,Severe 1
27,PPL,0.0,Severe 1
28,CCDC50,1405.917,Severe 1
29,HLA-E,124568.74,Severe 1
30,MTMR14,4168.742,Severe 1
31,AKT2,2503.6646,Severe 1
32,ZNF708,958.3537,Severe 1
33,RPS9,159601.78,Severe 1
34,ACACA,852.6253,Severe 1
35,IGHG1,1987.578,Severe 1
36,PPT1,4429.0635,Severe 1
37,DEF6,7172.3574,Severe 1
38,PSME4,1196.8083,Severe 1
39,ZFR,3900.8704,Severe 1
40,HBS1L,2149.034,Severe 1
41,FCN1,20884.637,Severe 1
42,ARHGEF1,17562.13,Severe 1
43,HIST1H4C,19313.398,Severe 1
44,KSR1,242.38817,Severe 1
45,RPS14,361028.56,Severe 1
46,IGHM,9241.792,Severe 1
47,KCNAB2,5668.899,Severe 1
48,PFDN5,74156.03,Severe 1
49,IGLC2,2721.7822,Severe 1
50,HLA-B,379722.62,Severe 1
51,LPIN3,11.224559,Severe 1
52,MT-CYB,254291.52,Severe 1
53,KIF3B,1011.9764,Severe 1
54,SHOC2,5109.7495,Severe 1
55,RPL11,442482.06,Severe 1
56,NMT2,1274.6382,Severe 1
57,ZNF26,703.82544,Severe 1
58,MT-CO3,417237.7,Severe 1
59,CSF2RB,597.5439,Severe 1
60,TMSB4X,368094.38,Severe 1
61,VCAN,15838.92,Severe 1
62,S100A8,1109274.6,Severe 1
63,NEU1,1498.3427,Severe 1
64,B4GALT1,3932.7559,Severe 1
65,HIPK2,2250.0342,Severe 1
66,PANK2,2494.2236,Severe 1
67,ABCD1,843.3882,Severe 1
68,PMPCB,4724.035,Severe 1
69,ACTG1,136529.08,Severe 1
70,ARFGEF1,1646.8075,Severe 1
71,BBX,4977.4106,Severe 1
72,MRPL44,1792.2692,Severe 1
73,CD8A,8529.015,Severe 1
74,MRPL10,3311.798,Severe 1
75,ZNF439,564.48,Severe 1
76,NIN,4952.3945,Severe 1
77,FMNL3,486.17307,Severe 1
78,WAC,3868.3965,Severe 1
79,CTDSP2,2019.0155,Severe 1
80,ATRX,9067.771,Severe 1
81,CCL22,0.0,Severe 1
82,FGFR1OP,449.80615,Severe 1
83,CMTM6,7144.579,Severe 1
84,ZNF664,1066.5112,Severe 1
85,SPG21,5420.184,Severe 1
86,PNRC2,5259.136,Severe 1
87,PPP2CA,4582.558,Severe 1
88,EIF4A3,2845.8896,Severe 1
89,KCTD12,2373.5513,Severe 1
90,IGLV6-57,1219.458,Severe 1
91,ATP2A3,5398.685,Severe 1
92,AGO2,1343.2174,Severe 1
93,GK5,975.13513,Severe 1
94,ALAD,956.4638,Severe 1
95,SATB1,6708.266,Severe 1
96,RPS17,4562.9893,Severe 1
97,RPL22,152453.88,Severe 1
