,Genename,Counts,Sample
0,B9D2,1391.9366,Healthy 6
1,JAG2,21.340445,Healthy 6
2,DNASE1,307.09595,Healthy 6
3,TRMU,936.0322,Healthy 6
4,RRP9,588.71906,Healthy 6
5,CNOT2,5660.072,Healthy 6
6,SMO,6.7217627,Healthy 6
7,RC3H2,3952.957,Healthy 6
8,CLINT1,7430.557,Healthy 6
9,CD52,49636.902,Healthy 6
10,CLSPN,66.38623,Healthy 6
11,MEGF9,772.21875,Healthy 6
12,UBA7,1395.1992,Healthy 6
13,TRBC2,13873.536,Healthy 6
14,CNOT4,3888.2239,Healthy 6
15,TCP1,5165.887,Healthy 6
16,INSIG2,1081.6146,Healthy 6
17,SEC61A1,3966.6152,Healthy 6
18,MED13,2231.5657,Healthy 6
19,PLEKHS1,8.156607,Healthy 6
20,NUFIP2,3479.252,Healthy 6
21,TSPAN18,179.95966,Healthy 6
22,XPC,2418.7966,Healthy 6
23,EIF3K,57337.89,Healthy 6
24,PIKFYVE,2449.5247,Healthy 6
25,LEF1,11071.99,Healthy 6
26,ATG12,3985.2534,Healthy 6
27,PPL,0.0,Healthy 6
28,CCDC50,1839.7644,Healthy 6
29,HLA-E,99332.57,Healthy 6
30,MTMR14,5807.476,Healthy 6
31,AKT2,3628.1443,Healthy 6
32,ZNF708,1245.4678,Healthy 6
33,RPS9,261304.67,Healthy 6
34,ACACA,639.0206,Healthy 6
35,IGHG1,93.11592,Healthy 6
36,PPT1,3713.954,Healthy 6
37,DEF6,5933.5947,Healthy 6
38,PSME4,1985.2605,Healthy 6
39,ZFR,7453.8975,Healthy 6
40,HBS1L,4571.4087,Healthy 6
41,FCN1,24029.041,Healthy 6
42,ARHGEF1,16963.178,Healthy 6
43,HIST1H4C,20884.613,Healthy 6
44,KSR1,455.6674,Healthy 6
45,RPS14,680618.7,Healthy 6
46,IGHM,3033.646,Healthy 6
47,KCNAB2,4406.9004,Healthy 6
48,PFDN5,117518.29,Healthy 6
