,Genename,Counts,Sample
0,B9D2,1380.779,Moderate 2
1,JAG2,24.38184,Moderate 2
2,DNASE1,616.1216,Moderate 2
3,TRMU,1604.8889,Moderate 2
4,RRP9,967.92084,Moderate 2
5,CNOT2,12224.352,Moderate 2
6,SMO,0.0,Moderate 2
7,RC3H2,2704.463,Moderate 2
8,CLINT1,7717.885,Moderate 2
9,CD52,61665.684,Moderate 2
10,CLSPN,213.90553,Moderate 2
11,MEGF9,938.54846,Moderate 2
12,UBA7,2007.0386,Moderate 2
13,TRBC2,25771.99,Moderate 2
14,CNOT4,6055.071,Moderate 2
15,TCP1,6478.015,Moderate 2
16,INSIG2,2225.284,Moderate 2
17,SEC61A1,5173.895,Moderate 2
18,MED13,2851.2664,Moderate 2
19,PLEKHS1,0.0,Moderate 2
20,NUFIP2,3280.9746,Moderate 2
21,TSPAN18,299.9887,Moderate 2
22,XPC,5092.8477,Moderate 2
23,EIF3K,70321.63,Moderate 2
24,PIKFYVE,3002.1145,Moderate 2
25,LEF1,17058.625,Moderate 2
26,ATG12,6869.3267,Moderate 2
27,PPL,8.6726055,Moderate 2
28,CCDC50,1750.7422,Moderate 2
29,HLA-E,172447.02,Moderate 2
30,MTMR14,7209.316,Moderate 2
31,AKT2,5914.655,Moderate 2
32,ZNF708,1782.8495,Moderate 2
33,RPS9,320902.44,Moderate 2
34,ACACA,783.2844,Moderate 2
35,IGHG1,318.0801,Moderate 2
36,PPT1,6172.557,Moderate 2
37,DEF6,9574.969,Moderate 2
38,PSME4,3672.0186,Moderate 2
39,ZFR,5845.4683,Moderate 2
40,HBS1L,3219.6455,Moderate 2
41,FCN1,22390.668,Moderate 2
42,ARHGEF1,20571.803,Moderate 2
43,HIST1H4C,21921.87,Moderate 2
44,KSR1,253.4181,Moderate 2
45,RPS14,820144.9,Moderate 2
46,IGHM,5210.217,Moderate 2
47,KCNAB2,5816.876,Moderate 2
48,PFDN5,140275.75,Moderate 2
49,IGLC2,642.84204,Moderate 2
50,HLA-B,543200.56,Moderate 2
51,LPIN3,0.0,Moderate 2
52,MT-CYB,357193.22,Moderate 2
53,KIF3B,932.69403,Moderate 2
54,SHOC2,5730.6045,Moderate 2
55,RPL11,780906.06,Moderate 2
56,NMT2,1180.8629,Moderate 2
57,ZNF26,1192.4806,Moderate 2
58,MT-CO3,591706.2,Moderate 2
59,CSF2RB,475.6429,Moderate 2
60,TMSB4X,566354.5,Moderate 2
61,VCAN,24199.908,Moderate 2
62,S100A8,126781.83,Moderate 2
63,NEU1,3158.1504,Moderate 2
64,B4GALT1,8758.35,Moderate 2
65,HIPK2,4076.9282,Moderate 2
66,PANK2,3863.1565,Moderate 2
67,ABCD1,646.8089,Moderate 2
68,PMPCB,7911.4634,Moderate 2
69,ACTG1,175311.53,Moderate 2
70,ARFGEF1,3198.9375,Moderate 2
71,BBX,7528.674,Moderate 2
72,MRPL44,2698.8572,Moderate 2
73,CD8A,21431.424,Moderate 2
74,MRPL10,3877.119,Moderate 2
75,ZNF439,964.1235,Moderate 2
76,NIN,5771.8135,Moderate 2
77,FMNL3,582.7075,Moderate 2
78,WAC,8066.0576,Moderate 2
79,CTDSP2,3706.7751,Moderate 2
80,ATRX,11451.936,Moderate 2
81,CCL22,124.0638,Moderate 2
82,FGFR1OP,791.1814,Moderate 2
83,CMTM6,15099.639,Moderate 2
84,ZNF664,1276.5789,Moderate 2
85,SPG21,5161.148,Moderate 2
86,PNRC2,12870.02,Moderate 2
87,PPP2CA,7375.091,Moderate 2
88,EIF4A3,5076.4805,Moderate 2
89,KCTD12,1268.5327,Moderate 2
90,IGLV6-57,604.5912,Moderate 2
91,ATP2A3,5658.6895,Moderate 2
92,AGO2,5582.59,Moderate 2
93,GK5,3548.3965,Moderate 2
94,ALAD,992.8969,Moderate 2
95,SATB1,18338.033,Moderate 2
96,RPS17,4621.9995,Moderate 2
97,RPL22,238846.12,Moderate 2
98,SRSF6,3984.843,Moderate 2
99,IQGAP2,5670.551,Moderate 2
100,TEP1,577.5045,Moderate 2
101,CFLAR,7970.4355,Moderate 2
102,DDX18,10702.586,Moderate 2
103,TRAK1,711.3286,Moderate 2
104,AHNAK2,2.3696682,Moderate 2
105,GLIPR2,5682.161,Moderate 2
106,MT-CO2,671110.56,Moderate 2
107,TFAP2B,0.0,Moderate 2
108,APLP2,11304.893,Moderate 2
109,SLC35G3,0.0,Moderate 2
110,ADAR,11672.36,Moderate 2
111,HLA-A,371587.3,Moderate 2
112,SRL,0.0,Moderate 2
113,SEC63,5633.14,Moderate 2
114,HLA-C,325620.12,Moderate 2
115,DFFA,2085.167,Moderate 2
116,TKT,37059.906,Moderate 2
117,PCMT1,6449.981,Moderate 2
118,AHNAK,23673.816,Moderate 2
119,COL7A1,97.70191,Moderate 2
120,BMPR2,495.01645,Moderate 2
121,FAM107B,12747.946,Moderate 2
122,MT-CO1,905489.94,Moderate 2
123,SNRPD2,51985.008,Moderate 2
124,CORO1C,1586.7998,Moderate 2
125,ODC1,6793.113,Moderate 2
126,STK10,8172.662,Moderate 2
127,LCP1,22622.408,Moderate 2
128,RPS16,300105.6,Moderate 2
129,MTRNR2L8,858.9464,Moderate 2
130,ISG15,8101.5957,Moderate 2
131,YWHAB,65984.08,Moderate 2
132,SERF2,119727.15,Moderate 2
133,PDE4DIP,3381.33,Moderate 2
134,CFL1,98722.01,Moderate 2
135,IRF2,4137.6543,Moderate 2
136,PLEKHB1,1315.94,Moderate 2
137,TMX4,8281.521,Moderate 2
138,ALCAM,576.2529,Moderate 2
139,DNAH7,1.326084,Moderate 2
140,TOPBP1,2897.8005,Moderate 2
141,OGFRL1,1027.4825,Moderate 2
142,MSN,25396.078,Moderate 2
143,KDM6A,4944.647,Moderate 2
144,TMEM241,245.68156,Moderate 2
145,AC079612.1,0.0,Moderate 2
146,SEMA3F,31.494642,Moderate 2
147,AMPD2,4273.2993,Moderate 2
148,SLC25A6,104547.664,Moderate 2
149,SLA,8744.918,Moderate 2
150,IGLV2-23,2869.7373,Moderate 2
151,SLC38A2,6405.997,Moderate 2
152,ARID1A,3806.5051,Moderate 2
153,TMBIM6,36073.535,Moderate 2
154,CYBA,71991.58,Moderate 2
155,NAT9,2223.9004,Moderate 2
156,ZNF740,1136.4122,Moderate 2
157,HMGN1,18507.896,Moderate 2
158,LENG8,4958.0444,Moderate 2
159,RAD23A,15202.26,Moderate 2
160,DDX6,18176.463,Moderate 2
161,EMC4,9485.284,Moderate 2
162,ANXA5,13930.7295,Moderate 2
163,MIEN1,7933.455,Moderate 2
164,ERP29,29855.494,Moderate 2
165,RNF19B,1504.2115,Moderate 2
166,RGL1,89.36887,Moderate 2
167,GNS,2243.5154,Moderate 2
168,ACAP1,10517.095,Moderate 2
169,LRRC8B,678.5747,Moderate 2
170,SCAF8,2881.1562,Moderate 2
171,USP3,12161.739,Moderate 2
172,ZNF106,5153.1646,Moderate 2
173,TYMP,16004.633,Moderate 2
174,TM9SF3,3166.3506,Moderate 2
175,KAT6A,7304.013,Moderate 2
176,AKAP11,1811.6162,Moderate 2
177,GZMH,9100.3,Moderate 2
178,HNRNPK,32560.498,Moderate 2
179,NOMO3,264.24127,Moderate 2
180,SHE,0.0,Moderate 2
181,HIVEP1,3289.188,Moderate 2
182,EFR3A,6682.1562,Moderate 2
183,TMBIM4,1626.8541,Moderate 2
184,LAPTM5,127070.19,Moderate 2
185,SND1,6608.494,Moderate 2
186,LCK,24709.701,Moderate 2
187,TMEM245,3523.7505,Moderate 2
188,ARF1,29627.402,Moderate 2
189,GRM2,12.496188,Moderate 2
190,KCNK10,1.4320493,Moderate 2
191,S100A9,105371.914,Moderate 2
192,RPS11,110645.055,Moderate 2
193,CAPN2,6716.3433,Moderate 2
194,PHKG2,2739.4902,Moderate 2
195,ZC3H18,5889.0156,Moderate 2
196,ADD1,5070.3564,Moderate 2
197,MX1,4689.946,Moderate 2
198,SCMH1,614.6902,Moderate 2
199,ZYX,18752.316,Moderate 2
200,RNMT,9881.336,Moderate 2
201,CANX,12555.366,Moderate 2
202,IGHG4,53.90936,Moderate 2
203,IL1RL1,3.3987575,Moderate 2
204,IGHV5-51,3870.8328,Moderate 2
205,LAMB1,4.2616086,Moderate 2
206,PDIA3,23747.014,Moderate 2
207,ITGB2,39080.137,Moderate 2
208,NT5DC2,36.621174,Moderate 2
209,VIM,204468.23,Moderate 2
210,TNFAIP3,44490.285,Moderate 2
211,RPS8,921394.06,Moderate 2
212,OXNAD1,6508.6157,Moderate 2
213,SLC25A46,3824.0928,Moderate 2
214,IGHV3-23,3162.239,Moderate 2
215,CNOT1,4016.34,Moderate 2
216,LPP,3105.0732,Moderate 2
217,UBE2J1,6590.8223,Moderate 2
218,ANKRD28,1757.8203,Moderate 2
219,PRDM4,1260.5314,Moderate 2
220,PSMB6,15428.13,Moderate 2
221,UBXN7,2805.116,Moderate 2
222,ZNF227,1081.9178,Moderate 2
223,NCOA3,4472.6045,Moderate 2
224,MTX1,3225.4685,Moderate 2
225,PDIA4,2944.0994,Moderate 2
226,CHD4,6963.6772,Moderate 2
227,AC159540.1,0.0,Moderate 2
228,PLA2G2D,13.243747,Moderate 2
229,CCDC97,3704.0828,Moderate 2
230,TMEM154,4110.471,Moderate 2
231,HIST1H2BK,1787.9327,Moderate 2
232,KIAA0319,8.844739,Moderate 2
233,APOBEC3G,6698.169,Moderate 2
234,MOSPD1,1117.4329,Moderate 2
235,RPN1,13448.472,Moderate 2
236,ARHGAP1,2699.404,Moderate 2
237,CIR1,7128.6416,Moderate 2
238,AACS,421.1238,Moderate 2
239,CHD7,3026.184,Moderate 2
240,STX6,2750.8264,Moderate 2
241,SAMD9,4846.313,Moderate 2
242,TOM1,9091.092,Moderate 2
243,SNRPC,10800.369,Moderate 2
244,PGAP1,910.5538,Moderate 2
245,ANXA1,31234.564,Moderate 2
246,TMEM181,1871.3121,Moderate 2
247,ARHGAP12,1364.2545,Moderate 2
248,IPO11,773.62775,Moderate 2
