,Genename,Counts,Sample
0,B9D2,353.3883,Severe 0
1,JAG2,7.4520016,Severe 0
2,DNASE1,18.534513,Severe 0
3,TRMU,192.10214,Severe 0
4,RRP9,84.22509,Severe 0
5,CNOT2,1899.2832,Severe 0
6,SMO,0.0,Severe 0
7,RC3H2,1115.9222,Severe 0
8,CLINT1,3540.6157,Severe 0
9,CD52,18209.486,Severe 0
10,CLSPN,30.643852,Severe 0
11,MEGF9,1802.9131,Severe 0
12,UBA7,1045.9965,Severe 0
13,TRBC2,2344.311,Severe 0
14,CNOT4,972.3344,Severe 0
15,TCP1,2657.2834,Severe 0
16,INSIG2,622.02655,Severe 0
17,SEC61A1,1243.922,Severe 0
18,MED13,689.37054,Severe 0
19,PLEKHS1,0.0,Severe 0
20,NUFIP2,1420.8384,Severe 0
21,TSPAN18,289.58078,Severe 0
22,XPC,442.1957,Severe 0
23,EIF3K,27860.52,Severe 0
24,PIKFYVE,1418.6187,Severe 0
25,LEF1,1052.7753,Severe 0
26,ATG12,2769.118,Severe 0
27,PPL,0.0,Severe 0
28,CCDC50,894.7187,Severe 0
29,HLA-E,53973.727,Severe 0
30,MTMR14,2652.492,Severe 0
31,AKT2,1243.4407,Severe 0
32,ZNF708,403.77145,Severe 0
33,RPS9,89809.04,Severe 0
34,ACACA,305.1253,Severe 0
35,IGHG1,128.21744,Severe 0
36,PPT1,1617.8727,Severe 0
37,DEF6,1452.3035,Severe 0
38,PSME4,912.7695,Severe 0
39,ZFR,1894.4177,Severe 0
40,HBS1L,884.74854,Severe 0
41,FCN1,14722.041,Severe 0
42,ARHGEF1,3972.8096,Severe 0
43,HIST1H4C,6193.2305,Severe 0
44,KSR1,131.31792,Severe 0
45,RPS14,181636.31,Severe 0
46,IGHM,4323.2695,Severe 0
47,KCNAB2,3429.2217,Severe 0
48,PFDN5,37907.62,Severe 0
49,IGLC2,1827.4601,Severe 0
50,HLA-B,145509.3,Severe 0
51,LPIN3,0.0,Severe 0
52,MT-CYB,88980.125,Severe 0
53,KIF3B,151.00635,Severe 0
54,SHOC2,4048.3887,Severe 0
55,RPL11,242007.25,Severe 0
56,NMT2,147.44595,Severe 0
57,ZNF26,173.1072,Severe 0
58,MT-CO3,154184.23,Severe 0
59,CSF2RB,171.09544,Severe 0
60,TMSB4X,158637.55,Severe 0
61,VCAN,19004.48,Severe 0
62,S100A8,801990.3,Severe 0
63,NEU1,1561.1539,Severe 0
64,B4GALT1,3465.2622,Severe 0
65,HIPK2,3029.0967,Severe 0
66,PANK2,1220.0325,Severe 0
67,ABCD1,472.92465,Severe 0
68,PMPCB,1072.9999,Severe 0
69,ACTG1,67132.17,Severe 0
70,ARFGEF1,543.11646,Severe 0
71,BBX,2306.2878,Severe 0
72,MRPL44,1194.7471,Severe 0
73,CD8A,1174.7874,Severe 0
74,MRPL10,1248.1395,Severe 0
75,ZNF439,71.44918,Severe 0
76,NIN,1847.3154,Severe 0
77,FMNL3,98.41875,Severe 0
78,WAC,2733.2656,Severe 0
79,CTDSP2,1873.3442,Severe 0
80,ATRX,2039.7449,Severe 0
81,CCL22,3.310162,Severe 0
82,FGFR1OP,54.089962,Severe 0
83,CMTM6,5062.1377,Severe 0
84,ZNF664,248.24751,Severe 0
85,SPG21,2479.3323,Severe 0
86,PNRC2,4154.3403,Severe 0
87,PPP2CA,3620.9424,Severe 0
88,EIF4A3,2186.759,Severe 0
89,KCTD12,1139.2556,Severe 0
90,IGLV6-57,157.72357,Severe 0
91,ATP2A3,4313.602,Severe 0
92,AGO2,993.3013,Severe 0
93,GK5,343.4789,Severe 0
94,ALAD,195.11258,Severe 0
95,SATB1,1636.1534,Severe 0
96,RPS17,2133.9785,Severe 0
97,RPL22,89037.42,Severe 0
98,SRSF6,1189.2101,Severe 0
99,IQGAP2,1682.2733,Severe 0
100,TEP1,169.61633,Severe 0
101,CFLAR,5302.31,Severe 0
102,DDX18,1933.0522,Severe 0
103,TRAK1,385.20444,Severe 0
104,AHNAK2,0.0,Severe 0
105,GLIPR2,3449.4744,Severe 0
106,MT-CO2,163933.12,Severe 0
107,TFAP2B,0.0,Severe 0
108,APLP2,15616.42,Severe 0
109,SLC35G3,0.0,Severe 0
110,ADAR,2328.9229,Severe 0
111,HLA-A,48483.613,Severe 0
112,SRL,0.0,Severe 0
113,SEC63,1360.5452,Severe 0
114,HLA-C,87049.94,Severe 0
115,DFFA,329.26642,Severe 0
116,TKT,28690.475,Severe 0
117,PCMT1,3588.4016,Severe 0
118,AHNAK,4935.0537,Severe 0
119,COL7A1,45.496906,Severe 0
120,BMPR2,147.06851,Severe 0
121,FAM107B,3028.0334,Severe 0
122,MT-CO1,217573.3,Severe 0
123,SNRPD2,13830.448,Severe 0
124,CORO1C,1886.7688,Severe 0
125,ODC1,3312.9634,Severe 0
126,STK10,4001.0757,Severe 0
127,LCP1,11931.924,Severe 0
128,RPS16,62217.477,Severe 0
129,MTRNR2L8,12815.059,Severe 0
130,ISG15,1259.7308,Severe 0
131,YWHAB,8365.092,Severe 0
132,SERF2,100156.2,Severe 0
133,PDE4DIP,816.988,Severe 0
134,CFL1,54250.805,Severe 0
135,IRF2,1516.7133,Severe 0
136,PLEKHB1,67.94264,Severe 0
137,TMX4,3778.4556,Severe 0
138,ALCAM,682.27893,Severe 0
139,DNAH7,0.0,Severe 0
140,TOPBP1,393.39038,Severe 0
141,OGFRL1,1333.8134,Severe 0
142,MSN,11292.696,Severe 0
143,KDM6A,751.0704,Severe 0
144,TMEM241,50.80522,Severe 0
145,AC079612.1,0.0,Severe 0
146,SEMA3F,5.382131,Severe 0
147,AMPD2,1555.807,Severe 0
148,SLC25A6,37436.957,Severe 0
149,SLA,7673.8535,Severe 0
150,IGLV2-23,782.76135,Severe 0
151,SLC38A2,1467.9431,Severe 0
152,ARID1A,2069.327,Severe 0
153,TMBIM6,9475.6455,Severe 0
154,CYBA,15717.612,Severe 0
155,NAT9,237.40318,Severe 0
156,ZNF740,141.43379,Severe 0
157,HMGN1,6406.7563,Severe 0
158,LENG8,2122.3206,Severe 0
159,RAD23A,4817.37,Severe 0
160,DDX6,3345.8054,Severe 0
161,EMC4,1485.925,Severe 0
162,ANXA5,7650.6055,Severe 0
163,MIEN1,3356.156,Severe 0
164,ERP29,9653.24,Severe 0
165,RNF19B,472.19434,Severe 0
166,RGL1,92.53427,Severe 0
167,GNS,1966.3983,Severe 0
168,ACAP1,1937.4371,Severe 0
169,LRRC8B,353.63785,Severe 0
170,SCAF8,844.7276,Severe 0
171,USP3,8229.211,Severe 0
172,ZNF106,4172.8115,Severe 0
173,TYMP,13256.684,Severe 0
174,TM9SF3,941.9157,Severe 0
175,KAT6A,1538.7324,Severe 0
176,AKAP11,210.98941,Severe 0
177,GZMH,1069.1136,Severe 0
178,HNRNPK,9435.83,Severe 0
179,NOMO3,39.89357,Severe 0
180,SHE,7.836991,Severe 0
181,HIVEP1,403.50186,Severe 0
182,EFR3A,980.6613,Severe 0
183,TMBIM4,869.44073,Severe 0
184,LAPTM5,52657.113,Severe 0
185,SND1,1666.1118,Severe 0
186,LCK,1445.8428,Severe 0
187,TMEM245,198.26343,Severe 0
188,ARF1,19988.885,Severe 0
189,GRM2,6.8166327,Severe 0
190,KCNK10,0.0,Severe 0
191,S100A9,171000.89,Severe 0
192,RPS11,40196.37,Severe 0
193,CAPN2,3676.3098,Severe 0
194,PHKG2,684.3948,Severe 0
195,ZC3H18,731.0665,Severe 0
196,ADD1,1834.4828,Severe 0
197,MX1,785.08356,Severe 0
198,SCMH1,298.5045,Severe 0
199,ZYX,27487.791,Severe 0
200,RNMT,3845.2427,Severe 0
201,CANX,4210.4287,Severe 0
202,IGHG4,28.869795,Severe 0
203,IL1RL1,32.015182,Severe 0
204,IGHV5-51,2354.125,Severe 0
205,LAMB1,0.0,Severe 0
206,PDIA3,6889.649,Severe 0
207,ITGB2,9737.693,Severe 0
208,NT5DC2,100.600204,Severe 0
209,VIM,115452.61,Severe 0
210,TNFAIP3,10572.474,Severe 0
211,RPS8,293003.84,Severe 0
212,OXNAD1,889.0227,Severe 0
213,SLC25A46,608.4672,Severe 0
214,IGHV3-23,735.0218,Severe 0
215,CNOT1,2563.3086,Severe 0
216,LPP,1493.9797,Severe 0
217,UBE2J1,9671.652,Severe 0
218,ANKRD28,1204.1504,Severe 0
219,PRDM4,720.3358,Severe 0
220,PSMB6,4311.1914,Severe 0
221,UBXN7,1041.4229,Severe 0
222,ZNF227,266.81235,Severe 0
223,NCOA3,2364.8745,Severe 0
224,MTX1,1826.9664,Severe 0
225,PDIA4,557.08264,Severe 0
226,CHD4,2965.5745,Severe 0
227,AC159540.1,0.0,Severe 0
228,PLA2G2D,0.0,Severe 0
229,CCDC97,372.2639,Severe 0
230,TMEM154,638.3985,Severe 0
231,HIST1H2BK,2587.0667,Severe 0
232,KIAA0319,8.2243,Severe 0
233,APOBEC3G,567.64185,Severe 0
234,MOSPD1,182.30449,Severe 0
235,RPN1,6279.9917,Severe 0
236,ARHGAP1,386.29495,Severe 0
237,CIR1,2648.5085,Severe 0
238,AACS,130.33342,Severe 0
239,CHD7,889.4364,Severe 0
240,STX6,485.4242,Severe 0
241,SAMD9,313.16245,Severe 0
242,TOM1,4696.066,Severe 0
243,SNRPC,2177.1995,Severe 0
244,PGAP1,71.07401,Severe 0
245,ANXA1,15482.958,Severe 0
246,TMEM181,111.693695,Severe 0
247,ARHGAP12,688.54816,Severe 0
248,IPO11,378.34048,Severe 0
249,KLF3,8129.4414,Severe 0
250,CTSS,18633.625,Severe 0
251,LYZ,55695.332,Severe 0
252,IFI44L,97.925095,Severe 0
253,HNRNPUL1,4116.1016,Severe 0
254,GNAS,11549.975,Severe 0
255,SNED1,21.249022,Severe 0
256,IQGAP1,10343.816,Severe 0
257,HMGXB3,1106.1807,Severe 0
258,KDM5C,947.8391,Severe 0
259,RNF213,2558.8325,Severe 0
260,RPS13,252974.64,Severe 0
261,TMCO1,671.3128,Severe 0
262,ELL2,1550.5026,Severe 0
263,RPLP1,392119.03,Severe 0
264,RPL32,216214.7,Severe 0
265,RAB1B,5974.552,Severe 0
266,PKM,20643.621,Severe 0
267,IGHA1,1037.7863,Severe 0
268,NDUFB8,831.0473,Severe 0
269,COPB2,670.6779,Severe 0
270,ARAF,1322.4193,Severe 0
271,COLEC11,0.0,Severe 0
272,IGHV1-24,282.88242,Severe 0
273,B2M,278621.94,Severe 0
274,SPCS3,3313.0652,Severe 0
275,SNRNP70,2460.5347,Severe 0
276,RPS2,74602.67,Severe 0
277,HSP90B1,8104.1694,Severe 0
278,ANKRD17,660.9149,Severe 0
279,GDE1,1381.642,Severe 0
280,NCOR1,3934.7634,Severe 0
281,RAB31,9505.807,Severe 0
282,PSMC2,585.60956,Severe 0
283,RPS6,62658.004,Severe 0
284,CLUH,85.603424,Severe 0
285,CCND2,510.50916,Severe 0
286,RPL14,107279.96,Severe 0
287,RPS27L,2982.9229,Severe 0
288,GAPDH,259396.17,Severe 0
289,RPS20,14881.954,Severe 0
290,SEPT8,40.907867,Severe 0
291,ZNF622,743.369,Severe 0
292,CNR2,323.6927,Severe 0
293,SREBF2,1516.8274,Severe 0
294,SEC24C,642.3777,Severe 0
295,CSTA,20922.615,Severe 0
296,RPL38,25561.854,Severe 0
297,TLN1,24585.01,Severe 0
298,MRPL22,864.0617,Severe 0
299,MOV10,170.91139,Severe 0
300,ATF4,5694.882,Severe 0
301,ATAD2,521.9265,Severe 0
302,RPL10A,33823.93,Severe 0
303,ESRRA,339.748,Severe 0
304,TGM2,63.046818,Severe 0
305,SNX27,1554.5895,Severe 0
306,TMEM30A,1336.1743,Severe 0
307,SIL1,555.94806,Severe 0
308,PLXDC2,1625.2976,Severe 0
309,WDR55,451.7677,Severe 0
310,MT-ND2,50156.83,Severe 0
311,EIF3A,3563.4504,Severe 0
312,MFSD10,1688.7108,Severe 0
313,HEATR3,65.904724,Severe 0
314,HDAC4,542.0986,Severe 0
315,APOL6,521.8321,Severe 0
316,COPA,2773.5364,Severe 0
317,PGGT1B,354.1323,Severe 0
318,SMARCC2,1252.9255,Severe 0
319,HSPA5,13491.144,Severe 0
320,HSPA9,2777.9736,Severe 0
321,IFITM2,49326.16,Severe 0
322,CAPRIN1,2274.305,Severe 0
323,DYNC1H1,2016.7761,Severe 0
324,MORF4L1,6915.933,Severe 0
325,SYTL3,2987.4133,Severe 0
326,NNT,387.27023,Severe 0
327,RPRD2,546.3249,Severe 0
328,STAT1,2031.2998,Severe 0
329,SAMHD1,1845.9655,Severe 0
330,PKN1,1842.5518,Severe 0
331,MYCBP2,2322.0825,Severe 0
332,ACTB,543087.9,Severe 0
333,COTL1,70845.52,Severe 0
334,FAM198B,812.7101,Severe 0
335,BTN3A2,619.83466,Severe 0
336,KIAA0232,1110.4642,Severe 0
337,TPRKB,764.08374,Severe 0
338,XAF1,141.78671,Severe 0
339,ST3GAL1,2955.6882,Severe 0
340,RCSD1,5327.9937,Severe 0
341,TXNIP,63387.164,Severe 0
342,RASSF2,2265.1924,Severe 0
343,RPS18,83628.5,Severe 0
344,RPL35,38976.734,Severe 0
345,SYK,3721.4146,Severe 0
346,FNBP1,5226.2974,Severe 0
347,ABR,571.8261,Severe 0
348,UBE2K,1499.0343,Severe 0
349,FCGR2A,3596.1016,Severe 0
350,AXIN1,139.94264,Severe 0
351,CHD3,1542.4819,Severe 0
352,OAS3,68.179085,Severe 0
353,CAPZA2,4314.333,Severe 0
354,MT-ATP8,1762.0638,Severe 0
355,ARHGDIB,28093.916,Severe 0
356,SYNCRIP,1025.1809,Severe 0
357,PHIP,3276.8914,Severe 0
358,SRRM1,10420.8545,Severe 0
359,WAS,5357.3833,Severe 0
360,UQCRB,19415.865,Severe 0
361,USP7,1308.4945,Severe 0
362,LAMP2,1750.8171,Severe 0
363,SHISA5,1749.2751,Severe 0
364,TMPO,1117.8333,Severe 0
365,WDFY4,358.30515,Severe 0
366,PSMD6,2385.2727,Severe 0
367,PABPC1,51642.875,Severe 0
368,COMMD8,496.42416,Severe 0
369,ASPM,54.413876,Severe 0
370,LST1,11507.836,Severe 0
371,CSDE1,9952.6,Severe 0
372,FCGR1A,1305.8207,Severe 0
373,KIF22,592.7729,Severe 0
374,CKAP2,723.4792,Severe 0
375,TADA2B,270.4868,Severe 0
376,NFKBIA,62932.38,Severe 0
377,CEP350,2204.669,Severe 0
378,GTF3C5,571.853,Severe 0
379,RBM8A,8414.893,Severe 0
380,SET,5291.541,Severe 0
381,NCF2,6532.4004,Severe 0
382,ITGAM,1008.5288,Severe 0
383,TXLNA,223.10576,Severe 0
384,DIAPH1,2332.5073,Severe 0
385,PAG1,5615.7524,Severe 0
386,CST3,64396.918,Severe 0
387,RPS5,63322.75,Severe 0
388,IFI27,554.7287,Severe 0
389,YWHAZ,21235.107,Severe 0
390,MOB1A,3789.344,Severe 0
391,IFITM3,46990.76,Severe 0
392,LTBP4,402.60846,Severe 0
393,LACTB,1717.3815,Severe 0
394,AP2B1,908.1832,Severe 0
395,HCK,2402.0183,Severe 0
396,LRP1,3412.3232,Severe 0
397,LSP1,23961.02,Severe 0
398,MAST4,290.79782,Severe 0
399,CYBB,3325.4324,Severe 0
400,MALAT1,887857.8,Severe 0
401,ELMO1,974.8844,Severe 0
402,MT-ATP6,86618.5,Severe 0
403,MYH9,14119.286,Severe 0
404,VPS41,445.10663,Severe 0
405,ATP2B4,273.76648,Severe 0
406,PTPRE,7147.683,Severe 0
407,ACTR1B,735.2695,Severe 0
408,H3F3B,148956.83,Severe 0
409,GCC2,2652.5647,Severe 0
410,OAZ1,101448.17,Severe 0
411,PIK3AP1,1964.4816,Severe 0
412,NUCKS1,3912.7695,Severe 0
413,HPSE,2925.8599,Severe 0
414,CD44,9291.093,Severe 0
415,SARS,1247.9453,Severe 0
416,CD244,81.76247,Severe 0
417,TSPAN31,220.18181,Severe 0
418,HLA-DRA,30582.96,Severe 0
419,MBD2,2816.0767,Severe 0
420,RAB33B,536.4736,Severe 0
421,TNRC6B,1880.4641,Severe 0
422,CTSZ,2615.3096,Severe 0
423,ITGAL,981.87476,Severe 0
424,YPEL5,9397.85,Severe 0
425,HNRNPA1,21024.734,Severe 0
426,CCDC88C,1269.0005,Severe 0
427,ZMYND11,263.77023,Severe 0
428,MVP,1406.3225,Severe 0
429,EXD3,229.39081,Severe 0
430,RPL3,48058.36,Severe 0
431,NELFE,1744.4601,Severe 0
432,RSL1D1,6302.0137,Severe 0
433,TMX1,768.2361,Severe 0
434,HNRNPU,7321.1963,Severe 0
435,ACOT9,909.75055,Severe 0
436,MYL12A,33720.43,Severe 0
437,OAS1,301.89325,Severe 0
438,HDAC8,573.185,Severe 0
439,TRAK2,308.2292,Severe 0
440,VRK2,590.3352,Severe 0
441,ATXN2L,2335.6917,Severe 0
442,CYB561D2,543.7955,Severe 0
443,TAPBP,4292.041,Severe 0
444,WBP1L,293.11047,Severe 0
445,CENPJ,100.716,Severe 0
446,HNRNPC,9060.433,Severe 0
447,CD2,1339.4534,Severe 0
448,CHCHD1,966.8563,Severe 0
449,TSTA3,639.4512,Severe 0
450,EIF3C,120.81635,Severe 0
451,LBH,1085.7283,Severe 0
452,MEGF8,19.688843,Severe 0
453,SMCO4,1142.0936,Severe 0
454,MAP3K2,3636.1204,Severe 0
455,MARCKS,1149.1298,Severe 0
456,PDCD11,60.009735,Severe 0
457,RPA2,1190.7733,Severe 0
458,BID,2100.3184,Severe 0
459,STX10,2668.5886,Severe 0
460,IFIT3,47.752888,Severe 0
461,DHX9,1128.4087,Severe 0
462,ATP6V0B,15308.591,Severe 0
463,OGT,938.4062,Severe 0
464,BUD31,3427.2087,Severe 0
465,ZBED6CL,5.561735,Severe 0
466,WDR70,218.88387,Severe 0
467,ABCA7,388.85574,Severe 0
468,SPN,325.68698,Severe 0
469,CANT1,493.4747,Severe 0
470,SPINK2,12.852434,Severe 0
471,PRDX5,6225.8853,Severe 0
472,CDV3,3009.7498,Severe 0
473,IGHG2,119.78878,Severe 0
474,IK,2818.8208,Severe 0
475,PI4KB,747.69385,Severe 0
476,SORL1,1307.4685,Severe 0
477,IGLV1-47,353.10846,Severe 0
478,CD2BP2,1141.18,Severe 0
479,SELL,8367.916,Severe 0
480,RORA,1155.3903,Severe 0
481,SP100,9388.325,Severe 0
482,MBNL1,10096.956,Severe 0
483,UHRF2,934.82104,Severe 0
484,KDM5B,2021.9628,Severe 0
485,PDCD6IP,1837.6848,Severe 0
486,UROD,1068.1688,Severe 0
487,EFTUD2,452.09894,Severe 0
488,TNRC6A,716.91284,Severe 0
489,TPM3,26936.879,Severe 0
490,HMGB1,24799.508,Severe 0
491,ZNF263,309.80597,Severe 0
492,GGA2,2176.1365,Severe 0
493,HUWE1,837.00806,Severe 0
494,ERP44,1464.2711,Severe 0
495,CD14,10305.256,Severe 0
496,GPR180,70.90379,Severe 0
497,FAM129A,653.6381,Severe 0
498,PSMD2,1909.0884,Severe 0
499,IGFBP4,360.9494,Severe 0
500,PCGF5,3215.559,Severe 0
501,TGOLN2,4165.911,Severe 0
502,RPL31,39136.195,Severe 0
503,IPO7,487.3505,Severe 0
504,AKT1,596.97644,Severe 0
505,MCM6,286.45142,Severe 0
506,DPAGT1,75.2415,Severe 0
507,C22orf46,278.21423,Severe 0
508,CD47,2591.1948,Severe 0
509,TTC30A,130.29478,Severe 0
510,FBL,2552.5464,Severe 0
511,POLR1D,6054.5864,Severe 0
512,RSBN1,1715.2592,Severe 0
513,SOD2,8434.854,Severe 0
514,FCGR3B,101.16235,Severe 0
515,ZNF23,109.204185,Severe 0
516,IQCH-AS1,28.203217,Severe 0
517,UBR5,2124.3267,Severe 0
518,SLTM,3575.5908,Severe 0
519,PLEKHG1,985.6942,Severe 0
520,RBM10,496.37027,Severe 0
521,CLEC12A,355.69162,Severe 0
522,HCG18,302.85126,Severe 0
523,EBAG9,669.3234,Severe 0
524,MARCH5,1303.4259,Severe 0
525,THYN1,760.0485,Severe 0
526,KCTD21,18.882984,Severe 0
527,MPI,250.05768,Severe 0
528,C12orf29,149.30035,Severe 0
529,CUL9,222.17491,Severe 0
530,PDZD2,2.3337224,Severe 0
531,COL2A1,0.0,Severe 0
532,PLEKHG3,84.838875,Severe 0
533,MATN1,21.218813,Severe 0
534,MINOS1,1714.4159,Severe 0
535,P4HTM,198.21268,Severe 0
536,SPDL1,87.129906,Severe 0
537,ATF2,587.64,Severe 0
538,SH3BP2,4071.6138,Severe 0
539,SS18L2,1513.9961,Severe 0
540,AFTPH,1899.358,Severe 0
541,G3BP2,4766.653,Severe 0
542,RASGRP2,8433.815,Severe 0
543,CD63,15911.61,Severe 0
544,PRKCH,863.6856,Severe 0
545,MTRNR2L12,26136.732,Severe 0
546,MAPKAPK3,1649.528,Severe 0
547,SOBP,19.273687,Severe 0
548,PLCE1,21.782629,Severe 0
549,ANKRD11,2657.0205,Severe 0
550,RTN4,6752.494,Severe 0
551,IGLC3,885.9264,Severe 0
552,HDAC9,441.47748,Severe 0
553,PPP1CB,3878.4438,Severe 0
554,FAM49B,5111.0854,Severe 0
555,STARD4,829.9681,Severe 0
556,GAK,1614.4413,Severe 0
557,PREB,511.4005,Severe 0
558,CAP1,8867.728,Severe 0
559,RNASE2,936.1181,Severe 0
560,SUPT6H,2463.2615,Severe 0
561,SEC62,13188.253,Severe 0
562,TMSB10,181519.33,Severe 0
563,XBP1,3504.422,Severe 0
564,PRKD3,1120.5532,Severe 0
565,SSNA1,1891.635,Severe 0
566,CPEB1,0.0,Severe 0
