,Gene name,Moderate 0,Moderate 1,Moderate 2,Moderate 3,Moderate 4,Moderate 5,Moderate 8,Moderate 11,Moderate 13,Moderate 14,Severe 0,Severe 1,Severe 2,Severe 3,Severe 4,Severe 5,Severe 6,Severe 8,Severe 9,Severe 10,Severe 11,Severe 13
3205,PAX5,4923.7744,4124.691,754.2042,603.3439,1221.2289,338.7992,553.1337,115.635956,249.63232,2042.0687,308.95627,1602.782,2330.4788,941.67847,664.73157,810.4508,9726.84,835.80963,2203.8364,3615.4878,3736.5945,620.25604
3206,NOM1,2073.1565,1189.5693,1576.639,309.05426,405.4596,224.82184,260.23212,119.90127,225.69525,1407.4788,142.3576,735.7872,1035.1733,399.95844,188.9257,596.1691,2575.5002,778.21454,1780.6323,2185.1326,3474.9495,769.26746
3207,CCNI2,267.99304,138.87753,168.68105,16.8098,50.235893,39.45482,13.293497,8.159609,34.149197,35.2947,10.501321,136.03732,77.92766,46.547108,31.954102,72.47582,113.79692,100.24126,31.047987,115.50919,267.02502,15.706725
3208,VAC14,2331.8635,1285.8441,1656.5431,493.40982,800.786,345.87225,353.45428,294.5848,428.0259,643.7542,355.25027,1295.8379,1654.0851,560.1383,527.76697,849.05597,1230.6869,370.26123,674.6513,1416.4388,1087.4434,328.0777
3209,FGD4,308.6084,703.51215,1156.0348,271.3164,452.97745,484.9497,262.3786,697.0722,395.63983,1898.5446,529.2502,626.868,744.68427,896.7183,1198.7113,2082.4583,3044.4507,817.9909,1718.2415,3129.1638,1167.7059,640.4145
3210,OTOA,13.7426605,30.272121,54.386745,9.75273,155.47433,1.4990985,0.3703841,17.921148,25.547522,57.800064,30.834633,44.212646,55.04589,2.299908,0.0,21.056763,224.6907,316.4287,445.6996,280.55493,181.02234,32.01121
3211,HOXD8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.637167,0.0,0.0,0.0,0.0,0.0,15.360983,17.699116,50.636963,40.078804,50.659786,26.498318,2.9717684
3212,FBXW7,2067.97,1770.1378,2478.9763,658.6569,555.33923,613.8854,413.6554,622.6102,687.93616,4045.4377,439.32996,1201.7257,1635.2646,748.98047,742.41144,2465.4214,7927.502,3767.3794,6608.2573,7887.3545,9697.505,2616.3848
3213,TENM4,25.841736,5.3271427,4.646348,5.4704733,0.0,1.0336986,0.0,1.1580776,1.0572687,14.365501,3.4305317,9.746589,6.925828,0.0,0.0,0.0,148.55681,396.75296,292.90143,348.8057,195.56102,72.41643
3214,NOS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6882825,0.0,82.820145,0.0,0.0,0.0,0.0,0.0,2.250225,367.44376,514.48376,535.48914,456.11688,170.8975,190.63503
3215,CCR2,145.8462,171.96349,129.91277,115.75283,559.58014,672.92487,390.11417,721.10724,287.22797,7347.546,107.11712,607.3061,468.10242,103.50635,57.008976,497.71097,2671.7224,1069.866,1943.7562,8578.354,3772.7917,2403.2854
3216,LMNB2,1092.6692,632.09863,1114.4028,253.22261,368.62485,275.28183,203.2947,169.95323,261.1436,779.7034,151.77742,654.5372,810.2899,354.66132,211.45705,347.85175,1019.80634,410.5876,674.30914,1286.5795,1711.7408,506.28235
3217,ESYT3,0.0,0.0,1.3502566,0.0,0.0,0.0,0.0,0.0,0.0,68.10736,0.0,13.192612,0.0,3.6177793,0.0,0.0,74.520935,232.433,231.229,312.4197,127.82179,2.9967036
3218,SLC20A1,2036.0516,1215.2562,1926.3014,953.5029,1016.0629,787.4385,580.36884,1009.5841,1006.04694,3598.8708,919.6393,1526.9648,1686.1467,735.06635,476.79495,3250.3015,6723.7363,2195.5767,5146.338,6065.44,7277.3657,1594.7151
3219,ETV3,1615.9454,1295.1459,1894.9248,598.82635,409.70297,300.082,230.6595,269.08374,400.48853,1863.6511,580.12335,976.29974,1376.9255,678.2013,547.6067,1400.6312,2547.0945,842.89374,1374.697,2375.27,3366.181,809.3851
3220,CALD1,137.51465,113.243706,345.37238,135.2985,682.6838,121.55464,117.32507,763.218,582.83026,35.593822,1161.389,573.9359,1737.1421,1309.4768,1317.5886,2166.9155,2306.5276,353.9075,206.04063,959.6102,502.58923,321.53647
3221,WRAP53,1284.8226,866.2964,824.7079,273.97925,352.31213,199.05286,137.0465,179.45207,205.98254,221.13692,111.36746,675.50946,1149.9888,368.02945,308.76477,340.24762,746.97437,233.85748,286.09552,663.8747,828.1236,248.2682
3222,DOCK8,13503.122,12029.597,11375.242,3757.6758,7183.603,6049.894,5572.1445,5989.8057,5323.305,15284.697,2477.0017,8790.625,11115.283,6552.0254,7010.11,22915.389,26553.717,6193.6855,13786.537,26085.414,24694.879,6759.249
3223,PROSER2,19.320503,35.58457,43.915688,151.69327,183.45935,75.28731,156.64462,64.3249,28.903862,74.35364,64.52736,62.439465,49.284306,37.81762,43.96532,217.58226,568.9726,168.11891,214.81445,537.90344,327.0006,61.91892
3224,PTAR1,3576.3005,2315.6436,2107.0625,705.25665,959.45276,486.9138,749.97217,699.8686,968.2898,2750.4766,1273.9675,1648.8801,2685.6487,1418.6669,1630.0715,2827.5251,5971.2705,1136.4868,1912.0398,3618.397,6242.755,1074.6293
3225,GIPR,58.76967,78.79975,103.563736,84.72059,26.92214,9.49359,21.637533,29.9011,63.901295,101.70833,8.2783985,43.565094,49.94933,25.652477,3.3432484,69.899254,246.83966,145.58516,331.00455,229.20306,227.79303,60.43947
3226,METTL1,413.76947,204.77751,470.5606,100.383446,118.805374,111.64646,59.760944,82.27005,63.200596,64.9903,30.388767,217.24098,205.93584,82.01089,31.114422,112.87619,180.01291,21.598272,144.02628,209.94385,319.06152,63.463623
3227,ERICH1,12419.669,8494.262,6558.0747,2364.9275,5052.028,2345.8613,1964.0234,2429.9514,3621.1287,3244.797,2482.4846,6294.8403,9221.195,3897.3252,3801.1528,6755.42,7873.976,1367.1454,3229.9937,6222.054,5739.8364,1460.075
3228,FAM84B,500.2182,275.24832,251.53801,109.067314,292.26254,148.47972,221.78201,69.779205,264.07193,390.49326,52.33461,172.21112,395.52914,136.65106,90.65274,202.94405,752.3355,360.0784,408.17773,673.0202,1354.9121,275.52533
3229,PALM3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.702917,0.0,5.496015,0.0,0.0,0.0,2.0242915,20.281326,116.215866,52.558945,143.40225,51.31301,6.740874
3230,NCKIPSD,1244.1425,706.92194,657.2319,219.59087,305.62997,147.33685,126.69259,236.88043,237.78346,254.68983,537.81384,806.8831,2331.4055,908.2329,641.1345,506.7973,804.02435,236.49014,310.5171,565.3884,1073.5535,178.50987
3231,OR6J1,0.0,0.0,2.5575447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.847136,0.0,43.964394,6.849315,0.0
3232,DDX3Y,0.0,0.0,0.0,1480.3496,0.0,0.0,983.0395,0.0,0.0,5750.4243,2460.118,4204.346,6734.409,2501.7786,1872.6025,2088.9065,13042.277,3160.7942,7804.53,12170.652,18358.395,4118.4453
3233,TMEM167B,3851.868,2565.2654,3122.083,1049.0221,1597.3851,1006.23865,1058.8724,915.6058,1306.082,2725.2366,2894.534,2211.023,2766.4736,1619.4725,1771.9001,4791.232,4850.487,1418.5531,2525.491,5070.3784,4401.3564,1174.2002
3234,C12orf57,80833.97,44404.492,56337.617,9004.913,13416.746,6427.171,4714.0723,5062.332,6776.1895,2420.373,8322.888,25451.627,49925.184,15108.239,7293.941,10621.57,6992.8096,841.04346,2008.3248,4728.3765,8420.993,1500.491
3235,LINC01134,13.762165,19.470314,20.860855,0.0,37.557415,0.0,0.0,3.1230583,17.475729,53.246986,2.3326335,15.996154,36.257263,53.304813,6.5685706,28.12674,154.58092,139.49117,167.77159,138.44127,74.63,24.096355
3236,TMEM68,1132.5607,766.58496,908.9342,298.78983,552.8132,218.52437,245.58072,181.16512,261.5666,398.8682,162.2797,457.2788,811.34375,291.6375,217.07777,665.42957,853.0037,171.52565,307.15622,417.03946,744.41504,197.12312
3237,RPL39L,374.96252,340.55228,121.01853,528.7338,476.52838,262.05844,193.78941,117.14498,265.69638,1360.9772,219.8386,388.0781,845.64246,271.24414,122.30908,314.7889,1968.4751,585.5678,1539.8221,2902.4487,3826.524,873.1635
3238,RINL,4386.1084,2446.385,1477.9425,618.45276,1109.7733,379.28708,424.09482,432.8788,518.4158,1572.366,209.10382,1911.0419,3109.788,1185.7766,784.9189,1307.6033,3199.956,697.70374,2059.653,2218.9004,4030.4712,1058.1793
3239,UBE2H,2100.7742,1415.0999,1583.9753,597.47266,1009.3941,636.1173,570.80066,811.2829,812.82355,3936.7957,1576.1771,1306.7283,1814.6681,1881.2041,2298.0693,3374.915,7724.7407,1051.3499,2974.8713,6620.941,8466.12,2000.023
3240,RPS28,548779.6,414109.22,486155.12,140606.53,169370.47,107664.75,102083.56,93699.375,91452.37,16868.795,183829.86,396410.34,535799.1,184582.47,122528.16,161505.64,79559.984,10356.267,19872.45,38860.617,49457.133,10651.745
3241,PLGRKT,4181.991,2055.8801,1207.0835,800.80096,1708.7725,1124.5061,961.4326,694.13226,1274.3972,452.45615,380.72894,1913.9983,2786.9321,1117.4452,1264.6626,2574.633,1372.3324,129.97307,602.2434,1031.9116,964.63495,229.91502
3242,DOPEY1,1184.8914,877.2229,1386.7416,311.22693,449.79932,224.89464,273.2713,226.48648,294.5563,1393.7297,103.71036,610.99194,829.4638,278.04364,153.40816,620.9691,2372.9922,791.3352,1474.3809,2492.883,3407.9595,850.2278
3243,LY9,11936.04,6587.193,5320.8853,1232.2864,4196.6816,1546.4897,1494.3013,924.5858,1573.5121,1986.1503,4804.167,3527.2256,6376.2944,2335.7522,1734.4193,2508.99,3848.8767,1091.8231,2271.5408,2001.5214,6679.279,1099.0917
3244,MTUS1,585.76636,151.6783,189.85861,5.961842,101.28958,16.429842,36.14196,73.50922,34.019516,155.18317,6.169979,153.93256,396.6154,141.08011,49.0537,32.391613,435.7826,326.31747,399.44742,535.43463,423.07806,65.63971
3245,IKZF1,28348.645,18332.533,21742.912,4917.309,8351.762,4247.3174,3998.8367,3424.2278,5704.355,18899.38,4000.192,14665.678,17632.023,7381.456,5916.3335,14532.796,32554.64,7374.687,18905.791,29051.521,42995.42,9033.893
3246,CLVS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.077312,0.0,0.0,0.0,0.0,0.0,0.0,72.38876,36.764706,95.10451,85.592705,51.166473,12.5891285
3247,NPR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.017544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.32173,60.925545,34.180325,10.0319395,0.0
3248,CELF1,6337.2964,4850.6846,5810.9385,2255.5645,2755.2834,1488.6115,1348.5254,1778.8049,1976.838,4912.089,1523.5792,3235.7341,5047.399,2180.3564,2113.6726,4797.8506,10439.645,2216.651,4164.2695,6312.2285,11667.964,2900.192
3249,ZC3H6,3276.3489,2089.4497,1831.0442,923.8564,1253.3353,819.5288,483.4177,720.5005,894.4212,1893.5865,458.91556,1370.0891,2115.1702,887.2836,524.3671,1929.8278,4664.3145,745.0509,2662.46,3328.6328,4421.567,828.19055
3250,CUX1,5524.182,4021.2542,8088.3164,1830.8654,2430.571,1409.1013,1493.373,2084.9734,2313.8525,5729.306,3202.9683,3830.0022,5588.691,2588.5447,2568.5183,6567.9946,8914.339,2984.5398,5394.7744,11959.756,7474.011,2620.8643
3251,ZNF350,1943.1826,1409.6836,1354.8596,452.29837,878.9936,732.5436,557.32855,326.63992,773.0949,772.76917,897.0276,1032.554,1389.9943,734.00165,570.38684,1647.9703,1584.161,499.0106,1256.871,1772.123,1499.299,246.58003
3252,MLEC,3883.295,2169.1511,4605.249,1322.1769,1880.968,934.8037,923.51465,1014.7035,1312.7631,3477.997,1486.3533,3151.4915,4814.836,1686.5039,1254.1636,2924.9734,5681.765,1533.5458,3076.454,5458.209,8009.5903,2587.3818
3253,PNN,20246.896,13171.541,7839.101,3587.977,4628.9717,1833.3842,2219.0188,1721.1548,2887.9146,5915.368,3306.0127,8222.285,12587.168,5193.864,4097.154,6035.0034,16288.792,3432.9272,8673.038,10464.888,19821.707,4324.6494
3254,DIP2B,3976.5242,3587.0278,2175.595,656.16003,1632.0013,1237.4283,967.0147,928.25244,1280.9476,1844.1096,682.27325,1695.9979,2403.2346,1101.8717,1195.5674,5457.9346,4747.1074,969.0476,1760.4009,4356.6377,3188.8938,857.4524
3255,C21orf91,2102.5,1329.583,2306.6433,553.0735,1277.6674,787.9398,580.8402,420.96866,835.3267,2095.2278,351.6421,931.07214,1601.7404,965.8455,856.1313,2492.4546,3411.1052,852.772,1575.1632,2646.2908,4565.6436,937.8652
3256,MGST2,617.35754,1001.51135,455.57397,351.77606,581.51917,448.07703,377.27063,487.36502,575.50446,800.7635,660.39166,1203.3778,1198.7465,422.4732,413.18365,803.7827,965.96344,592.55505,870.5233,1557.3647,635.5026,289.25967
3257,RAB22A,1347.3629,903.00183,2723.8538,382.85703,511.0188,313.22754,332.6591,207.20505,293.75806,3076.2588,399.8712,925.7844,1413.0126,560.0463,479.69296,1474.6848,4427.744,1249.5049,2860.8416,4287.024,5609.2437,1536.8951
3258,C19orf25,6160.0513,3320.1704,4918.0303,1232.1886,2657.2195,1117.4376,1091.3358,1122.52,1619.5404,599.2137,793.2443,2734.0178,3800.149,1797.7001,1674.276,3772.2915,1971.9427,208.92023,547.0623,1079.2301,1694.7548,367.23425
3259,GTPBP1,1335.5177,1107.8881,2469.2708,582.376,622.5863,518.12537,561.4535,269.97525,618.0512,1317.1118,1097.4337,757.258,1262.4144,703.6443,548.8503,2305.105,3608.5225,1037.6859,2331.287,3136.7722,3418.6553,568.44006
3260,VAMP1,1448.5195,997.46405,926.3321,193.8502,399.78906,157.39352,193.04453,186.27473,234.10774,462.89667,234.63844,751.5697,1046.151,470.33713,359.04437,662.4007,1412.0012,337.3698,863.2625,721.9863,1525.494,195.52469
3261,PIP4K2B,1633.4675,1173.3004,555.7804,389.92767,524.6187,285.9196,368.6024,353.15555,414.00867,2730.8286,132.72705,786.9293,1231.3339,571.67615,293.9653,657.32605,4630.3257,1539.518,3397.8352,4539.2437,6202.4253,1374.7527
3262,APEX2,1292.5728,802.0489,1923.6956,353.6927,897.6863,401.92557,349.57373,248.71921,372.78012,704.8594,211.89143,884.9724,1084.5914,550.378,415.18948,609.5322,940.7368,329.374,503.2607,1005.754,1379.0253,355.14722
3263,FRRS1,25.774052,24.94096,12.027672,23.283417,18.374609,9.414693,3.9155097,38.258118,17.758099,48.961933,22.422224,17.852444,29.262753,9.866028,3.0805497,46.663948,70.83836,230.2647,70.89324,201.6551,150.89537,49.822464
3264,ZEB2,6785.4346,8165.581,18672.572,5756.149,5704.5737,3010.4326,3598.5525,4763.452,4349.3657,10830.825,9752.606,8350.446,11289.826,4324.7886,3880.4124,14570.92,20149.076,5598.8926,13019.169,19653.154,12949.467,4813.227
3265,UBN2,746.10187,568.29224,843.00275,197.16125,364.534,224.4363,186.84225,290.2649,137.55112,1561.1005,69.0557,375.90094,631.03,288.37082,162.95444,1105.4365,3464.4265,910.39575,2073.3306,2606.5706,4158.8867,865.3473
3266,ATRN,997.6027,625.6659,863.723,219.11621,210.9167,146.60384,138.16754,153.59769,78.03176,1208.4808,164.11067,564.65857,864.0507,314.836,130.4509,325.93204,1544.995,637.2473,884.7355,2041.9058,1560.7515,345.69876
3267,L3MBTL2,2428.61,1508.8927,1448.7053,408.26645,870.8462,302.33173,389.81714,308.96796,503.7753,1191.0382,83.54936,1290.122,1896.8207,561.8321,405.12787,660.5342,2073.3486,705.57056,1127.7683,2040.9979,3153.9277,722.25586
3268,ALG5,2855.9797,1989.9838,2958.364,704.0373,1132.48,639.21136,689.8293,459.27728,754.4473,991.03143,278.98712,1556.8728,2484.0718,742.3898,439.33347,906.6889,1299.7961,539.88586,972.3863,1811.1548,1658.5024,767.55804
3269,EIF1B,13879.47,12203.962,10233.732,4644.993,9251.685,4419.4365,4187.0522,3420.0967,5925.374,1317.1228,7503.7905,7599.3755,11892.151,5698.3135,5337.0957,12663.553,11840.481,664.707,1493.9158,3303.141,2356.7588,645.1858
3270,MTRNR2L10,6.18047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15006.644,0.0,0.0,1.7488632,0.0,0.0,8.319468,28629.793,15143.643,31376.39,67014.06,43952.97,11182.885
3271,CAMKK2,1268.9457,1270.6663,1919.0027,613.0199,466.05493,1242.3693,440.03503,1859.3417,776.13586,2882.3616,521.79156,1318.9882,1739.5392,1392.3845,1878.2396,5203.848,4658.369,1052.4651,2027.1033,5471.5034,2713.1948,1124.2351
3272,GNAI3,5269.9995,3648.9888,6600.754,1871.8379,3878.8032,2458.558,2080.3245,2196.6836,2688.22,4347.9214,2135.5193,3667.8145,5262.8203,2672.5789,3128.6987,8132.9414,7894.1113,1835.2133,3450.1506,8429.423,7239.547,2071.1973
3273,UPP1,8655.589,10190.839,13224.415,2542.86,4585.9927,1844.3749,2166.413,2948.5032,3311.1438,4440.0728,26298.11,10280.223,10137.036,11411.606,15297.868,9181.622,8730.792,2336.4731,5327.917,10250.605,8871.27,2561.746
3274,HNRNPD,7092.3486,5521.928,7613.362,2241.5427,2610.3433,1784.0682,1464.7365,1549.5012,1925.3715,12038.091,2354.751,4493.846,6174.5444,2260.0146,1658.0659,3694.3174,19252.998,4860.985,12010.752,21465.693,22901.31,6494.877
3275,UBE3A,15386.483,8943.197,11018.857,1955.3754,2986.9646,1326.5138,1373.9932,1089.4304,1649.0516,4267.0776,2165.6262,5698.7427,8337.091,3208.1504,1996.8689,3440.7146,6781.5327,1528.6973,3728.4507,6722.537,9161.57,2280.4626
3276,KDM2A,7465.5317,5089.426,6374.918,1541.9509,2095.527,1687.4945,1266.1986,1317.2842,1671.1676,7430.643,2542.4365,3858.5144,4827.4756,2427.3655,2407.2388,6128.155,16054.781,4566.9365,9997.222,13499.201,15637.779,3712.6938
3277,TSLP,2.5094104,14.940301,20.173262,0.0,2.2660322,0.0,0.0,7.6522255,2.096463,3.6107316,12.56284,4.572252,5.551978,0.0,0.0,0.0,75.508125,36.630035,19.960081,35.613846,10.787088,11.140168
3278,NCSTN,3422.965,2395.3591,3136.34,784.3363,1310.443,939.06616,897.25665,911.1006,984.7533,1850.9099,669.2556,2059.6943,2650.4248,1269.1385,1186.79,2249.4517,2608.7935,1311.3423,1912.8231,3418.0461,2092.345,910.4829
3279,CNOT8,5998.725,3617.217,5479.8857,1302.6685,3067.8171,1459.2299,1105.8905,1239.0419,2044.4004,2515.1487,2471.7146,3204.2869,4398.956,1996.4242,1734.5992,3969.454,4975.4907,1188.3849,2554.9248,4441.3145,4285.7603,1067.2615
3280,ATP2B1,8855.533,7815.2285,20426.865,1851.9592,2412.6812,2134.2012,1624.3766,1959.8477,2114.6255,4467.8003,2678.4722,3756.3796,6002.358,2075.518,1399.0616,7207.2124,10181.875,2323.9573,5649.2188,10668.111,8392.869,2663.3203
3281,GNL3L,2768.7903,1880.4581,1766.3092,579.6507,1008.4889,472.68982,463.1164,368.0,520.1122,1241.4072,292.51706,1603.2656,2107.1067,748.03204,518.29596,1509.7167,2634.4763,508.0222,1266.9464,2366.9038,2946.1775,828.83496
3282,EIF4H,13974.296,10980.575,13793.393,3883.811,5125.1714,2759.7554,3212.6636,2414.9421,3485.9863,4155.802,3500.126,7874.2036,12603.678,4455.783,2921.3257,6949.1187,7644.904,2154.5679,4645.317,10540.571,7093.546,2465.3665
3283,TTC12,531.1556,871.4991,455.10266,143.74913,306.2764,157.57861,150.54308,66.92604,311.56262,407.6236,26.755375,532.71643,820.4066,266.01782,150.25298,352.71332,1219.978,95.39915,537.66675,708.6165,630.8916,89.91552
3284,SH3BGRL2,570.1484,320.3885,480.52615,1280.2192,2689.9111,618.92285,814.29706,1137.2883,2316.194,257.6485,1428.7991,1129.3802,4059.1492,1749.7826,1349.3734,5768.8584,6418.425,314.59155,565.3659,3519.8503,2785.7388,545.3663
3285,UNC119,5546.322,4565.1562,3978.51,1576.5956,2067.3464,1835.3927,1247.5619,2272.6377,1429.0044,1499.191,1749.0856,2923.0378,4760.418,2190.5464,2160.7988,4293.537,3570.1958,871.05524,1678.057,3339.74,2582.8367,666.85175
3286,MRPL9,5937.3037,4047.476,5232.951,1185.2002,2208.7832,1041.9418,1136.0209,539.3345,1179.1475,919.3523,960.47656,3024.9922,4350.018,1590.547,903.67725,1709.5413,1707.8135,377.8843,1331.6807,1468.9913,1898.518,550.60535
3287,SLC27A4,350.99557,245.14096,143.83601,89.2749,149.68834,55.960503,44.517796,50.07389,102.24164,340.00143,65.62427,301.62155,324.2922,143.17271,103.224724,291.5761,402.1709,271.39337,343.19275,534.92615,602.0142,208.31073
3288,ZFHX3,338.9975,1028.8662,1263.6793,345.48843,137.26852,174.34879,292.8608,372.61215,118.147255,1707.8425,1155.1687,701.0822,1594.4554,130.87648,84.98056,323.27682,1660.8348,1077.0347,1926.2627,4042.1365,1539.609,859.96625
3289,IFT27,1936.9131,1096.1805,856.1215,481.58545,993.56616,370.54443,401.8912,426.52515,456.87466,500.38727,96.69198,988.04486,1809.1035,611.253,537.43365,771.81476,1051.2292,486.96683,422.29376,1008.56946,1045.2142,322.45624
3290,MREG,252.18599,166.96486,151.56906,44.50337,97.829254,36.155846,62.15266,43.31589,45.989826,73.30704,58.9425,70.14006,131.6124,139.56818,121.99626,118.02998,173.1309,160.00189,236.75417,131.82758,180.13577,49.09067
3291,HELZ,6212.307,4012.3472,5081.347,2010.7391,2561.3037,1319.0913,1253.1221,1404.7003,1873.6893,7893.2544,1482.1635,3499.7454,4943.207,1973.7975,1714.0215,4572.7236,13504.07,4346.217,7947.1104,12606.537,13363.568,3634.2534
3292,BRIP1,112.180275,83.7772,71.10959,24.551102,24.346401,14.439484,9.6960945,10.597035,31.110844,113.6068,13.651664,36.89733,61.34996,32.825214,8.930443,105.83409,180.74367,123.67756,132.9672,390.90427,500.65222,133.34503
3293,NAIF1,574.21686,354.38693,442.9183,176.2131,219.37596,118.75389,118.64527,187.79022,181.33855,608.5407,99.96907,269.19434,470.44296,192.03738,184.42334,413.6939,1290.244,395.3848,827.0982,1097.17,1194.5365,310.85718
3294,KCNN4,1314.7722,611.61975,703.6235,237.57127,312.28995,299.91852,110.88264,226.49344,204.62392,418.59283,174.47379,549.6043,617.73425,220.91101,70.867905,324.41046,854.633,171.76286,279.74127,964.06537,1095.0876,418.7736
3295,MSH2,3488.0735,1910.1708,2293.004,267.71167,725.66174,223.91786,329.9008,148.97273,297.6886,1107.9188,96.392586,918.36664,1960.647,703.5028,271.49954,504.9661,1577.4243,219.05803,873.7702,1384.9001,2512.7524,640.4556
3296,MRPS18B,7765.2236,4804.5464,6418.3535,1882.5404,3505.6204,1649.4526,1956.8206,925.3888,1884.5498,2448.0103,681.9537,3689.2397,4954.6406,1732.6024,1052.1158,2282.2458,3700.384,1216.4045,1769.515,2933.5933,4432.8413,1274.2968
3297,EXOSC1,4580.2427,2719.0361,4161.8066,1184.3779,2242.8792,943.87604,1108.7346,807.4793,1172.8164,1311.344,785.4055,2551.7017,3753.6423,1356.1062,1125.5724,1789.3928,2108.4976,859.06885,1374.1936,2315.3438,2274.4702,794.5191
3298,QSOX1,2517.0132,2282.0955,4116.513,780.7944,741.73785,612.6606,446.53424,1141.4731,721.9672,2898.0674,3071.2175,2646.181,2978.918,2168.6301,2379.126,2316.2136,3030.3198,1325.5775,2140.284,4823.379,2328.349,930.9124
3299,SAMD9L,3064.8188,1875.0754,961.89514,1408.9967,6852.0537,6228.715,6689.14,1312.0546,7397.878,10559.8955,104.35421,2181.593,2345.5308,1198.4895,1254.3951,15380.954,19859.271,6679.972,17746.162,25034.525,20662.46,5658.1587
3300,AQP3,13430.331,6476.467,16902.295,989.9682,5590.809,3644.6548,1953.5818,1032.774,2873.4475,1034.8539,388.34985,5522.54,6539.3105,2343.7305,1513.4896,4060.651,1706.6411,261.58423,849.2439,2517.9548,3985.8745,904.3521
3301,RAB3GAP1,5308.6445,3578.956,5188.43,678.9848,1754.7546,846.24,865.895,602.5692,1131.4967,1338.4645,1165.6232,2026.2266,2817.735,1215.3998,907.02344,2186.2715,3032.4277,773.16693,1135.4532,3067.6797,3414.7886,875.27734
3302,UBALD2,3771.5928,3693.7117,2456.7144,1647.3042,2955.254,2924.131,2178.4944,2750.3215,3651.9707,4238.099,7780.813,4385.156,4330.955,4256.263,5560.759,11052.783,19530.195,3749.663,7719.365,13420.646,18119.012,3451.4653
3303,MOB3C,653.09796,404.4359,745.2533,649.78217,982.1307,556.2242,468.0046,225.82692,831.3094,619.90576,366.5837,440.74115,967.1556,382.9045,297.41034,1306.5767,3053.124,235.67693,798.3284,1524.7825,1140.035,344.62146
3304,NINL,59.67611,48.275894,39.33842,26.098412,6.071395,0.0,17.09023,10.54551,22.547163,177.5542,3.8402457,77.39328,63.31142,35.635082,23.752838,32.497906,243.78587,164.14503,395.06125,372.20074,315.86734,99.11203
3305,TAPT1-AS1,276.3831,239.78207,92.537636,59.80064,203.63634,25.303362,20.70701,34.328453,24.826391,426.56412,0.0,109.24683,175.46082,114.59456,117.023834,153.9491,1038.8547,259.8188,405.7802,1533.4011,1541.6128,278.52322
3306,ULK1,618.8435,727.05615,1087.825,251.8588,398.24817,540.7743,276.55734,1045.6556,534.0256,1894.6183,2537.4187,1098.2777,997.7608,1358.0184,2039.0046,2189.6287,3733.232,617.69336,1469.0737,2204.248,1951.4226,580.41266
3307,PARPBP,267.52582,179.14742,276.04764,33.387173,50.098133,39.648502,65.87694,25.647362,81.29088,72.05752,51.537388,115.38332,126.25024,92.18765,25.314571,103.423355,164.43924,156.39629,181.12537,166.8169,210.44005,133.63583
3308,RELA,7455.1567,4593.408,8952.95,1129.6536,2260.8792,1234.4774,1251.666,1197.2311,1626.1427,2794.4653,3104.186,3843.4963,5462.494,2318.6704,1995.7146,3440.5469,5987.3853,1368.8021,3905.4202,5313.8125,5636.1704,1271.2272
3309,CDON,43.099026,9.814479,21.704676,4.6677027,11.589082,8.982071,0.0,6.026699,4.4785204,39.85472,4.361099,18.87302,9.460022,6.866603,0.0,17.395153,210.76785,214.663,230.46428,238.70842,269.7841,14.174847
3310,ARMC5,983.8692,816.4305,1039.703,289.38992,359.98584,170.17923,113.08846,125.7604,241.29083,351.0951,189.53915,590.5053,1084.6704,321.90063,229.76869,501.9683,597.7482,169.75827,441.0722,737.6722,702.7382,175.6384
3311,ARFIP2,2985.4062,1918.1975,2831.436,615.76117,763.6307,438.5727,461.63382,379.32642,562.0424,441.55057,637.7438,1543.9249,1836.987,619.14825,412.8933,699.7563,1023.61475,249.12825,435.24298,846.49817,853.92554,234.8866
3312,CXCL16,840.11334,1589.6392,13656.8955,973.32886,997.40497,906.71826,998.60547,1566.383,1815.9346,761.79974,3973.4946,1857.8778,4682.57,3442.5645,3919.6946,5882.6562,1985.4199,419.346,751.3827,2215.0764,381.40277,194.55402
3313,FBXO43,6.1957865,8.886642,16.190226,0.0,0.0,0.0,1.9054878,1.1097548,0.0,18.042591,5.500889,0.0,9.712759,4.2024074,0.0,28.199947,59.518852,198.63504,35.505844,64.28132,80.20513,9.405675
3314,ATP6V1B1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1555693,0.0,0.0,0.0,0.0,0.0,0.0,44.761272,47.474335,93.46949,83.22891,9.138176,2.736727
3315,DALRD3,4536.5376,3375.9429,2539.0022,711.5894,882.93475,648.37305,469.18762,555.98914,535.5232,271.1368,424.3138,2108.137,3379.6348,1275.542,1011.90576,1262.4526,585.04736,104.950134,234.38684,505.08267,495.5856,160.18114
