,Genename,Counts,Sample
0,B9D2,317.64822,Healthy 21
1,JAG2,167.14485,Healthy 21
2,DNASE1,2057.0837,Healthy 21
3,TRMU,1154.2349,Healthy 21
4,RRP9,307.18665,Healthy 21
5,CNOT2,4543.481,Healthy 21
6,SMO,48.564808,Healthy 21
7,RC3H2,3368.6777,Healthy 21
8,CLINT1,4499.6465,Healthy 21
9,CD52,13820.61,Healthy 21
10,CLSPN,326.9754,Healthy 21
11,MEGF9,4237.8643,Healthy 21
12,UBA7,3133.398,Healthy 21
13,TRBC2,30554.047,Healthy 21
14,CNOT4,1954.263,Healthy 21
15,TCP1,4424.5605,Healthy 21
16,INSIG2,869.0864,Healthy 21
17,SEC61A1,3914.528,Healthy 21
18,MED13,6519.3267,Healthy 21
19,PLEKHS1,22.026432,Healthy 21
20,NUFIP2,6055.112,Healthy 21
21,TSPAN18,423.47577,Healthy 21
22,XPC,3782.5227,Healthy 21
23,EIF3K,8402.719,Healthy 21
24,PIKFYVE,4622.182,Healthy 21
25,LEF1,3740.0198,Healthy 21
26,ATG12,2884.6128,Healthy 21
27,PPL,222.72086,Healthy 21
28,CCDC50,1915.3562,Healthy 21
29,HLA-E,192099.95,Healthy 21
30,MTMR14,1653.2881,Healthy 21
31,AKT2,3310.6584,Healthy 21
32,ZNF708,1414.583,Healthy 21
33,RPS9,30593.365,Healthy 21
34,ACACA,934.7616,Healthy 21
35,IGHG1,978.1695,Healthy 21
36,PPT1,2319.1958,Healthy 21
37,DEF6,5788.2627,Healthy 21
38,PSME4,5412.486,Healthy 21
39,ZFR,5685.502,Healthy 21
40,HBS1L,1722.892,Healthy 21
41,FCN1,3975.875,Healthy 21
42,ARHGEF1,11619.688,Healthy 21
43,HIST1H4C,3956.7979,Healthy 21
44,KSR1,651.1477,Healthy 21
45,RPS14,105435.836,Healthy 21
46,IGHM,11230.689,Healthy 21
47,KCNAB2,10102.422,Healthy 21
48,PFDN5,23067.314,Healthy 21
49,IGLC2,1247.4178,Healthy 21
50,HLA-B,350219.7,Healthy 21
51,LPIN3,104.483604,Healthy 21
52,MT-CYB,118397.55,Healthy 21
53,KIF3B,2212.1223,Healthy 21
54,SHOC2,3733.9866,Healthy 21
55,RPL11,69833.945,Healthy 21
56,NMT2,3009.76,Healthy 21
57,ZNF26,635.7493,Healthy 21
58,MT-CO3,90006.664,Healthy 21
59,CSF2RB,280.05823,Healthy 21
60,TMSB4X,71600.26,Healthy 21
61,VCAN,5264.8945,Healthy 21
62,S100A8,5454.652,Healthy 21
63,NEU1,901.5755,Healthy 21
64,B4GALT1,6270.481,Healthy 21
65,HIPK2,14940.811,Healthy 21
66,PANK2,1683.4042,Healthy 21
67,ABCD1,219.36784,Healthy 21
68,PMPCB,3254.3909,Healthy 21
69,ACTG1,42573.242,Healthy 21
70,ARFGEF1,5746.8213,Healthy 21
71,BBX,8514.839,Healthy 21
72,MRPL44,721.2562,Healthy 21
73,CD8A,6772.6396,Healthy 21
74,MRPL10,1567.2236,Healthy 21
75,ZNF439,799.848,Healthy 21
76,NIN,11880.178,Healthy 21
77,FMNL3,2494.5938,Healthy 21
78,WAC,13912.102,Healthy 21
79,CTDSP2,4622.506,Healthy 21
80,ATRX,16487.35,Healthy 21
81,CCL22,140.99986,Healthy 21
82,FGFR1OP,875.96204,Healthy 21
83,CMTM6,4952.215,Healthy 21
84,ZNF664,3634.4133,Healthy 21
85,SPG21,2383.7148,Healthy 21
86,PNRC2,8096.5034,Healthy 21
87,PPP2CA,3630.7722,Healthy 21
88,EIF4A3,2159.453,Healthy 21
89,KCTD12,1123.9746,Healthy 21
90,IGLV6-57,43.801308,Healthy 21
91,ATP2A3,4458.788,Healthy 21
92,AGO2,1587.8236,Healthy 21
93,GK5,2899.51,Healthy 21
94,ALAD,2493.683,Healthy 21
95,SATB1,8870.464,Healthy 21
96,RPS17,4166.384,Healthy 21
97,RPL22,20005.328,Healthy 21
98,SRSF6,5752.3945,Healthy 21
99,IQGAP2,16412.746,Healthy 21
100,TEP1,2393.025,Healthy 21
101,CFLAR,16695.94,Healthy 21
102,DDX18,5313.2754,Healthy 21
103,TRAK1,2436.7544,Healthy 21
104,AHNAK2,127.32819,Healthy 21
105,GLIPR2,5001.5894,Healthy 21
106,MT-CO2,148338.31,Healthy 21
107,TFAP2B,58.69645,Healthy 21
108,APLP2,9475.622,Healthy 21
109,SLC35G3,107.458496,Healthy 21
110,ADAR,16798.281,Healthy 21
111,HLA-A,138900.72,Healthy 21
112,SRL,0.0,Healthy 21
113,SEC63,4643.62,Healthy 21
114,HLA-C,95293.73,Healthy 21
115,DFFA,2182.0952,Healthy 21
116,TKT,5445.695,Healthy 21
117,PCMT1,2778.7253,Healthy 21
118,AHNAK,137958.58,Healthy 21
119,COL7A1,12.953367,Healthy 21
120,BMPR2,2836.921,Healthy 21
121,FAM107B,13108.369,Healthy 21
122,MT-CO1,272642.25,Healthy 21
123,SNRPD2,12751.932,Healthy 21
124,CORO1C,1503.568,Healthy 21
