,Genename,Counts,Sample
0,B9D2,375.91946,Healthy 2
1,JAG2,57.152786,Healthy 2
2,DNASE1,172.73645,Healthy 2
3,TRMU,711.15625,Healthy 2
4,RRP9,355.70175,Healthy 2
5,CNOT2,6288.9565,Healthy 2
6,SMO,6.022779,Healthy 2
7,RC3H2,1185.4852,Healthy 2
8,CLINT1,3322.131,Healthy 2
9,CD52,21624.064,Healthy 2
10,CLSPN,170.53476,Healthy 2
11,MEGF9,337.47162,Healthy 2
12,UBA7,730.1589,Healthy 2
13,TRBC2,17389.783,Healthy 2
14,CNOT4,2561.25,Healthy 2
15,TCP1,2433.3484,Healthy 2
16,INSIG2,1021.3376,Healthy 2
17,SEC61A1,3088.2537,Healthy 2
18,MED13,1486.558,Healthy 2
19,PLEKHS1,0.0,Healthy 2
20,NUFIP2,1501.4342,Healthy 2
21,TSPAN18,80.01165,Healthy 2
22,XPC,2326.3965,Healthy 2
23,EIF3K,29335.691,Healthy 2
24,PIKFYVE,1299.3031,Healthy 2
25,LEF1,4529.7,Healthy 2
26,ATG12,3004.8635,Healthy 2
27,PPL,4.482295,Healthy 2
28,CCDC50,928.3299,Healthy 2
29,HLA-E,84350.01,Healthy 2
30,MTMR14,2613.7246,Healthy 2
31,AKT2,3066.7698,Healthy 2
32,ZNF708,749.8602,Healthy 2
33,RPS9,118585.0,Healthy 2
34,ACACA,337.0445,Healthy 2
35,IGHG1,34.05834,Healthy 2
36,PPT1,2538.323,Healthy 2
37,DEF6,3555.4058,Healthy 2
38,PSME4,1579.3022,Healthy 2
39,ZFR,2327.0718,Healthy 2
40,HBS1L,1484.3691,Healthy 2
41,FCN1,8339.852,Healthy 2
42,ARHGEF1,9239.144,Healthy 2
43,HIST1H4C,8478.556,Healthy 2
44,KSR1,137.17944,Healthy 2
45,RPS14,331828.3,Healthy 2
46,IGHM,1345.4979,Healthy 2
47,KCNAB2,2515.133,Healthy 2
48,PFDN5,62598.137,Healthy 2
49,IGLC2,116.54788,Healthy 2
50,HLA-B,188215.05,Healthy 2
51,LPIN3,0.0,Healthy 2
52,MT-CYB,189423.2,Healthy 2
53,KIF3B,443.95187,Healthy 2
54,SHOC2,2715.9658,Healthy 2
55,RPL11,330405.06,Healthy 2
56,NMT2,389.28036,Healthy 2
57,ZNF26,559.95526,Healthy 2
58,MT-CO3,215568.56,Healthy 2
59,CSF2RB,99.71467,Healthy 2
60,TMSB4X,227813.11,Healthy 2
61,VCAN,5325.6084,Healthy 2
62,S100A8,54052.812,Healthy 2
63,NEU1,1348.3234,Healthy 2
64,B4GALT1,5673.3423,Healthy 2
65,HIPK2,2130.0037,Healthy 2
66,PANK2,1295.8297,Healthy 2
67,ABCD1,247.82544,Healthy 2
68,PMPCB,3459.2405,Healthy 2
69,ACTG1,94040.46,Healthy 2
70,ARFGEF1,1399.5214,Healthy 2
71,BBX,2758.4438,Healthy 2
72,MRPL44,895.8364,Healthy 2
73,CD8A,14331.7295,Healthy 2
74,MRPL10,1670.0906,Healthy 2
75,ZNF439,225.10506,Healthy 2
76,NIN,1892.176,Healthy 2
77,FMNL3,642.25574,Healthy 2
78,WAC,3230.5774,Healthy 2
79,CTDSP2,1036.6093,Healthy 2
80,ATRX,4839.2476,Healthy 2
81,CCL22,676.94415,Healthy 2
82,FGFR1OP,373.5069,Healthy 2
83,CMTM6,6344.54,Healthy 2
84,ZNF664,694.14996,Healthy 2
85,SPG21,1773.1782,Healthy 2
86,PNRC2,4225.4565,Healthy 2
87,PPP2CA,3184.288,Healthy 2
88,EIF4A3,2319.6692,Healthy 2
89,KCTD12,179.43922,Healthy 2
90,IGLV6-57,0.0,Healthy 2
91,ATP2A3,2514.6963,Healthy 2
92,AGO2,3140.657,Healthy 2
93,GK5,2066.038,Healthy 2
94,ALAD,316.34705,Healthy 2
95,SATB1,7772.4106,Healthy 2
96,RPS17,1869.4412,Healthy 2
97,RPL22,99114.44,Healthy 2
98,SRSF6,1922.6965,Healthy 2
99,IQGAP2,4545.0176,Healthy 2
100,TEP1,212.60596,Healthy 2
101,CFLAR,5945.8633,Healthy 2
102,DDX18,3763.8936,Healthy 2
103,TRAK1,308.76462,Healthy 2
104,AHNAK2,0.0,Healthy 2
105,GLIPR2,2678.0364,Healthy 2
106,MT-CO2,270806.7,Healthy 2
107,TFAP2B,0.0,Healthy 2
108,APLP2,5899.815,Healthy 2
109,SLC35G3,1.0378827,Healthy 2
110,ADAR,5917.389,Healthy 2
111,HLA-A,218410.9,Healthy 2
112,SRL,0.0,Healthy 2
113,SEC63,2519.936,Healthy 2
114,HLA-C,178413.11,Healthy 2
115,DFFA,881.54895,Healthy 2
116,TKT,7959.032,Healthy 2
117,PCMT1,2915.3528,Healthy 2
118,AHNAK,11450.368,Healthy 2
119,COL7A1,16.09441,Healthy 2
120,BMPR2,261.4645,Healthy 2
121,FAM107B,4497.3696,Healthy 2
122,MT-CO1,300736.03,Healthy 2
123,SNRPD2,19495.416,Healthy 2
124,CORO1C,673.93604,Healthy 2
125,ODC1,3211.7847,Healthy 2
126,STK10,3969.5513,Healthy 2
127,LCP1,14717.022,Healthy 2
128,RPS16,126476.18,Healthy 2
129,MTRNR2L8,222051.03,Healthy 2
130,ISG15,2991.1814,Healthy 2
131,YWHAB,27651.953,Healthy 2
132,SERF2,43427.184,Healthy 2
133,PDE4DIP,3591.4019,Healthy 2
134,CFL1,40322.91,Healthy 2
135,IRF2,1686.5594,Healthy 2
136,PLEKHB1,336.13696,Healthy 2
137,TMX4,4640.1816,Healthy 2
138,ALCAM,629.1212,Healthy 2
139,DNAH7,0.0,Healthy 2
140,TOPBP1,1420.4191,Healthy 2
141,OGFRL1,420.21442,Healthy 2
142,MSN,13644.023,Healthy 2
143,KDM6A,2386.0037,Healthy 2
144,TMEM241,124.33709,Healthy 2
145,AC079612.1,0.0,Healthy 2
146,SEMA3F,8.613637,Healthy 2
147,AMPD2,1467.0771,Healthy 2
148,SLC25A6,39227.152,Healthy 2
149,SLA,4724.3345,Healthy 2
150,IGLV2-23,372.18073,Healthy 2
151,SLC38A2,2444.9536,Healthy 2
152,ARID1A,1859.1008,Healthy 2
153,TMBIM6,18479.021,Healthy 2
154,CYBA,26431.404,Healthy 2
155,NAT9,708.3404,Healthy 2
156,ZNF740,339.9867,Healthy 2
157,HMGN1,8908.337,Healthy 2
158,LENG8,2299.7202,Healthy 2
159,RAD23A,5797.682,Healthy 2
160,DDX6,9882.969,Healthy 2
161,EMC4,5203.921,Healthy 2
162,ANXA5,17139.76,Healthy 2
163,MIEN1,2845.7537,Healthy 2
164,ERP29,12333.942,Healthy 2
165,RNF19B,1354.2661,Healthy 2
166,RGL1,66.36354,Healthy 2
167,GNS,821.1303,Healthy 2
168,ACAP1,4026.1733,Healthy 2
169,LRRC8B,279.69302,Healthy 2
170,SCAF8,1250.134,Healthy 2
171,USP3,5104.026,Healthy 2
172,ZNF106,1987.6838,Healthy 2
173,TYMP,5654.1733,Healthy 2
174,TM9SF3,1854.0399,Healthy 2
175,KAT6A,3673.0488,Healthy 2
176,AKAP11,784.41205,Healthy 2
177,GZMH,6406.2847,Healthy 2
178,HNRNPK,14811.222,Healthy 2
179,NOMO3,58.44712,Healthy 2
180,SHE,1.6350557,Healthy 2
181,HIVEP1,1696.8276,Healthy 2
182,EFR3A,2322.0144,Healthy 2
183,TMBIM4,594.12683,Healthy 2
184,LAPTM5,57356.164,Healthy 2
185,SND1,2578.9292,Healthy 2
186,LCK,10417.385,Healthy 2
187,TMEM245,1249.0419,Healthy 2
188,ARF1,14912.836,Healthy 2
189,GRM2,3.7390165,Healthy 2
190,KCNK10,0.0,Healthy 2
191,S100A9,51954.945,Healthy 2
192,RPS11,46053.72,Healthy 2
193,CAPN2,3784.9412,Healthy 2
194,PHKG2,1256.9027,Healthy 2
195,ZC3H18,2906.4978,Healthy 2
196,ADD1,2269.2532,Healthy 2
197,MX1,1936.9816,Healthy 2
198,SCMH1,230.60619,Healthy 2
199,ZYX,9045.256,Healthy 2
200,RNMT,4414.5435,Healthy 2
201,CANX,6208.6904,Healthy 2
202,IGHG4,6.9718223,Healthy 2
203,IL1RL1,0.0,Healthy 2
204,IGHV5-51,587.3207,Healthy 2
205,LAMB1,2.197802,Healthy 2
206,PDIA3,15484.638,Healthy 2
207,ITGB2,17433.61,Healthy 2
208,NT5DC2,18.668648,Healthy 2
209,VIM,173889.98,Healthy 2
210,TNFAIP3,26413.34,Healthy 2
211,RPS8,345856.0,Healthy 2
212,OXNAD1,1416.2065,Healthy 2
213,SLC25A46,1385.0522,Healthy 2
214,IGHV3-23,367.52338,Healthy 2
215,CNOT1,2136.3457,Healthy 2
216,LPP,1432.8446,Healthy 2
217,UBE2J1,3895.4375,Healthy 2
218,ANKRD28,840.8219,Healthy 2
219,PRDM4,506.69308,Healthy 2
220,PSMB6,7039.272,Healthy 2
221,UBXN7,1099.8905,Healthy 2
222,ZNF227,416.96738,Healthy 2
223,NCOA3,1388.3541,Healthy 2
224,MTX1,1286.3898,Healthy 2
225,PDIA4,1842.6226,Healthy 2
226,CHD4,4142.851,Healthy 2
227,AC159540.1,0.0,Healthy 2
228,PLA2G2D,0.0,Healthy 2
229,CCDC97,1314.7738,Healthy 2
230,TMEM154,1122.1012,Healthy 2
231,HIST1H2BK,475.47525,Healthy 2
232,KIAA0319,14.271021,Healthy 2
233,APOBEC3G,6747.991,Healthy 2
234,MOSPD1,465.47195,Healthy 2
235,RPN1,7357.04,Healthy 2
236,ARHGAP1,994.75397,Healthy 2
237,CIR1,3098.3047,Healthy 2
238,AACS,234.7095,Healthy 2
239,CHD7,1825.2671,Healthy 2
240,STX6,898.55566,Healthy 2
241,SAMD9,2044.8757,Healthy 2
242,TOM1,4093.7073,Healthy 2
243,SNRPC,4033.5417,Healthy 2
244,PGAP1,696.812,Healthy 2
245,ANXA1,21344.48,Healthy 2
246,TMEM181,763.3383,Healthy 2
247,ARHGAP12,664.8669,Healthy 2
248,IPO11,374.11572,Healthy 2
249,KLF3,6910.99,Healthy 2
250,CTSS,10483.915,Healthy 2
251,LYZ,22989.23,Healthy 2
252,IFI44L,149.4994,Healthy 2
253,HNRNPUL1,13491.523,Healthy 2
254,GNAS,8716.913,Healthy 2
255,SNED1,535.951,Healthy 2
256,IQGAP1,5137.3525,Healthy 2
257,HMGXB3,1597.9584,Healthy 2
258,KDM5C,1561.7611,Healthy 2
259,RNF213,5606.3076,Healthy 2
260,RPS13,249274.92,Healthy 2
261,TMCO1,2618.928,Healthy 2
262,ELL2,4733.957,Healthy 2
263,RPLP1,474936.8,Healthy 2
264,RPL32,377129.6,Healthy 2
265,RAB1B,3814.207,Healthy 2
266,PKM,13883.573,Healthy 2
267,IGHA1,482.90427,Healthy 2
268,NDUFB8,474.32004,Healthy 2
269,COPB2,2088.6328,Healthy 2
270,ARAF,1572.5298,Healthy 2
271,COLEC11,3.4518468,Healthy 2
272,IGHV1-24,74.98933,Healthy 2
273,B2M,467134.1,Healthy 2
274,SPCS3,4502.8003,Healthy 2
275,SNRNP70,4018.0505,Healthy 2
276,RPS2,123051.69,Healthy 2
277,HSP90B1,16862.271,Healthy 2
278,ANKRD17,2319.9106,Healthy 2
279,GDE1,1591.767,Healthy 2
280,NCOR1,6520.051,Healthy 2
281,RAB31,1900.3483,Healthy 2
282,PSMC2,1457.1969,Healthy 2
283,RPS6,208988.39,Healthy 2
284,CLUH,269.6702,Healthy 2
285,CCND2,6650.317,Healthy 2
286,RPL14,189560.61,Healthy 2
287,RPS27L,3797.5808,Healthy 2
288,GAPDH,107068.664,Healthy 2
289,RPS20,34730.594,Healthy 2
290,SEPT8,28.505653,Healthy 2
291,ZNF622,1596.8748,Healthy 2
292,CNR2,71.144485,Healthy 2
293,SREBF2,1460.7461,Healthy 2
294,SEC24C,1279.7515,Healthy 2
295,CSTA,3953.7283,Healthy 2
296,RPL38,36504.914,Healthy 2
297,TLN1,3669.174,Healthy 2
298,MRPL22,1596.217,Healthy 2
299,MOV10,381.72827,Healthy 2
300,ATF4,3673.758,Healthy 2
301,ATAD2,428.15118,Healthy 2
302,RPL10A,104526.54,Healthy 2
303,ESRRA,184.98323,Healthy 2
304,TGM2,73.831665,Healthy 2
305,SNX27,837.54016,Healthy 2
306,TMEM30A,1867.0785,Healthy 2
307,SIL1,413.07318,Healthy 2
308,PLXDC2,890.4733,Healthy 2
309,WDR55,1106.1576,Healthy 2
310,MT-ND2,55077.31,Healthy 2
311,EIF3A,5982.866,Healthy 2
312,MFSD10,1919.4396,Healthy 2
313,HEATR3,299.20306,Healthy 2
314,HDAC4,579.8106,Healthy 2
315,APOL6,1549.191,Healthy 2
316,COPA,4264.477,Healthy 2
317,PGGT1B,583.0591,Healthy 2
318,SMARCC2,2684.5876,Healthy 2
319,HSPA5,30272.328,Healthy 2
320,HSPA9,5495.0483,Healthy 2
321,IFITM2,37972.633,Healthy 2
322,CAPRIN1,1837.6001,Healthy 2
323,DYNC1H1,6697.863,Healthy 2
324,MORF4L1,10936.697,Healthy 2
325,SYTL3,18159.455,Healthy 2
326,NNT,576.7158,Healthy 2
327,RPRD2,1437.5073,Healthy 2
328,STAT1,2046.7744,Healthy 2
329,SAMHD1,3232.817,Healthy 2
330,PKN1,1747.7913,Healthy 2
331,MYCBP2,3763.7532,Healthy 2
332,ACTB,215159.08,Healthy 2
333,COTL1,19223.354,Healthy 2
334,FAM198B,70.38185,Healthy 2
335,BTN3A2,3078.8645,Healthy 2
336,KIAA0232,1113.2678,Healthy 2
337,TPRKB,1713.0598,Healthy 2
338,XAF1,1534.972,Healthy 2
339,ST3GAL1,3898.8718,Healthy 2
340,RCSD1,2947.0625,Healthy 2
341,TXNIP,4989.1943,Healthy 2
342,RASSF2,2208.774,Healthy 2
343,RPS18,280354.56,Healthy 2
344,RPL35,83195.23,Healthy 2
345,SYK,1253.1826,Healthy 2
346,FNBP1,9363.654,Healthy 2
347,ABR,1117.3528,Healthy 2
348,UBE2K,2643.935,Healthy 2
349,FCGR2A,441.90076,Healthy 2
350,AXIN1,1239.0431,Healthy 2
351,CHD3,2631.3335,Healthy 2
352,OAS3,281.1051,Healthy 2
353,CAPZA2,3430.3105,Healthy 2
354,MT-ATP8,7361.7017,Healthy 2
355,ARHGDIB,55530.746,Healthy 2
356,SYNCRIP,3395.2314,Healthy 2
357,PHIP,4233.648,Healthy 2
358,SRRM1,13292.768,Healthy 2
359,WAS,4462.5664,Healthy 2
360,UQCRB,24058.242,Healthy 2
361,USP7,1116.4275,Healthy 2
362,LAMP2,773.34,Healthy 2
363,SHISA5,3368.0068,Healthy 2
364,TMPO,2514.3762,Healthy 2
365,WDFY4,229.73055,Healthy 2
366,PSMD6,3159.2585,Healthy 2
367,PABPC1,130188.71,Healthy 2
368,COMMD8,812.0239,Healthy 2
369,ASPM,1.9806272,Healthy 2
370,LST1,4245.66,Healthy 2
371,CSDE1,10359.47,Healthy 2
372,FCGR1A,103.626144,Healthy 2
373,KIF22,1412.3058,Healthy 2
374,CKAP2,1063.9205,Healthy 2
