,Genename,Counts,Sample
0,B9D2,420.4313,Healthy 20
1,JAG2,52.611134,Healthy 20
2,DNASE1,1390.2645,Healthy 20
3,TRMU,981.7684,Healthy 20
4,RRP9,267.55103,Healthy 20
5,CNOT2,4047.0366,Healthy 20
6,SMO,5.1177073,Healthy 20
7,RC3H2,2557.8845,Healthy 20
8,CLINT1,4650.109,Healthy 20
9,CD52,25832.225,Healthy 20
10,CLSPN,46.50846,Healthy 20
11,MEGF9,6705.4146,Healthy 20
12,UBA7,3185.8801,Healthy 20
13,TRBC2,36797.984,Healthy 20
14,CNOT4,1560.4198,Healthy 20
15,TCP1,3254.0518,Healthy 20
16,INSIG2,864.8717,Healthy 20
17,SEC61A1,2994.3218,Healthy 20
18,MED13,5572.2266,Healthy 20
19,PLEKHS1,57.78494,Healthy 20
20,NUFIP2,5562.9443,Healthy 20
21,TSPAN18,663.1952,Healthy 20
22,XPC,3052.9526,Healthy 20
23,EIF3K,9916.281,Healthy 20
24,PIKFYVE,4270.6377,Healthy 20
25,LEF1,4149.409,Healthy 20
26,ATG12,2595.698,Healthy 20
27,PPL,12.270609,Healthy 20
28,CCDC50,2135.238,Healthy 20
29,HLA-E,174927.42,Healthy 20
30,MTMR14,1675.2897,Healthy 20
31,AKT2,2281.261,Healthy 20
32,ZNF708,980.9188,Healthy 20
33,RPS9,41609.383,Healthy 20
34,ACACA,504.21524,Healthy 20
35,IGHG1,635.8682,Healthy 20
36,PPT1,5182.2163,Healthy 20
37,DEF6,5126.155,Healthy 20
38,PSME4,4063.5132,Healthy 20
39,ZFR,4496.8267,Healthy 20
40,HBS1L,1504.5013,Healthy 20
41,FCN1,19575.879,Healthy 20
42,ARHGEF1,7415.89,Healthy 20
43,HIST1H4C,2948.905,Healthy 20
44,KSR1,681.9967,Healthy 20
45,RPS14,121047.305,Healthy 20
46,IGHM,21678.98,Healthy 20
47,KCNAB2,6626.116,Healthy 20
48,PFDN5,25812.639,Healthy 20
49,IGLC2,1619.1083,Healthy 20
50,HLA-B,295339.06,Healthy 20
51,LPIN3,25.21031,Healthy 20
52,MT-CYB,122534.41,Healthy 20
53,KIF3B,1747.6581,Healthy 20
54,SHOC2,4408.4893,Healthy 20
55,RPL11,85929.39,Healthy 20
56,NMT2,1188.6708,Healthy 20
57,ZNF26,565.80865,Healthy 20
58,MT-CO3,130072.43,Healthy 20
59,CSF2RB,1671.1337,Healthy 20
60,TMSB4X,100622.26,Healthy 20
61,VCAN,25519.111,Healthy 20
62,S100A8,36960.094,Healthy 20
63,NEU1,964.41656,Healthy 20
64,B4GALT1,5694.5303,Healthy 20
65,HIPK2,4700.301,Healthy 20
66,PANK2,1827.9213,Healthy 20
67,ABCD1,267.95892,Healthy 20
68,PMPCB,2290.6711,Healthy 20
69,ACTG1,41477.688,Healthy 20
70,ARFGEF1,5200.638,Healthy 20
71,BBX,6925.1504,Healthy 20
72,MRPL44,566.2162,Healthy 20
73,CD8A,19047.041,Healthy 20
74,MRPL10,1261.856,Healthy 20
75,ZNF439,457.36157,Healthy 20
76,NIN,13798.807,Healthy 20
77,FMNL3,1696.6934,Healthy 20
78,WAC,11730.414,Healthy 20
79,CTDSP2,6252.86,Healthy 20
80,ATRX,13654.661,Healthy 20
81,CCL22,38.487038,Healthy 20
82,FGFR1OP,423.01297,Healthy 20
83,CMTM6,6286.1123,Healthy 20
84,ZNF664,2180.4788,Healthy 20
85,SPG21,3410.867,Healthy 20
86,PNRC2,5842.552,Healthy 20
87,PPP2CA,3449.0583,Healthy 20
88,EIF4A3,1698.2415,Healthy 20
89,KCTD12,3998.9094,Healthy 20
90,IGLV6-57,39.571754,Healthy 20
91,ATP2A3,4577.8315,Healthy 20
92,AGO2,1301.9373,Healthy 20
93,GK5,1169.6641,Healthy 20
94,ALAD,2045.2538,Healthy 20
95,SATB1,7318.4185,Healthy 20
96,RPS17,3679.5366,Healthy 20
97,RPL22,22906.266,Healthy 20
98,SRSF6,5445.375,Healthy 20
99,IQGAP2,10574.136,Healthy 20
100,TEP1,2106.5525,Healthy 20
101,CFLAR,12807.677,Healthy 20
102,DDX18,4709.0513,Healthy 20
103,TRAK1,2505.4995,Healthy 20
104,AHNAK2,300.71344,Healthy 20
105,GLIPR2,5260.2256,Healthy 20
106,MT-CO2,151645.9,Healthy 20
107,TFAP2B,83.19411,Healthy 20
108,APLP2,17642.395,Healthy 20
109,SLC35G3,43.046047,Healthy 20
110,ADAR,17001.377,Healthy 20
111,HLA-A,116906.59,Healthy 20
112,SRL,2.4137099,Healthy 20
113,SEC63,4576.629,Healthy 20
114,HLA-C,118713.92,Healthy 20
115,DFFA,1700.3994,Healthy 20
116,TKT,12063.799,Healthy 20
117,PCMT1,2549.962,Healthy 20
118,AHNAK,100300.57,Healthy 20
119,COL7A1,55.20452,Healthy 20
120,BMPR2,1879.1943,Healthy 20
121,FAM107B,11572.632,Healthy 20
122,MT-CO1,262941.06,Healthy 20
123,SNRPD2,11727.509,Healthy 20
124,CORO1C,3288.5461,Healthy 20
125,ODC1,4484.159,Healthy 20
126,STK10,15069.392,Healthy 20
127,LCP1,68461.64,Healthy 20
128,RPS16,72778.96,Healthy 20
129,MTRNR2L8,110531.766,Healthy 20
130,ISG15,1936.406,Healthy 20
131,YWHAB,32078.832,Healthy 20
132,SERF2,19605.71,Healthy 20
133,PDE4DIP,4724.6523,Healthy 20
134,CFL1,28183.344,Healthy 20
135,IRF2,2321.7043,Healthy 20
136,PLEKHB1,484.76007,Healthy 20
137,TMX4,8084.973,Healthy 20
138,ALCAM,894.5948,Healthy 20
139,DNAH7,152.36641,Healthy 20
140,TOPBP1,3277.27,Healthy 20
141,OGFRL1,6012.5854,Healthy 20
142,MSN,29627.453,Healthy 20
143,KDM6A,2157.0198,Healthy 20
144,TMEM241,170.13281,Healthy 20
145,AC079612.1,0.0,Healthy 20
146,SEMA3F,22.222221,Healthy 20
147,AMPD2,2378.73,Healthy 20
148,SLC25A6,19081.066,Healthy 20
149,SLA,5038.65,Healthy 20
150,IGLV2-23,66.355446,Healthy 20
151,SLC38A2,3596.5002,Healthy 20
152,ARID1A,7866.5176,Healthy 20
153,TMBIM6,24176.557,Healthy 20
154,CYBA,13968.75,Healthy 20
155,NAT9,771.9759,Healthy 20
156,ZNF740,944.91327,Healthy 20
157,HMGN1,5398.885,Healthy 20
158,LENG8,1707.6111,Healthy 20
159,RAD23A,3549.4185,Healthy 20
160,DDX6,10311.882,Healthy 20
161,EMC4,3915.7666,Healthy 20
162,ANXA5,5376.169,Healthy 20
163,MIEN1,1789.9674,Healthy 20
164,ERP29,10084.074,Healthy 20
165,RNF19B,1002.81525,Healthy 20
166,RGL1,115.30873,Healthy 20
167,GNS,4178.0835,Healthy 20
168,ACAP1,8418.918,Healthy 20
169,LRRC8B,688.223,Healthy 20
170,SCAF8,2746.8557,Healthy 20
171,USP3,4354.9917,Healthy 20
172,ZNF106,9424.414,Healthy 20
173,TYMP,4792.6484,Healthy 20
174,TM9SF3,5946.3945,Healthy 20
175,KAT6A,10750.105,Healthy 20
176,AKAP11,4063.9167,Healthy 20
177,GZMH,17936.598,Healthy 20
178,HNRNPK,12786.072,Healthy 20
179,NOMO3,1250.081,Healthy 20
180,SHE,121.53695,Healthy 20
181,HIVEP1,1114.5438,Healthy 20
182,EFR3A,2872.5208,Healthy 20
183,TMBIM4,4697.756,Healthy 20
184,LAPTM5,38139.938,Healthy 20
185,SND1,3835.1912,Healthy 20
186,LCK,10808.167,Healthy 20
187,TMEM245,2199.1628,Healthy 20
188,ARF1,12387.602,Healthy 20
189,GRM2,68.63414,Healthy 20
190,KCNK10,6.90067,Healthy 20
191,S100A9,69530.73,Healthy 20
192,RPS11,117780.45,Healthy 20
193,CAPN2,11759.655,Healthy 20
194,PHKG2,1305.7755,Healthy 20
195,ZC3H18,4017.102,Healthy 20
196,ADD1,12349.233,Healthy 20
197,MX1,2034.3092,Healthy 20
198,SCMH1,432.3141,Healthy 20
199,ZYX,3674.456,Healthy 20
200,RNMT,2079.908,Healthy 20
201,CANX,17749.014,Healthy 20
202,IGHG4,144.41678,Healthy 20
203,IL1RL1,41.75993,Healthy 20
204,IGHV5-51,164.7725,Healthy 20
205,LAMB1,48.987846,Healthy 20
206,PDIA3,10277.45,Healthy 20
207,ITGB2,40150.027,Healthy 20
208,NT5DC2,22.430244,Healthy 20
209,VIM,29324.752,Healthy 20
210,TNFAIP3,9708.406,Healthy 20
211,RPS8,63797.91,Healthy 20
212,OXNAD1,2603.7803,Healthy 20
213,SLC25A46,2114.164,Healthy 20
214,IGHV3-23,248.00203,Healthy 20
215,CNOT1,5869.8076,Healthy 20
216,LPP,3676.5596,Healthy 20
217,UBE2J1,4213.6343,Healthy 20
218,ANKRD28,1901.8722,Healthy 20
219,PRDM4,1963.8936,Healthy 20
220,PSMB6,4435.458,Healthy 20
221,UBXN7,4022.0054,Healthy 20
222,ZNF227,337.9654,Healthy 20
223,NCOA3,5205.7188,Healthy 20
224,MTX1,388.44568,Healthy 20
225,PDIA4,2904.4714,Healthy 20
226,CHD4,14924.814,Healthy 20
227,AC159540.1,327.304,Healthy 20
228,PLA2G2D,13.053522,Healthy 20
229,CCDC97,1246.0734,Healthy 20
230,TMEM154,3117.179,Healthy 20
231,HIST1H2BK,967.0855,Healthy 20
232,KIAA0319,22.359205,Healthy 20
233,APOBEC3G,5373.9644,Healthy 20
234,MOSPD1,286.7194,Healthy 20
235,RPN1,3402.0308,Healthy 20
236,ARHGAP1,2047.1934,Healthy 20
237,CIR1,3503.756,Healthy 20
238,AACS,282.68335,Healthy 20
239,CHD7,2768.2493,Healthy 20
240,STX6,1160.3429,Healthy 20
241,SAMD9,6705.804,Healthy 20
242,TOM1,1667.7422,Healthy 20
243,SNRPC,2992.3828,Healthy 20
244,PGAP1,131.97781,Healthy 20
245,ANXA1,20863.877,Healthy 20
246,TMEM181,2289.7886,Healthy 20
247,ARHGAP12,1742.6965,Healthy 20
248,IPO11,460.2006,Healthy 20
249,KLF3,6856.042,Healthy 20
250,CTSS,48971.207,Healthy 20
251,LYZ,41757.082,Healthy 20
252,IFI44L,470.44717,Healthy 20
253,HNRNPUL1,10873.42,Healthy 20
254,GNAS,31651.928,Healthy 20
255,SNED1,175.12881,Healthy 20
256,IQGAP1,23321.025,Healthy 20
257,HMGXB3,924.3611,Healthy 20
258,KDM5C,2048.1738,Healthy 20
259,RNF213,45545.348,Healthy 20
260,RPS13,48315.97,Healthy 20
261,TMCO1,1988.2683,Healthy 20
262,ELL2,648.84375,Healthy 20
263,RPLP1,65619.42,Healthy 20
264,RPL32,41116.336,Healthy 20
265,RAB1B,771.2024,Healthy 20
266,PKM,11870.138,Healthy 20
267,IGHA1,212.45955,Healthy 20
268,NDUFB8,3505.623,Healthy 20
269,COPB2,2951.8372,Healthy 20
270,ARAF,1561.2253,Healthy 20
271,COLEC11,0.0,Healthy 20
272,IGHV1-24,70.09518,Healthy 20
273,B2M,344325.8,Healthy 20
274,SPCS3,5747.4043,Healthy 20
275,SNRNP70,6319.589,Healthy 20
276,RPS2,96041.39,Healthy 20
277,HSP90B1,22595.598,Healthy 20
278,ANKRD17,5603.943,Healthy 20
279,GDE1,1702.2799,Healthy 20
280,NCOR1,12260.07,Healthy 20
281,RAB31,4916.1567,Healthy 20
282,PSMC2,2151.1313,Healthy 20
283,RPS6,162493.38,Healthy 20
284,CLUH,914.4366,Healthy 20
285,CCND2,9552.838,Healthy 20
286,RPL14,47003.656,Healthy 20
287,RPS27L,2665.2273,Healthy 20
288,GAPDH,8298.716,Healthy 20
289,RPS20,54981.2,Healthy 20
290,SEPT8,395.36545,Healthy 20
291,ZNF622,1834.5408,Healthy 20
292,CNR2,638.42615,Healthy 20
293,SREBF2,1673.1469,Healthy 20
294,SEC24C,2735.4521,Healthy 20
295,CSTA,1411.5522,Healthy 20
296,RPL38,24191.293,Healthy 20
297,TLN1,36512.85,Healthy 20
298,MRPL22,1054.1769,Healthy 20
299,MOV10,1174.7137,Healthy 20
300,ATF4,11454.89,Healthy 20
301,ATAD2,985.48676,Healthy 20
302,RPL10A,47364.848,Healthy 20
303,ESRRA,301.37552,Healthy 20
304,TGM2,67.21649,Healthy 20
305,SNX27,3772.0369,Healthy 20
306,TMEM30A,5447.5845,Healthy 20
307,SIL1,435.92725,Healthy 20
308,PLXDC2,2728.0044,Healthy 20
309,WDR55,1319.2068,Healthy 20
310,MT-ND2,64870.09,Healthy 20
311,EIF3A,11914.726,Healthy 20
312,MFSD10,1125.8589,Healthy 20
313,HEATR3,1271.4762,Healthy 20
314,HDAC4,1136.2269,Healthy 20
315,APOL6,9913.126,Healthy 20
316,COPA,6062.094,Healthy 20
317,PGGT1B,831.5241,Healthy 20
318,SMARCC2,5164.9824,Healthy 20
319,HSPA5,18712.701,Healthy 20
320,HSPA9,5282.9756,Healthy 20
321,IFITM2,14915.249,Healthy 20
322,CAPRIN1,2907.896,Healthy 20
323,DYNC1H1,12479.967,Healthy 20
324,MORF4L1,7501.4546,Healthy 20
325,SYTL3,3670.0752,Healthy 20
326,NNT,2441.031,Healthy 20
327,RPRD2,3856.3364,Healthy 20
328,STAT1,9819.048,Healthy 20
329,SAMHD1,22018.67,Healthy 20
330,PKN1,1856.574,Healthy 20
331,MYCBP2,17721.828,Healthy 20
332,ACTB,60603.26,Healthy 20
333,COTL1,16118.498,Healthy 20
334,FAM198B,768.4835,Healthy 20
335,BTN3A2,15749.344,Healthy 20
336,KIAA0232,2503.2898,Healthy 20
337,TPRKB,880.00507,Healthy 20
338,XAF1,8657.482,Healthy 20
339,ST3GAL1,6572.044,Healthy 20
340,RCSD1,12640.996,Healthy 20
341,TXNIP,130593.945,Healthy 20
342,RASSF2,7477.0874,Healthy 20
343,RPS18,88338.75,Healthy 20
344,RPL35,32723.377,Healthy 20
345,SYK,7825.8438,Healthy 20
346,FNBP1,18918.287,Healthy 20
347,ABR,3156.5015,Healthy 20
348,UBE2K,3619.0513,Healthy 20
349,FCGR2A,3615.9927,Healthy 20
350,AXIN1,2737.488,Healthy 20
351,CHD3,14308.42,Healthy 20
352,OAS3,1642.8722,Healthy 20
353,CAPZA2,2559.1047,Healthy 20
354,MT-ATP8,17445.916,Healthy 20
355,ARHGDIB,33703.76,Healthy 20
356,SYNCRIP,8181.955,Healthy 20
357,PHIP,7880.956,Healthy 20
358,SRRM1,9171.853,Healthy 20
359,WAS,5096.4053,Healthy 20
360,UQCRB,9201.099,Healthy 20
361,USP7,9546.059,Healthy 20
362,LAMP2,3513.0356,Healthy 20
363,SHISA5,6162.5244,Healthy 20
364,TMPO,4962.0107,Healthy 20
365,WDFY4,2866.7434,Healthy 20
366,PSMD6,2493.407,Healthy 20
367,PABPC1,102839.16,Healthy 20
368,COMMD8,1295.9049,Healthy 20
369,ASPM,27.071934,Healthy 20
370,LST1,7951.0117,Healthy 20
371,CSDE1,23465.24,Healthy 20
372,FCGR1A,240.95865,Healthy 20
373,KIF22,2629.706,Healthy 20
374,CKAP2,784.2071,Healthy 20
375,TADA2B,2412.9495,Healthy 20
376,NFKBIA,19984.627,Healthy 20
377,CEP350,10927.744,Healthy 20
378,GTF3C5,1882.3925,Healthy 20
379,RBM8A,4179.675,Healthy 20
380,SET,13956.587,Healthy 20
381,NCF2,9845.378,Healthy 20
382,ITGAM,6113.2183,Healthy 20
383,TXLNA,2278.4814,Healthy 20
384,DIAPH1,22425.621,Healthy 20
385,PAG1,6174.549,Healthy 20
386,CST3,9790.471,Healthy 20
387,RPS5,67117.01,Healthy 20
388,IFI27,66.70577,Healthy 20
389,YWHAZ,21989.184,Healthy 20
390,MOB1A,9392.087,Healthy 20
391,IFITM3,4031.9048,Healthy 20
392,LTBP4,1206.4637,Healthy 20
393,LACTB,1709.5154,Healthy 20
394,AP2B1,4093.5066,Healthy 20
395,HCK,3488.5256,Healthy 20
396,LRP1,2956.7742,Healthy 20
397,LSP1,11455.579,Healthy 20
398,MAST4,1826.9756,Healthy 20
399,CYBB,15734.694,Healthy 20
400,MALAT1,761276.7,Healthy 20
401,ELMO1,1633.5132,Healthy 20
402,MT-ATP6,209931.62,Healthy 20
403,MYH9,50290.96,Healthy 20
404,VPS41,1904.3975,Healthy 20
405,ATP2B4,9379.824,Healthy 20
406,PTPRE,5174.813,Healthy 20
407,ACTR1B,2789.9502,Healthy 20
408,H3F3B,47056.785,Healthy 20
409,GCC2,9316.832,Healthy 20
410,OAZ1,36721.01,Healthy 20
411,PIK3AP1,5840.585,Healthy 20
412,NUCKS1,9798.939,Healthy 20
413,HPSE,574.2399,Healthy 20
414,CD44,19370.3,Healthy 20
415,SARS,4731.8726,Healthy 20
416,CD244,1534.1847,Healthy 20
417,TSPAN31,838.35504,Healthy 20
418,HLA-DRA,38698.523,Healthy 20
419,MBD2,5859.996,Healthy 20
420,RAB33B,768.94196,Healthy 20
421,TNRC6B,12105.258,Healthy 20
422,CTSZ,2868.7097,Healthy 20
423,ITGAL,22050.55,Healthy 20
424,YPEL5,5478.0654,Healthy 20
425,HNRNPA1,18448.305,Healthy 20
426,CCDC88C,10883.662,Healthy 20
427,ZMYND11,3851.5928,Healthy 20
428,MVP,5406.141,Healthy 20
429,EXD3,308.8998,Healthy 20
430,RPL3,127147.73,Healthy 20
431,NELFE,3004.1445,Healthy 20
432,RSL1D1,8852.632,Healthy 20
433,TMX1,2384.325,Healthy 20
434,HNRNPU,22499.465,Healthy 20
435,ACOT9,1108.8235,Healthy 20
436,MYL12A,17550.285,Healthy 20
437,OAS1,1761.1997,Healthy 20
438,HDAC8,564.09424,Healthy 20
439,TRAK2,2426.8545,Healthy 20
440,VRK2,711.5201,Healthy 20
441,ATXN2L,2951.224,Healthy 20
442,CYB561D2,1145.6519,Healthy 20
443,TAPBP,18050.168,Healthy 20
444,WBP1L,3343.355,Healthy 20
445,CENPJ,794.92004,Healthy 20
446,HNRNPC,13609.188,Healthy 20
447,CD2,8014.181,Healthy 20
448,CHCHD1,1116.5288,Healthy 20
449,TSTA3,1456.1687,Healthy 20
450,EIF3C,13980.934,Healthy 20
451,LBH,7229.2,Healthy 20
452,MEGF8,452.55676,Healthy 20
453,SMCO4,754.37585,Healthy 20
454,MAP3K2,6491.7236,Healthy 20
455,MARCKS,3527.4604,Healthy 20
456,PDCD11,2274.9148,Healthy 20
457,RPA2,3196.7302,Healthy 20
458,BID,2396.6511,Healthy 20
459,STX10,3017.5083,Healthy 20
460,IFIT3,1084.3821,Healthy 20
461,DHX9,5866.7017,Healthy 20
462,ATP6V0B,5193.23,Healthy 20
463,OGT,11794.733,Healthy 20
464,BUD31,1014.06976,Healthy 20
465,ZBED6CL,457.2478,Healthy 20
466,WDR70,1493.7919,Healthy 20
467,ABCA7,2022.3654,Healthy 20
468,SPN,14282.506,Healthy 20
469,CANT1,1284.3226,Healthy 20
470,SPINK2,68.86354,Healthy 20
