,Genename,Counts,Sample
0,B9D2,818.44836,Severe 11
1,JAG2,77.48574,Severe 11
2,DNASE1,3163.2163,Severe 11
3,TRMU,1816.007,Severe 11
4,RRP9,598.30273,Severe 11
5,CNOT2,7923.219,Severe 11
6,SMO,82.93697,Severe 11
7,RC3H2,4848.641,Severe 11
8,CLINT1,10065.612,Severe 11
9,CD52,38984.375,Severe 11
10,CLSPN,784.1297,Severe 11
11,MEGF9,11280.435,Severe 11
12,UBA7,5184.316,Severe 11
13,TRBC2,77465.69,Severe 11
14,CNOT4,3388.5889,Severe 11
15,TCP1,8940.744,Severe 11
16,INSIG2,1673.8724,Severe 11
17,SEC61A1,6561.908,Severe 11
18,MED13,13046.475,Severe 11
19,PLEKHS1,81.33976,Severe 11
20,NUFIP2,15372.611,Severe 11
21,TSPAN18,2167.5935,Severe 11
22,XPC,6557.3286,Severe 11
23,EIF3K,15276.731,Severe 11
24,PIKFYVE,7938.514,Severe 11
25,LEF1,22031.766,Severe 11
26,ATG12,4902.694,Severe 11
27,PPL,72.36374,Severe 11
28,CCDC50,3291.074,Severe 11
29,HLA-E,226946.88,Severe 11
30,MTMR14,2732.061,Severe 11
31,AKT2,4794.474,Severe 11
32,ZNF708,2312.0754,Severe 11
33,RPS9,59696.125,Severe 11
34,ACACA,1571.723,Severe 11
35,IGHG1,11848.319,Severe 11
36,PPT1,7520.764,Severe 11
37,DEF6,7461.775,Severe 11
38,PSME4,7209.074,Severe 11
39,ZFR,10933.139,Severe 11
40,HBS1L,3589.0002,Severe 11
41,FCN1,18521.418,Severe 11
42,ARHGEF1,13191.328,Severe 11
43,HIST1H4C,13426.345,Severe 11
44,KSR1,1124.2859,Severe 11
45,RPS14,193590.25,Severe 11
46,IGHM,38470.14,Severe 11
47,KCNAB2,9279.843,Severe 11
48,PFDN5,37144.41,Severe 11
49,IGLC2,7961.4736,Severe 11
50,HLA-B,399128.9,Severe 11
51,LPIN3,79.272545,Severe 11
52,MT-CYB,98495.56,Severe 11
53,KIF3B,4263.777,Severe 11
54,SHOC2,9658.568,Severe 11
55,RPL11,143566.6,Severe 11
56,NMT2,3498.2468,Severe 11
57,ZNF26,1134.6484,Severe 11
58,MT-CO3,102155.73,Severe 11
59,CSF2RB,1724.7555,Severe 11
60,TMSB4X,169588.97,Severe 11
61,VCAN,67453.805,Severe 11
62,S100A8,215140.0,Severe 11
63,NEU1,1526.6666,Severe 11
64,B4GALT1,6611.781,Severe 11
65,HIPK2,11279.334,Severe 11
66,PANK2,3275.966,Severe 11
67,ABCD1,331.42294,Severe 11
68,PMPCB,5303.1475,Severe 11
69,ACTG1,76139.61,Severe 11
70,ARFGEF1,11902.666,Severe 11
71,BBX,17381.145,Severe 11
72,MRPL44,1756.6847,Severe 11
73,CD8A,26114.764,Severe 11
74,MRPL10,1846.418,Severe 11
75,ZNF439,815.91,Severe 11
76,NIN,28862.482,Severe 11
77,FMNL3,3108.8257,Severe 11
78,WAC,25714.234,Severe 11
79,CTDSP2,9101.125,Severe 11
80,ATRX,29047.086,Severe 11
81,CCL22,77.218765,Severe 11
82,FGFR1OP,856.4418,Severe 11
83,CMTM6,10873.559,Severe 11
84,ZNF664,4372.692,Severe 11
85,SPG21,4510.8604,Severe 11
86,PNRC2,13833.5,Severe 11
87,PPP2CA,8274.784,Severe 11
88,EIF4A3,4019.9094,Severe 11
89,KCTD12,7742.048,Severe 11
90,IGLV6-57,108.06682,Severe 11
91,ATP2A3,6016.368,Severe 11
92,AGO2,3417.8513,Severe 11
93,GK5,2052.153,Severe 11
94,ALAD,4067.4216,Severe 11
95,SATB1,23799.484,Severe 11
96,RPS17,7133.721,Severe 11
97,RPL22,44645.617,Severe 11
98,SRSF6,11196.903,Severe 11
99,IQGAP2,23159.125,Severe 11
100,TEP1,3072.1523,Severe 11
101,CFLAR,28707.629,Severe 11
102,DDX18,12080.964,Severe 11
103,TRAK1,3529.146,Severe 11
104,AHNAK2,255.24463,Severe 11
105,GLIPR2,9158.827,Severe 11
106,MT-CO2,126294.86,Severe 11
107,TFAP2B,125.3456,Severe 11
108,APLP2,27031.46,Severe 11
109,SLC35G3,119.62954,Severe 11
110,ADAR,46957.23,Severe 11
111,HLA-A,158652.27,Severe 11
112,SRL,33.389603,Severe 11
113,SEC63,8719.249,Severe 11
114,HLA-C,132655.47,Severe 11
115,DFFA,4100.159,Severe 11
116,TKT,21362.975,Severe 11
117,PCMT1,5768.22,Severe 11
118,AHNAK,139257.89,Severe 11
119,COL7A1,74.188354,Severe 11
120,BMPR2,4454.8833,Severe 11
121,FAM107B,22821.29,Severe 11
122,MT-CO1,170368.02,Severe 11
123,SNRPD2,21882.121,Severe 11
124,CORO1C,5808.023,Severe 11
125,ODC1,5294.8154,Severe 11
126,STK10,26181.65,Severe 11
127,LCP1,119264.33,Severe 11
128,RPS16,116556.484,Severe 11
129,MTRNR2L8,174503.6,Severe 11
130,ISG15,13203.644,Severe 11
131,YWHAB,64417.402,Severe 11
132,SERF2,42107.586,Severe 11
133,PDE4DIP,6876.789,Severe 11
134,CFL1,38179.863,Severe 11
135,IRF2,6359.2856,Severe 11
136,PLEKHB1,1987.8892,Severe 11
137,TMX4,10933.711,Severe 11
138,ALCAM,1894.8583,Severe 11
139,DNAH7,239.25954,Severe 11
140,TOPBP1,7022.3315,Severe 11
141,OGFRL1,5480.7393,Severe 11
142,MSN,50283.793,Severe 11
143,KDM6A,3785.5293,Severe 11
144,TMEM241,291.23016,Severe 11
145,AC079612.1,3.9888313,Severe 11
146,SEMA3F,6.863418,Severe 11
147,AMPD2,2162.567,Severe 11
148,SLC25A6,27742.746,Severe 11
149,SLA,12194.618,Severe 11
150,IGLV2-23,137.94817,Severe 11
151,SLC38A2,11256.241,Severe 11
152,ARID1A,14410.205,Severe 11
153,TMBIM6,49144.785,Severe 11
154,CYBA,19862.186,Severe 11
155,NAT9,1282.6041,Severe 11
156,ZNF740,2280.9053,Severe 11
157,HMGN1,11724.676,Severe 11
158,LENG8,3067.7246,Severe 11
159,RAD23A,8032.697,Severe 11
160,DDX6,26060.19,Severe 11
161,EMC4,5279.8896,Severe 11
162,ANXA5,10669.352,Severe 11
163,MIEN1,3094.588,Severe 11
164,ERP29,18731.229,Severe 11
165,RNF19B,1995.4316,Severe 11
166,RGL1,768.4714,Severe 11
167,GNS,6521.2734,Severe 11
168,ACAP1,16390.547,Severe 11
169,LRRC8B,1500.9414,Severe 11
170,SCAF8,5892.0264,Severe 11
171,USP3,6571.8906,Severe 11
172,ZNF106,18692.637,Severe 11
173,TYMP,10495.443,Severe 11
174,TM9SF3,11298.538,Severe 11
175,KAT6A,27833.121,Severe 11
176,AKAP11,8407.627,Severe 11
177,GZMH,21449.441,Severe 11
178,HNRNPK,28207.807,Severe 11
179,NOMO3,2028.6577,Severe 11
180,SHE,373.36813,Severe 11
181,HIVEP1,3596.84,Severe 11
182,EFR3A,5848.426,Severe 11
183,TMBIM4,6754.2,Severe 11
184,LAPTM5,48389.188,Severe 11
185,SND1,6640.936,Severe 11
186,LCK,23626.55,Severe 11
187,TMEM245,5855.263,Severe 11
188,ARF1,21749.709,Severe 11
189,GRM2,75.71873,Severe 11
190,KCNK10,32.508682,Severe 11
191,S100A9,226114.58,Severe 11
192,RPS11,181567.94,Severe 11
193,CAPN2,23393.123,Severe 11
194,PHKG2,2020.8184,Severe 11
195,ZC3H18,7878.1885,Severe 11
196,ADD1,22162.236,Severe 11
197,MX1,20255.006,Severe 11
198,SCMH1,818.2318,Severe 11
199,ZYX,4416.2437,Severe 11
200,RNMT,5003.919,Severe 11
201,CANX,33667.434,Severe 11
202,IGHG4,5605.6543,Severe 11
203,IL1RL1,79.654495,Severe 11
204,IGHV5-51,253.27805,Severe 11
205,LAMB1,342.50873,Severe 11
206,PDIA3,26009.27,Severe 11
207,ITGB2,55800.445,Severe 11
208,NT5DC2,226.58173,Severe 11
209,VIM,73188.945,Severe 11
210,TNFAIP3,17896.486,Severe 11
211,RPS8,134558.36,Severe 11
212,OXNAD1,9736.415,Severe 11
213,SLC25A46,4762.6675,Severe 11
214,IGHV3-23,993.3996,Severe 11
215,CNOT1,12688.145,Severe 11
216,LPP,6844.1836,Severe 11
217,UBE2J1,10945.862,Severe 11
218,ANKRD28,5654.855,Severe 11
219,PRDM4,3693.5632,Severe 11
220,PSMB6,7422.8887,Severe 11
221,UBXN7,8774.221,Severe 11
222,ZNF227,759.0783,Severe 11
223,NCOA3,11397.017,Severe 11
224,MTX1,525.0912,Severe 11
225,PDIA4,9318.245,Severe 11
226,CHD4,32383.45,Severe 11
227,AC159540.1,988.5938,Severe 11
228,PLA2G2D,28.650373,Severe 11
229,CCDC97,2351.4136,Severe 11
230,TMEM154,4508.949,Severe 11
231,HIST1H2BK,2311.3489,Severe 11
232,KIAA0319,63.420307,Severe 11
233,APOBEC3G,7318.1357,Severe 11
234,MOSPD1,675.81335,Severe 11
235,RPN1,7549.1875,Severe 11
236,ARHGAP1,2479.4285,Severe 11
237,CIR1,5259.3936,Severe 11
238,AACS,804.95667,Severe 11
239,CHD7,6378.6123,Severe 11
240,STX6,2604.4492,Severe 11
241,SAMD9,20534.51,Severe 11
242,TOM1,2587.5623,Severe 11
243,SNRPC,4784.4873,Severe 11
244,PGAP1,1237.4283,Severe 11
245,ANXA1,30925.97,Severe 11
246,TMEM181,3472.398,Severe 11
247,ARHGAP12,3590.0698,Severe 11
248,IPO11,955.25653,Severe 11
249,KLF3,11984.155,Severe 11
250,CTSS,48849.273,Severe 11
251,LYZ,51839.945,Severe 11
252,IFI44L,13669.82,Severe 11
253,HNRNPUL1,19144.541,Severe 11
254,GNAS,57069.812,Severe 11
255,SNED1,645.00116,Severe 11
256,IQGAP1,49053.62,Severe 11
257,HMGXB3,1337.6736,Severe 11
258,KDM5C,3910.3213,Severe 11
259,RNF213,97575.55,Severe 11
260,RPS13,87365.61,Severe 11
261,TMCO1,5426.107,Severe 11
262,ELL2,1778.029,Severe 11
263,RPLP1,138707.77,Severe 11
264,RPL32,86510.945,Severe 11
265,RAB1B,1204.9884,Severe 11
266,PKM,32789.508,Severe 11
267,IGHA1,6609.542,Severe 11
268,NDUFB8,6634.899,Severe 11
269,COPB2,7343.7544,Severe 11
270,ARAF,2963.0046,Severe 11
271,COLEC11,8.962004,Severe 11
272,IGHV1-24,106.18713,Severe 11
273,B2M,441019.53,Severe 11
274,SPCS3,15990.682,Severe 11
275,SNRNP70,14374.344,Severe 11
276,RPS2,117253.06,Severe 11
277,HSP90B1,49779.504,Severe 11
278,ANKRD17,12491.781,Severe 11
279,GDE1,3302.1082,Severe 11
280,NCOR1,28692.098,Severe 11
281,RAB31,7839.985,Severe 11
282,PSMC2,4812.88,Severe 11
283,RPS6,266653.97,Severe 11
284,CLUH,1321.9728,Severe 11
285,CCND2,33361.832,Severe 11
286,RPL14,103376.414,Severe 11
287,RPS27L,6160.9634,Severe 11
288,GAPDH,15318.823,Severe 11
289,RPS20,96510.555,Severe 11
290,SEPT8,1050.0535,Severe 11
