,Genename,Counts,Sample
0,B9D2,2589.8381,Severe 5
1,JAG2,9.521463,Severe 5
2,DNASE1,1160.9543,Severe 5
3,TRMU,931.4929,Severe 5
4,RRP9,424.10638,Severe 5
5,CNOT2,4043.805,Severe 5
6,SMO,0.0,Severe 5
7,RC3H2,2930.246,Severe 5
8,CLINT1,4293.8022,Severe 5
9,CD52,54611.535,Severe 5
10,CLSPN,106.69149,Severe 5
11,MEGF9,15057.104,Severe 5
12,UBA7,3993.8745,Severe 5
13,TRBC2,10884.672,Severe 5
14,CNOT4,3531.6968,Severe 5
15,TCP1,3316.4949,Severe 5
16,INSIG2,1002.15497,Severe 5
17,SEC61A1,2412.917,Severe 5
18,MED13,4149.5596,Severe 5
19,PLEKHS1,0.0,Severe 5
20,NUFIP2,5154.9185,Severe 5
21,TSPAN18,1418.4789,Severe 5
22,XPC,3000.954,Severe 5
23,EIF3K,18575.08,Severe 5
24,PIKFYVE,2801.3645,Severe 5
25,LEF1,4576.6357,Severe 5
26,ATG12,5665.87,Severe 5
27,PPL,25.915943,Severe 5
28,CCDC50,1068.2103,Severe 5
29,HLA-E,255648.0,Severe 5
30,MTMR14,5082.1304,Severe 5
31,AKT2,1898.3646,Severe 5
32,ZNF708,1972.8761,Severe 5
33,RPS9,104765.17,Severe 5
34,ACACA,566.8017,Severe 5
35,IGHG1,747.6027,Severe 5
36,PPT1,5980.303,Severe 5
37,DEF6,7915.3823,Severe 5
38,PSME4,1441.437,Severe 5
39,ZFR,2818.8586,Severe 5
40,HBS1L,1954.5151,Severe 5
41,FCN1,24905.754,Severe 5
42,ARHGEF1,14518.979,Severe 5
43,HIST1H4C,13071.766,Severe 5
44,KSR1,436.48077,Severe 5
45,RPS14,142091.1,Severe 5
46,IGHM,6407.7847,Severe 5
47,KCNAB2,4340.313,Severe 5
48,PFDN5,41884.367,Severe 5
49,IGLC2,1553.4211,Severe 5
50,HLA-B,589784.56,Severe 5
51,LPIN3,0.0,Severe 5
52,MT-CYB,148923.1,Severe 5
53,KIF3B,896.3882,Severe 5
54,SHOC2,13179.799,Severe 5
55,RPL11,154708.16,Severe 5
56,NMT2,1169.1827,Severe 5
57,ZNF26,653.5508,Severe 5
58,MT-CO3,188025.11,Severe 5
59,CSF2RB,16270.617,Severe 5
60,TMSB4X,678804.5,Severe 5
61,VCAN,11656.596,Severe 5
62,S100A8,3122106.2,Severe 5
63,NEU1,2397.012,Severe 5
64,B4GALT1,5741.1987,Severe 5
65,HIPK2,2492.6064,Severe 5
66,PANK2,4783.928,Severe 5
67,ABCD1,823.69147,Severe 5
68,PMPCB,2684.2249,Severe 5
69,ACTG1,119699.03,Severe 5
70,ARFGEF1,3535.557,Severe 5
71,BBX,5717.4624,Severe 5
72,MRPL44,2899.2146,Severe 5
73,CD8A,6219.0073,Severe 5
74,MRPL10,2042.8351,Severe 5
75,ZNF439,591.4341,Severe 5
76,NIN,15125.985,Severe 5
77,FMNL3,383.69232,Severe 5
78,WAC,10222.544,Severe 5
79,CTDSP2,3651.5269,Severe 5
80,ATRX,11170.594,Severe 5
81,CCL22,0.0,Severe 5
82,FGFR1OP,766.8209,Severe 5
83,CMTM6,23166.469,Severe 5
84,ZNF664,1360.3113,Severe 5
85,SPG21,8335.047,Severe 5
86,PNRC2,6688.0957,Severe 5
87,PPP2CA,4781.894,Severe 5
88,EIF4A3,2034.0006,Severe 5
89,KCTD12,2519.7686,Severe 5
90,IGLV6-57,332.7961,Severe 5
91,ATP2A3,9292.143,Severe 5
92,AGO2,3127.659,Severe 5
93,GK5,1022.2747,Severe 5
94,ALAD,732.11285,Severe 5
95,SATB1,3364.938,Severe 5
96,RPS17,15588.574,Severe 5
97,RPL22,47303.645,Severe 5
98,SRSF6,3198.9182,Severe 5
99,IQGAP2,6925.954,Severe 5
100,TEP1,1542.0575,Severe 5
101,CFLAR,42173.668,Severe 5
102,DDX18,5091.158,Severe 5
103,TRAK1,552.87305,Severe 5
104,AHNAK2,0.0,Severe 5
105,GLIPR2,19808.262,Severe 5
106,MT-CO2,306240.72,Severe 5
107,TFAP2B,0.0,Severe 5
108,APLP2,12710.868,Severe 5
109,SLC35G3,0.0,Severe 5
110,ADAR,31564.152,Severe 5
111,HLA-A,305169.9,Severe 5
112,SRL,0.0,Severe 5
113,SEC63,2324.5452,Severe 5
114,HLA-C,476536.88,Severe 5
115,DFFA,959.5786,Severe 5
116,TKT,34107.59,Severe 5
117,PCMT1,7350.359,Severe 5
118,AHNAK,19408.234,Severe 5
119,COL7A1,49.56032,Severe 5
120,BMPR2,757.31714,Severe 5
121,FAM107B,6573.641,Severe 5
122,MT-CO1,275145.5,Severe 5
123,SNRPD2,12756.836,Severe 5
124,CORO1C,6986.5996,Severe 5
125,ODC1,16082.7,Severe 5
126,STK10,13258.19,Severe 5
127,LCP1,68247.016,Severe 5
128,RPS16,68372.305,Severe 5
129,MTRNR2L8,53.626236,Severe 5
130,ISG15,36694.34,Severe 5
131,YWHAB,44683.863,Severe 5
132,SERF2,130619.086,Severe 5
133,PDE4DIP,1819.9454,Severe 5
134,CFL1,111031.27,Severe 5
135,IRF2,13923.005,Severe 5
136,PLEKHB1,594.0298,Severe 5
137,TMX4,9283.649,Severe 5
138,ALCAM,981.9181,Severe 5
139,DNAH7,94.44258,Severe 5
140,TOPBP1,1895.2408,Severe 5
141,OGFRL1,11487.183,Severe 5
142,MSN,31543.553,Severe 5
143,KDM6A,3499.2456,Severe 5
144,TMEM241,174.43361,Severe 5
145,AC079612.1,0.0,Severe 5
146,SEMA3F,0.0,Severe 5
147,AMPD2,4020.1624,Severe 5
148,SLC25A6,20797.129,Severe 5
149,SLA,10972.408,Severe 5
150,IGLV2-23,4990.885,Severe 5
151,SLC38A2,4449.8423,Severe 5
152,ARID1A,7419.542,Severe 5
153,TMBIM6,33608.69,Severe 5
154,CYBA,75005.55,Severe 5
155,NAT9,742.9742,Severe 5
156,ZNF740,707.3314,Severe 5
157,HMGN1,12206.892,Severe 5
158,LENG8,4250.0796,Severe 5
159,RAD23A,5212.6797,Severe 5
160,DDX6,10499.041,Severe 5
161,EMC4,3614.601,Severe 5
162,ANXA5,13633.074,Severe 5
163,MIEN1,8483.6045,Severe 5
164,ERP29,10958.198,Severe 5
165,RNF19B,3908.0776,Severe 5
166,RGL1,242.96085,Severe 5
167,GNS,4971.885,Severe 5
168,ACAP1,13192.731,Severe 5
