,Genename,Counts,Sample
0,B9D2,1060.1156,Healthy 4
1,JAG2,115.02074,Healthy 4
2,DNASE1,728.115,Healthy 4
3,TRMU,2067.0193,Healthy 4
4,RRP9,1175.7142,Healthy 4
5,CNOT2,8079.58,Healthy 4
6,SMO,15.176315,Healthy 4
7,RC3H2,2195.9343,Healthy 4
8,CLINT1,5499.215,Healthy 4
9,CD52,43084.23,Healthy 4
10,CLSPN,171.22882,Healthy 4
11,MEGF9,454.3391,Healthy 4
12,UBA7,1027.5083,Healthy 4
13,TRBC2,29096.615,Healthy 4
14,CNOT4,4081.909,Healthy 4
15,TCP1,6652.409,Healthy 4
16,INSIG2,2184.833,Healthy 4
17,SEC61A1,5460.4873,Healthy 4
18,MED13,2112.9888,Healthy 4
19,PLEKHS1,0.0,Healthy 4
20,NUFIP2,2257.1711,Healthy 4
21,TSPAN18,67.260956,Healthy 4
22,XPC,6249.4014,Healthy 4
23,EIF3K,59244.664,Healthy 4
24,PIKFYVE,2886.0376,Healthy 4
25,LEF1,13998.6875,Healthy 4
26,ATG12,5710.769,Healthy 4
27,PPL,7.6622133,Healthy 4
28,CCDC50,1638.5967,Healthy 4
29,HLA-E,155522.17,Healthy 4
30,MTMR14,5874.415,Healthy 4
31,AKT2,5429.0454,Healthy 4
32,ZNF708,1664.5254,Healthy 4
33,RPS9,269563.9,Healthy 4
34,ACACA,939.822,Healthy 4
35,IGHG1,566.79846,Healthy 4
36,PPT1,3327.9543,Healthy 4
37,DEF6,13730.468,Healthy 4
38,PSME4,2678.1404,Healthy 4
39,ZFR,4443.5654,Healthy 4
40,HBS1L,2835.1277,Healthy 4
41,FCN1,1797.1294,Healthy 4
42,ARHGEF1,16701.08,Healthy 4
43,HIST1H4C,15939.021,Healthy 4
44,KSR1,144.74733,Healthy 4
45,RPS14,751947.6,Healthy 4
46,IGHM,3338.682,Healthy 4
47,KCNAB2,4515.655,Healthy 4
48,PFDN5,128712.484,Healthy 4
49,IGLC2,459.71722,Healthy 4
50,HLA-B,355924.1,Healthy 4
51,LPIN3,0.0,Healthy 4
52,MT-CYB,113725.586,Healthy 4
53,KIF3B,1117.266,Healthy 4
54,SHOC2,3671.9204,Healthy 4
55,RPL11,746597.25,Healthy 4
56,NMT2,1601.5068,Healthy 4
57,ZNF26,1194.3342,Healthy 4
58,MT-CO3,201037.3,Healthy 4
59,CSF2RB,213.9239,Healthy 4
60,TMSB4X,357800.22,Healthy 4
61,VCAN,3531.8567,Healthy 4
62,S100A8,8498.687,Healthy 4
63,NEU1,2689.8108,Healthy 4
64,B4GALT1,4547.5254,Healthy 4
65,HIPK2,4021.7673,Healthy 4
66,PANK2,1862.9303,Healthy 4
67,ABCD1,594.42865,Healthy 4
68,PMPCB,7556.2153,Healthy 4
69,ACTG1,90005.086,Healthy 4
70,ARFGEF1,2467.3118,Healthy 4
71,BBX,6156.463,Healthy 4
72,MRPL44,2107.91,Healthy 4
73,CD8A,11900.474,Healthy 4
