,Genename,Counts,Sample
0,B9D2,295.2624,Severe 13
1,JAG2,24.086374,Severe 13
2,DNASE1,726.06744,Severe 13
3,TRMU,357.59338,Severe 13
4,RRP9,100.94418,Severe 13
5,CNOT2,2055.2676,Severe 13
6,SMO,34.14832,Severe 13
7,RC3H2,1374.5728,Severe 13
8,CLINT1,3096.046,Severe 13
9,CD52,10518.18,Severe 13
10,CLSPN,366.63315,Severe 13
11,MEGF9,5175.0645,Severe 13
12,UBA7,1310.4911,Severe 13
13,TRBC2,14197.567,Severe 13
14,CNOT4,741.3319,Severe 13
15,TCP1,3009.605,Severe 13
16,INSIG2,447.87573,Severe 13
17,SEC61A1,2864.2449,Severe 13
18,MED13,3565.5679,Severe 13
19,PLEKHS1,5.102579,Severe 13
20,NUFIP2,3385.5674,Severe 13
21,TSPAN18,313.01248,Severe 13
22,XPC,1466.9852,Severe 13
23,EIF3K,4537.1313,Severe 13
24,PIKFYVE,2122.1672,Severe 13
25,LEF1,3415.276,Severe 13
26,ATG12,1302.1108,Severe 13
27,PPL,66.61551,Severe 13
28,CCDC50,1173.2845,Severe 13
29,HLA-E,53271.02,Severe 13
30,MTMR14,983.1034,Severe 13
31,AKT2,1082.8475,Severe 13
32,ZNF708,419.07217,Severe 13
33,RPS9,14977.64,Severe 13
34,ACACA,499.95053,Severe 13
35,IGHG1,23820.14,Severe 13
36,PPT1,3181.9382,Severe 13
37,DEF6,1948.1575,Severe 13
38,PSME4,1656.758,Severe 13
39,ZFR,2859.0576,Severe 13
40,HBS1L,935.67426,Severe 13
41,FCN1,16745.988,Severe 13
42,ARHGEF1,2777.1448,Severe 13
43,HIST1H4C,5255.3174,Severe 13
44,KSR1,310.204,Severe 13
45,RPS14,42210.504,Severe 13
46,IGHM,57911.83,Severe 13
47,KCNAB2,2528.2827,Severe 13
48,PFDN5,11238.879,Severe 13
49,IGLC2,10345.535,Severe 13
50,HLA-B,107466.66,Severe 13
51,LPIN3,60.486156,Severe 13
52,MT-CYB,27651.84,Severe 13
53,KIF3B,1331.4435,Severe 13
54,SHOC2,2384.1829,Severe 13
55,RPL11,31103.762,Severe 13
56,NMT2,785.3702,Severe 13
57,ZNF26,207.51558,Severe 13
58,MT-CO3,32469.51,Severe 13
59,CSF2RB,996.73987,Severe 13
60,TMSB4X,47617.574,Severe 13
61,VCAN,52315.66,Severe 13
62,S100A8,152562.98,Severe 13
63,NEU1,934.25385,Severe 13
64,B4GALT1,2436.7407,Severe 13
65,HIPK2,2981.362,Severe 13
66,PANK2,838.90234,Severe 13
67,ABCD1,189.91406,Severe 13
68,PMPCB,1223.0819,Severe 13
69,ACTG1,30172.67,Severe 13
70,ARFGEF1,2800.0984,Severe 13
71,BBX,3443.9082,Severe 13
72,MRPL44,467.5363,Severe 13
73,CD8A,6409.9575,Severe 13
74,MRPL10,519.9722,Severe 13
75,ZNF439,207.04779,Severe 13
76,NIN,8104.9287,Severe 13
77,FMNL3,531.50885,Severe 13
78,WAC,6254.6855,Severe 13
79,CTDSP2,2147.8254,Severe 13
80,ATRX,6695.9233,Severe 13
81,CCL22,50.3734,Severe 13
82,FGFR1OP,126.31128,Severe 13
83,CMTM6,4287.8022,Severe 13
84,ZNF664,1108.5411,Severe 13
85,SPG21,1793.8993,Severe 13
86,PNRC2,3387.0598,Severe 13
87,PPP2CA,2659.614,Severe 13
88,EIF4A3,1647.3478,Severe 13
89,KCTD12,4639.6562,Severe 13
90,IGLV6-57,452.17297,Severe 13
91,ATP2A3,1353.2935,Severe 13
92,AGO2,815.62854,Severe 13
93,GK5,481.49118,Severe 13
94,ALAD,1063.1589,Severe 13
95,SATB1,4749.5806,Severe 13
96,RPS17,1695.9132,Severe 13
97,RPL22,9491.001,Severe 13
98,SRSF6,3065.2776,Severe 13
99,IQGAP2,6637.3306,Severe 13
100,TEP1,940.6496,Severe 13
101,CFLAR,7337.0938,Severe 13
102,DDX18,2697.742,Severe 13
103,TRAK1,1124.3019,Severe 13
104,AHNAK2,156.77165,Severe 13
105,GLIPR2,3641.128,Severe 13
106,MT-CO2,38874.49,Severe 13
107,TFAP2B,8.052642,Severe 13
108,APLP2,15962.701,Severe 13
109,SLC35G3,6.047284,Severe 13
110,ADAR,11623.117,Severe 13
111,HLA-A,47434.848,Severe 13
112,SRL,34.48228,Severe 13
113,SEC63,2325.5417,Severe 13
114,HLA-C,38199.9,Severe 13
115,DFFA,1041.1682,Severe 13
116,TKT,12264.408,Severe 13
117,PCMT1,1809.325,Severe 13
118,AHNAK,47839.9,Severe 13
119,COL7A1,29.65017,Severe 13
120,BMPR2,1342.4921,Severe 13
121,FAM107B,5160.714,Severe 13
122,MT-CO1,51498.1,Severe 13
123,SNRPD2,5504.487,Severe 13
124,CORO1C,2522.2593,Severe 13
125,ODC1,1661.3932,Severe 13
126,STK10,6816.973,Severe 13
127,LCP1,40871.36,Severe 13
128,RPS16,27234.754,Severe 13
129,MTRNR2L8,43199.543,Severe 13
130,ISG15,2724.4731,Severe 13
131,YWHAB,19464.389,Severe 13
132,SERF2,14006.935,Severe 13
133,PDE4DIP,1525.1781,Severe 13
134,CFL1,13170.352,Severe 13
135,IRF2,1980.5349,Severe 13
136,PLEKHB1,244.1873,Severe 13
137,TMX4,2883.2344,Severe 13
138,ALCAM,1041.5626,Severe 13
139,DNAH7,74.343636,Severe 13
140,TOPBP1,2043.8651,Severe 13
141,OGFRL1,2442.0713,Severe 13
142,MSN,16180.295,Severe 13
143,KDM6A,730.5775,Severe 13
144,TMEM241,73.531845,Severe 13
145,AC079612.1,50.991394,Severe 13
146,SEMA3F,6.2326193,Severe 13
147,AMPD2,787.2722,Severe 13
148,SLC25A6,8165.747,Severe 13
149,SLA,3041.321,Severe 13
150,IGLV2-23,370.22174,Severe 13
151,SLC38A2,3474.981,Severe 13
152,ARID1A,3130.9937,Severe 13
153,TMBIM6,14711.376,Severe 13
154,CYBA,7789.426,Severe 13
155,NAT9,299.7837,Severe 13
156,ZNF740,559.6434,Severe 13
157,HMGN1,3138.9768,Severe 13
158,LENG8,777.28973,Severe 13
159,RAD23A,2243.5176,Severe 13
160,DDX6,5740.4775,Severe 13
161,EMC4,1361.8383,Severe 13
162,ANXA5,5420.766,Severe 13
163,MIEN1,1102.4943,Severe 13
164,ERP29,5368.7583,Severe 13
165,RNF19B,827.20044,Severe 13
166,RGL1,154.19392,Severe 13
167,GNS,3497.9517,Severe 13
168,ACAP1,3627.9521,Severe 13
169,LRRC8B,183.99757,Severe 13
170,SCAF8,1334.2706,Severe 13
171,USP3,2277.1233,Severe 13
172,ZNF106,6680.717,Severe 13
173,TYMP,6123.4146,Severe 13
174,TM9SF3,3475.3545,Severe 13
175,KAT6A,5608.7017,Severe 13
176,AKAP11,2146.3252,Severe 13
177,GZMH,5349.798,Severe 13
178,HNRNPK,8136.7896,Severe 13
179,NOMO3,788.6113,Severe 13
180,SHE,76.64219,Severe 13
181,HIVEP1,775.7338,Severe 13
182,EFR3A,1810.294,Severe 13
183,TMBIM4,2041.9333,Severe 13
184,LAPTM5,16955.58,Severe 13
185,SND1,2744.488,Severe 13
186,LCK,4194.783,Severe 13
187,TMEM245,1400.2656,Severe 13
188,ARF1,7053.721,Severe 13
189,GRM2,52.586143,Severe 13
190,KCNK10,6.872199,Severe 13
191,S100A9,160768.25,Severe 13
192,RPS11,42362.324,Severe 13
193,CAPN2,7206.535,Severe 13
194,PHKG2,634.7093,Severe 13
195,ZC3H18,2089.8972,Severe 13
196,ADD1,5738.992,Severe 13
197,MX1,5769.366,Severe 13
198,SCMH1,120.51838,Severe 13
199,ZYX,1649.6251,Severe 13
200,RNMT,1137.2092,Severe 13
201,CANX,12861.318,Severe 13
202,IGHG4,12191.873,Severe 13
203,IL1RL1,42.213226,Severe 13
204,IGHV5-51,552.3056,Severe 13
205,LAMB1,6.6353693,Severe 13
206,PDIA3,7830.764,Severe 13
207,ITGB2,24868.754,Severe 13
208,NT5DC2,341.2809,Severe 13
209,VIM,30258.676,Severe 13
210,TNFAIP3,4400.5264,Severe 13
211,RPS8,29880.521,Severe 13
212,OXNAD1,1618.8717,Severe 13
213,SLC25A46,1294.8407,Severe 13
214,IGHV3-23,1391.2737,Severe 13
215,CNOT1,3686.1284,Severe 13
216,LPP,1345.0562,Severe 13
217,UBE2J1,5424.062,Severe 13
218,ANKRD28,1399.7343,Severe 13
219,PRDM4,662.0522,Severe 13
220,PSMB6,3032.1182,Severe 13
221,UBXN7,2011.9006,Severe 13
222,ZNF227,127.79591,Severe 13
223,NCOA3,3078.2407,Severe 13
224,MTX1,156.90776,Severe 13
225,PDIA4,4011.1667,Severe 13
226,CHD4,7836.125,Severe 13
227,AC159540.1,145.94107,Severe 13
228,PLA2G2D,16.856258,Severe 13
229,CCDC97,631.25037,Severe 13
230,TMEM154,1213.4429,Severe 13
231,HIST1H2BK,803.703,Severe 13
232,KIAA0319,4.847112,Severe 13
233,APOBEC3G,2492.0427,Severe 13
234,MOSPD1,131.33664,Severe 13
235,RPN1,3100.242,Severe 13
236,ARHGAP1,976.4733,Severe 13
237,CIR1,1659.6621,Severe 13
238,AACS,320.76416,Severe 13
239,CHD7,1313.6421,Severe 13
240,STX6,883.09314,Severe 13
241,SAMD9,4377.775,Severe 13
242,TOM1,953.3568,Severe 13
243,SNRPC,1263.9615,Severe 13
244,PGAP1,211.53735,Severe 13
245,ANXA1,11784.413,Severe 13
246,TMEM181,673.0902,Severe 13
247,ARHGAP12,825.9864,Severe 13
248,IPO11,222.59369,Severe 13
249,KLF3,2926.7065,Severe 13
250,CTSS,32070.959,Severe 13
251,LYZ,40431.8,Severe 13
252,IFI44L,2325.2498,Severe 13
253,HNRNPUL1,5102.086,Severe 13
254,GNAS,16213.928,Severe 13
255,SNED1,112.48463,Severe 13
256,IQGAP1,16538.271,Severe 13
257,HMGXB3,468.85007,Severe 13
258,KDM5C,1150.5483,Severe 13
259,RNF213,23887.67,Severe 13
260,RPS13,20048.635,Severe 13
261,TMCO1,1659.6042,Severe 13
262,ELL2,1091.5068,Severe 13
263,RPLP1,34850.08,Severe 13
264,RPL32,18544.63,Severe 13
265,RAB1B,325.85742,Severe 13
266,PKM,14097.325,Severe 13
267,IGHA1,5984.859,Severe 13
268,NDUFB8,1848.421,Severe 13
269,COPB2,3202.5896,Severe 13
270,ARAF,957.79395,Severe 13
271,COLEC11,3.0066147,Severe 13
272,IGHV1-24,540.43823,Severe 13
273,B2M,117519.13,Severe 13
274,SPCS3,4986.27,Severe 13
275,SNRNP70,2984.5737,Severe 13
276,RPS2,27215.05,Severe 13
277,HSP90B1,21642.99,Severe 13
278,ANKRD17,3086.0867,Severe 13
279,GDE1,1162.4961,Severe 13
280,NCOR1,7801.514,Severe 13
281,RAB31,4077.6663,Severe 13
282,PSMC2,1787.3748,Severe 13
283,RPS6,57425.098,Severe 13
284,CLUH,450.1744,Severe 13
285,CCND2,7689.864,Severe 13
286,RPL14,21979.287,Severe 13
287,RPS27L,1636.7177,Severe 13
288,GAPDH,7706.823,Severe 13
289,RPS20,20903.746,Severe 13
290,SEPT8,240.39052,Severe 13
291,ZNF622,971.2794,Severe 13
292,CNR2,146.01154,Severe 13
293,SREBF2,1254.0791,Severe 13
294,SEC24C,1404.7933,Severe 13
295,CSTA,1450.9324,Severe 13
296,RPL38,9873.468,Severe 13
297,TLN1,19039.434,Severe 13
298,MRPL22,631.73596,Severe 13
299,MOV10,888.4357,Severe 13
300,ATF4,7149.699,Severe 13
301,ATAD2,851.8069,Severe 13
302,RPL10A,15923.902,Severe 13
303,ESRRA,204.0557,Severe 13
304,TGM2,239.83154,Severe 13
305,SNX27,2591.3433,Severe 13
306,TMEM30A,3618.9304,Severe 13
307,SIL1,615.6911,Severe 13
308,PLXDC2,2543.0393,Severe 13
309,WDR55,663.3787,Severe 13
310,MT-ND2,25145.88,Severe 13
311,EIF3A,8198.386,Severe 13
312,MFSD10,444.8134,Severe 13
313,HEATR3,677.1924,Severe 13
314,HDAC4,767.9577,Severe 13
315,APOL6,8307.851,Severe 13
316,COPA,4510.9644,Severe 13
317,PGGT1B,538.2557,Severe 13
318,SMARCC2,2790.5312,Severe 13
319,HSPA5,18514.389,Severe 13
320,HSPA9,3807.3928,Severe 13
321,IFITM2,5079.8237,Severe 13
322,CAPRIN1,3074.9482,Severe 13
323,DYNC1H1,6416.4795,Severe 13
324,MORF4L1,4165.7397,Severe 13
325,SYTL3,999.6897,Severe 13
326,NNT,1736.4672,Severe 13
327,RPRD2,2054.3203,Severe 13
328,STAT1,7566.7305,Severe 13
329,SAMHD1,19837.664,Severe 13
330,PKN1,1261.9641,Severe 13
331,MYCBP2,8420.441,Severe 13
332,ACTB,48007.098,Severe 13
333,COTL1,8043.1377,Severe 13
334,FAM198B,1101.3302,Severe 13
335,BTN3A2,7671.9785,Severe 13
336,KIAA0232,1376.0924,Severe 13
337,TPRKB,416.38235,Severe 13
338,XAF1,9015.985,Severe 13
339,ST3GAL1,3360.819,Severe 13
340,RCSD1,6338.446,Severe 13
341,TXNIP,28939.615,Severe 13
342,RASSF2,4319.7036,Severe 13
343,RPS18,32339.102,Severe 13
344,RPL35,14548.281,Severe 13
345,SYK,5531.0635,Severe 13
346,FNBP1,8406.727,Severe 13
347,ABR,1090.7231,Severe 13
348,UBE2K,2703.849,Severe 13
349,FCGR2A,2111.0352,Severe 13
350,AXIN1,1057.6018,Severe 13
351,CHD3,7653.1113,Severe 13
352,OAS3,2785.297,Severe 13
353,CAPZA2,2306.3257,Severe 13
354,MT-ATP8,5420.768,Severe 13
355,ARHGDIB,16845.176,Severe 13
356,SYNCRIP,4682.6997,Severe 13
357,PHIP,3826.036,Severe 13
358,SRRM1,3607.491,Severe 13
359,WAS,2865.5476,Severe 13
360,UQCRB,4836.5977,Severe 13
361,USP7,4734.433,Severe 13
362,LAMP2,2599.4255,Severe 13
363,SHISA5,5066.7754,Severe 13
364,TMPO,4423.5093,Severe 13
365,WDFY4,1279.7211,Severe 13
366,PSMD6,1902.7515,Severe 13
367,PABPC1,42556.684,Severe 13
368,COMMD8,749.4699,Severe 13
369,ASPM,143.32,Severe 13
370,LST1,2936.8035,Severe 13
371,CSDE1,12826.593,Severe 13
372,FCGR1A,2094.5376,Severe 13
373,KIF22,1282.6072,Severe 13
374,CKAP2,542.2859,Severe 13
375,TADA2B,1686.0372,Severe 13
376,NFKBIA,13135.1875,Severe 13
377,CEP350,5538.2354,Severe 13
378,GTF3C5,825.2165,Severe 13
379,RBM8A,2013.3636,Severe 13
380,SET,8144.2197,Severe 13
381,NCF2,8833.661,Severe 13
382,ITGAM,3497.3882,Severe 13
383,TXLNA,1810.763,Severe 13
384,DIAPH1,10589.64,Severe 13
385,PAG1,4463.1836,Severe 13
386,CST3,4784.0527,Severe 13
387,RPS5,22584.691,Severe 13
388,IFI27,8770.844,Severe 13
389,YWHAZ,13413.418,Severe 13
390,MOB1A,6830.321,Severe 13
391,IFITM3,8117.5425,Severe 13
392,LTBP4,361.3108,Severe 13
393,LACTB,1146.0673,Severe 13
394,AP2B1,3223.9429,Severe 13
395,HCK,2856.2964,Severe 13
396,LRP1,2888.4666,Severe 13
397,LSP1,3667.768,Severe 13
398,MAST4,2170.464,Severe 13
399,CYBB,14164.27,Severe 13
400,MALAT1,197424.47,Severe 13
401,ELMO1,791.07385,Severe 13
402,MT-ATP6,46145.07,Severe 13
403,MYH9,23224.32,Severe 13
404,VPS41,1168.9753,Severe 13
405,ATP2B4,4872.6084,Severe 13
