,Genename,Counts,Sample
0,B9D2,893.17865,Moderate 13
1,JAG2,15.052721,Moderate 13
2,DNASE1,356.58963,Moderate 13
3,TRMU,503.776,Moderate 13
4,RRP9,399.81607,Moderate 13
5,CNOT2,2393.482,Moderate 13
6,SMO,0.0,Moderate 13
7,RC3H2,1031.8636,Moderate 13
8,CLINT1,1312.7289,Moderate 13
9,CD52,24010.35,Moderate 13
10,CLSPN,69.354004,Moderate 13
11,MEGF9,2016.9165,Moderate 13
12,UBA7,2655.569,Moderate 13
13,TRBC2,8453.819,Moderate 13
14,CNOT4,1641.1755,Moderate 13
15,TCP1,1741.8359,Moderate 13
16,INSIG2,574.8576,Moderate 13
17,SEC61A1,1977.5502,Moderate 13
18,MED13,901.2545,Moderate 13
19,PLEKHS1,0.0,Moderate 13
20,NUFIP2,1117.4467,Moderate 13
21,TSPAN18,595.3409,Moderate 13
22,XPC,1207.27,Moderate 13
23,EIF3K,9384.76,Moderate 13
24,PIKFYVE,707.9902,Moderate 13
25,LEF1,4252.665,Moderate 13
26,ATG12,2077.3806,Moderate 13
27,PPL,21.413277,Moderate 13
28,CCDC50,372.61218,Moderate 13
29,HLA-E,133308.34,Moderate 13
30,MTMR14,1643.6241,Moderate 13
31,AKT2,1175.3823,Moderate 13
32,ZNF708,639.3261,Moderate 13
33,RPS9,42086.477,Moderate 13
34,ACACA,224.49036,Moderate 13
35,IGHG1,252.12802,Moderate 13
36,PPT1,1649.9482,Moderate 13
37,DEF6,3025.7388,Moderate 13
38,PSME4,393.09528,Moderate 13
39,ZFR,1136.9264,Moderate 13
40,HBS1L,932.0836,Moderate 13
41,FCN1,7795.685,Moderate 13
42,ARHGEF1,6542.8174,Moderate 13
43,HIST1H4C,3442.5366,Moderate 13
44,KSR1,106.51646,Moderate 13
45,RPS14,58069.0,Moderate 13
46,IGHM,1336.9657,Moderate 13
47,KCNAB2,1970.3676,Moderate 13
48,PFDN5,20996.377,Moderate 13
49,IGLC2,420.68573,Moderate 13
50,HLA-B,288982.47,Moderate 13
51,LPIN3,0.0,Moderate 13
52,MT-CYB,72166.336,Moderate 13
53,KIF3B,293.5735,Moderate 13
54,SHOC2,4845.9155,Moderate 13
55,RPL11,94063.66,Moderate 13
56,NMT2,464.72964,Moderate 13
57,ZNF26,306.02725,Moderate 13
58,MT-CO3,99393.05,Moderate 13
59,CSF2RB,3090.0217,Moderate 13
60,TMSB4X,370826.1,Moderate 13
61,VCAN,4780.5723,Moderate 13
62,S100A8,1686011.6,Moderate 13
63,NEU1,805.452,Moderate 13
64,B4GALT1,1848.8066,Moderate 13
65,HIPK2,1023.811,Moderate 13
66,PANK2,1575.1138,Moderate 13
67,ABCD1,473.80997,Moderate 13
68,PMPCB,1539.0322,Moderate 13
69,ACTG1,46242.4,Moderate 13
70,ARFGEF1,698.3291,Moderate 13
71,BBX,2833.7793,Moderate 13
72,MRPL44,1233.5911,Moderate 13
73,CD8A,1575.9113,Moderate 13
74,MRPL10,956.16205,Moderate 13
75,ZNF439,148.91402,Moderate 13
76,NIN,2868.0486,Moderate 13
77,FMNL3,82.605095,Moderate 13
78,WAC,2725.294,Moderate 13
79,CTDSP2,1090.2638,Moderate 13
80,ATRX,4444.0957,Moderate 13
81,CCL22,0.0,Moderate 13
82,FGFR1OP,210.83235,Moderate 13
83,CMTM6,7668.8994,Moderate 13
84,ZNF664,643.7046,Moderate 13
85,SPG21,1008.8002,Moderate 13
86,PNRC2,3475.3284,Moderate 13
87,PPP2CA,2177.8896,Moderate 13
